code_insee,nom,population,nombre_d_equipements_sportifs,ratio_de_la_commune,strate_de_la_commune,ratio_de_la_strate_de_commune,ratio_du_departement,nom_de_l_epci_de_rattachement,moyenne_de_l_epci,strate_de_l_epci,moyenne_de_la_strate_de_l_epci,nombre_de_types_d_equipements,moyenne_du_nombre_de_types_d_equipements_de_la_tranche_de_la_c,nombre_de_type_d_equipements_de_l_epci,moyenne_du_nombre_de_types_d_equipements_de_la_tranche_de_l_ep,_01___bassin_de_natation,_02___boulodrome,_03___bowling,_04___circuit_piste_de_sports_mecaniques,_05___court_de_tennis,_06___equipement_de_cyclisme,_07___equipement_piste_de_ski,_08___equipement_d_activites_de_forme_et_de_sante,_09___equipement_equestre,_10___equipement_d_athletisme,_11___mur_et_fronton,_12___parcours_de_golf,_13___parcours_sportif_sante,_14___pas_de_tir,_15___aire_de_sports_de_glaces,_16___plaine_de_jeux,_17___plateau_eps,_18___salle_de_combat,_19___salle_multisports,_21___salle_ou_terrain_specialise,_22___salle_non_specialisee,_23___site_d_activites_aeriennes,_24___site_d_activites_aquatiques_et_nautiques,_25___site_de_modelisme,_26___skate_park_velo_freestyle,_27___structure_artificielle_d_escalade,_28___terrain_de_grands_jeux,_29___terrain_exterieur_de_petits_jeux_collectifs,_30___divers_equipements_sports_de_nature,_31___divers_equipements,longitude,latitude,the_geom,cartodb_id,created_at,updated_at
98720,HAO,1328,7,5.3,Moins de 2000,7.9,5.4,,,,,5,2.5,29,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,,,,28510,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
88282,Le Magny,40,0,0,Moins de 2000,7.9,5.2,,,,,0,2.5,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,36487,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
98819,Ouégoa,2132,9,4.2,2.000 à 10.000,5.6,6.8,,,,,4,9.8,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,3,0,0,,,,28566,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
2533,Muret-et-Crouttes,139,2,14.4,Moins de 2000,7.9,6.6,CC du Canton d'Oulchy le Château,9.1,Moins de 20.000,8.5,2,2.5,10,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43484464006119,49.2784464927482,0101000020E6100000C83A9FD38F7A0B400C057A22A4A34840,713,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
7231,Saint-Étienne-de-Fontbellon,2480,12,4.8,2.000 à 10.000,5.6,11.1,CC du Vinobre,5.5,Moins de 20.000,8.5,8,9.8,18,14.5,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,4.37368908508781,44.5984500810534,0101000020E6100000174CFD59A87E1140DA3423039A4C4640,1828,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
9074,Camon,166,1,6,Moins de 2000,7.9,13.6,CC du Pays de Mirepoix,8.8,Moins de 20.000,8.5,1,2.5,19,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.96218173649012,43.0216788504186,0101000020E6100000718930AD1865FF3F09C8605FC6824540,2288,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
9124,Fossat,1063,11,10.3,Moins de 2000,7.9,13.6,CC de Lèze,7,Moins de 20.000,8.5,6,2.5,13,14.5,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,1.41500824947331,43.1797662463691,0101000020E6100000E1EDB0B0DFA3F63F3C8A929402974540,2325,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
10365,Salon,150,1,6.7,Moins de 2000,7.9,4.3,CC de Plancy-l'Abbaye,3.7,Moins de 20.000,8.5,1,2.5,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.01818254649902,48.6429139416209,0101000020E610000000490A729E121040BDB308014B524840,2674,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
16254,Palluaud,247,2,8.1,Moins de 2000,7.9,4.5,CC Tude et Dronne,5.9,Moins de 20.000,8.5,2,2.5,17,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.242076545470797,45.3480517357956,0101000020E6100000527EF63E5DFCCE3F714793F58CAC4640,4322,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
21132,Chamboeuf,331,1,3,Moins de 2000,7.9,4.3,CC de Gevrey-Chambertin,6.2,Moins de 20.000,8.5,1,2.5,13,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9025967600051,47.2276229142642,0101000020E610000034CA3653429C1340E04A66BF229D4740,5428,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
