id_equipement,nom_equipement,type_equipement,commune,departement,region,capacite_accueil_spectateurs,surface_m2,etat_vetuste,consommation_energetique_annuelle_mwh,gaspillage_kwh_par_m2,taux_utilisation_semaine_pct,alerte_gaspillage_energetique
EQ-75-001,Parc des Princes,Gymnase,Paris,75,Île-de-France,25000,11250.0,À rénover,1776.8,157.9,40.3,False
EQ-75-002,Stade de France,Stade omnisports,Paris,75,Île-de-France,80000,36000.0,Neuf / Récent,1827.6,50.8,63.6,False
EQ-75-003,Accor Arena,Palais des Sports / Arena,Paris,75,Île-de-France,25000,11250.0,Neuf / Récent,2003.1,178.1,71.1,False
EQ-75-004,Piscine olympique Municipal Paris N°1,Piscine olympique,Paris,75,Île-de-France,270,562.9,Vétuste urgent,163.4,290.3,43.9,False
EQ-75-005,Patinoire Municipal Paris N°2,Patinoire,Paris,75,Île-de-France,1526,2275.6,À rénover,628.3,276.1,66.2,False
EQ-75-006,Piscine olympique Municipal Paris N°3,Piscine olympique,Paris,75,Île-de-France,2166,1279.2,Vétuste urgent,268.1,209.6,49.7,False
EQ-75-007,Gymnase Municipal Paris N°4,Gymnase,Paris,75,Île-de-France,2408,1609.4,À rénover,335.0,208.2,69.9,False
EQ-75-008,Gymnase Municipal Paris N°5,Gymnase,Paris,75,Île-de-France,694,2325.9,Bon état,288.1,123.9,16.5,True
EQ-75-009,Gymnase Municipal Paris N°6,Gymnase,Paris,75,Île-de-France,2223,719.9,Neuf / Récent,415.9,577.7,20.5,True
EQ-75-010,Stade omnisports Municipal Paris N°7,Stade omnisports,Paris,75,Île-de-France,1507,1516.3,Neuf / Récent,712.4,469.8,64.4,False
EQ-75-011,Dojo Municipal Paris N°8,Dojo,Paris,75,Île-de-France,2096,2298.7,Neuf / Récent,802.2,349.0,62.0,False
EQ-75-012,Court de tennis Municipal Paris N°9,Court de tennis,Paris,75,Île-de-France,1147,1559.0,À rénover,663.3,425.5,60.6,False
EQ-75-013,Stade omnisports Municipal Paris N°10,Stade omnisports,Paris,75,Île-de-France,1631,3480.5,Bon état,724.1,208.0,58.3,False
EQ-75-014,Stade omnisports Municipal Paris N°11,Stade omnisports,Paris,75,Île-de-France,1618,2475.9,À rénover,387.3,156.4,72.6,False
EQ-75-015,Patinoire Municipal Paris N°12,Patinoire,Paris,75,Île-de-France,1189,1126.9,Bon état,351.6,312.0,24.8,True
EQ-75-016,Stade omnisports Municipal Paris N°13,Stade omnisports,Paris,75,Île-de-France,1681,524.5,Bon état,326.3,622.1,30.0,False
EQ-75-017,Dojo Municipal Paris N°14,Dojo,Paris,75,Île-de-France,2039,556.5,Bon état,827.4,1486.8,64.9,False
EQ-31-018,Stade Ernest-Wallon,Stade omnisports,Toulouse,31,Occitanie,60000,27000.0,Vétuste urgent,3089.3,114.4,63.9,False
EQ-31-019,Stadium de Toulouse,Stade omnisports,Toulouse,31,Occitanie,15000,6750.0,Bon état,1211.3,179.5,29.6,True
EQ-31-020,Palais des Sports André-Brouat,Palais des Sports / Arena,Toulouse,31,Occitanie,25000,11250.0,Bon état,2706.7,240.6,63.0,False
EQ-31-021,Court de tennis Municipal Toulouse N°1,Court de tennis,Toulouse,31,Occitanie,1715,819.1,Neuf / Récent,511.6,624.6,64.8,False
EQ-31-022,Court de tennis Municipal Toulouse N°2,Court de tennis,Toulouse,31,Occitanie,1153,1103.6,Bon état,923.8,837.1,48.6,False
EQ-31-023,Stade omnisports Municipal Toulouse N°3,Stade omnisports,Toulouse,31,Occitanie,2442,691.0,Bon état,167.3,242.1,64.0,False
EQ-31-024,Dojo Municipal Toulouse N°4,Dojo,Toulouse,31,Occitanie,327,824.8,À rénover,560.9,680.0,48.6,False
EQ-31-025,Court de tennis Municipal Toulouse N°5,Court de tennis,Toulouse,31,Occitanie,1185,846.5,Vétuste urgent,233.6,276.0,60.3,False
