concession_id,event_id,nom_equipement,nom_stand,type_stand,recette_nourriture_boisson_eur,recette_merchandising_eur,panier_moyen_par_spectateur_eur
CNS-00001,EVT-STADE-2025-0001,Stade Chaban-Delmas,Buvette Tribune Nord,Restauration / Buvette,103473.95,0.0,2.84
CNS-00002,EVT-STADE-2025-0001,Stade Chaban-Delmas,Buvette Tribune Sud,Restauration / Buvette,85725.0,0.0,2.35
CNS-00003,EVT-STADE-2025-0001,Stade Chaban-Delmas,Boutique Officielle Club,Boutique Merchandising,0.0,344726.64,9.47
CNS-00004,EVT-STADE-2025-0001,Stade Chaban-Delmas,Bar VIP Loges Prestige,Bar VIP Loges,244780.69,134480.45,10.41
CNS-00005,EVT-STADE-2025-0001,Stade Chaban-Delmas,Stand Snacking Parvis,Restauration / Buvette,104380.31,0.0,2.87
CNS-00006,EVT-STADE-2025-0002,Stade Chaban-Delmas,Buvette Tribune Nord,Restauration / Buvette,151519.89,0.0,2.57
CNS-00007,EVT-STADE-2025-0002,Stade Chaban-Delmas,Buvette Tribune Sud,Restauration / Buvette,162233.47,0.0,2.75
CNS-00008,EVT-STADE-2025-0002,Stade Chaban-Delmas,Boutique Officielle Club,Boutique Merchandising,0.0,440629.36,7.47
CNS-00009,EVT-STADE-2025-0002,Stade Chaban-Delmas,Bar VIP Loges Prestige,Bar VIP Loges,584146.18,161762.42,12.65
CNS-00010,EVT-STADE-2025-0002,Stade Chaban-Delmas,Stand Snacking Parvis,Restauration / Buvette,174988.92,0.0,2.97
CNS-00011,EVT-STADE-2025-0003,Stade de la Meinau,Buvette Tribune Nord,Restauration / Buvette,76765.39,0.0,2.47
CNS-00012,EVT-STADE-2025-0003,Stade de la Meinau,Buvette Tribune Sud,Restauration / Buvette,101626.78,0.0,3.27
CNS-00013,EVT-STADE-2025-0003,Stade de la Meinau,Boutique Officielle Club,Boutique Merchandising,0.0,286254.35,9.21
CNS-00014,EVT-STADE-2025-0003,Stade de la Meinau,Bar VIP Loges Prestige,Bar VIP Loges,240003.47,45612.56,9.19
CNS-00015,EVT-STADE-2025-0003,Stade de la Meinau,Stand Snacking Parvis,Restauration / Buvette,109302.34,0.0,3.52
CNS-00016,EVT-STADE-2025-0004,Complexe Bréquigny,Buvette Tribune Nord,Restauration / Buvette,48572.27,0.0,4.05
CNS-00017,EVT-STADE-2025-0004,Complexe Bréquigny,Buvette Tribune Sud,Restauration / Buvette,28666.1,0.0,2.39
CNS-00018,EVT-STADE-2025-0004,Complexe Bréquigny,Boutique Officielle Club,Boutique Merchandising,0.0,128195.03,10.7
