event_id,nom_equipement,commune,nom_evenement,categorie_evenement,date_heure_evenement,capacite_stade,billets_vendus_grand_public,billets_vip_hospitalite_vendus,taux_remplissage_pct,recette_billetterie_brute_eur
EVT-STADE-2025-0001,Stade Chaban-Delmas,Bordeaux,Finale Coupe de France - Bordeaux,Rencontre Internationale,2025-06-27 15:00:00,60000,31934,4486,60.7,2079520.0
EVT-STADE-2025-0002,Stade Chaban-Delmas,Bordeaux,Match Championnat Ligue 1 - Bordeaux,Match Championnat,2025-03-09 15:00:00,60000,50588,8392,98.3,4374460.0
EVT-STADE-2025-0003,Stade de la Meinau,Strasbourg,Match Championnat Ligue 1 - Strasbourg,Match Championnat,2025-11-21 15:00:00,35000,27249,3831,88.8,2183955.0
EVT-STADE-2025-0004,Complexe Bréquigny,Rennes,Concert Star Arena Tour - Rennes,Concert / Spectacle,2025-03-17 21:00:00,15000,10985,1000,79.9,1183725.0
EVT-STADE-2025-0005,Patinoire Pôle Sud,Grenoble,Finale Coupe de France - Grenoble,Rencontre Internationale,2025-04-17 18:00:00,15000,10657,1087,78.3,591460.0
EVT-STADE-2025-0006,Accor Arena,Paris,Finale Coupe de France - Paris,Rencontre Internationale,2025-12-10 21:00:00,25000,13415,1810,60.9,854950.0
EVT-STADE-2025-0007,Arena du Pays d'Aix,Marseille,Tournoi National Jeunes - Marseille,Tournoi Jeunes,2025-12-27 18:00:00,42000,31019,4009,83.4,1932820.0
EVT-STADE-2025-0008,Halle Clémenceau,Grenoble,Tournoi National Jeunes - Grenoble,Tournoi Jeunes,2025-08-05 18:00:00,25000,17998,3127,84.5,1321690.0
EVT-STADE-2025-0009,Halle de la Trocardière,Nantes,Finale Coupe de France - Nantes,Rencontre Internationale,2025-11-15 18:00:00,42000,35703,5625,98.4,2477340.0
EVT-STADE-2025-0010,Rhenus Sport,Strasbourg,Rencontre Top 14 Rugby - Strasbourg,Match Championnat,2025-09-04 21:00:00,60000,53287,5033,97.2,3656165.0
EVT-STADE-2025-0011,Stade de la Meinau,Strasbourg,Finale Coupe de France - Strasbourg,Rencontre Internationale,2025-10-26 15:00:00,35000,24372,3837,80.6,1690410.0
EVT-STADE-2025-0012,LDLC Arena,Lyon,Match Championnat Ligue 1 - Lyon,Match Championnat,2025-02-27 20:00:00,15000,8787,977,65.1,639665.0
EVT-STADE-2025-0013,Groupama Stadium,Lyon,Concert Star Arena Tour - Lyon,Concert / Spectacle,2025-10-09 18:00:00,35000,25543,2877,81.2,2890405.0
EVT-STADE-2025-0014,Stade des Alpes,Grenoble,Concert Star Arena Tour - Grenoble,Concert / Spectacle,2025-11-10 21:00:00,15000,12346,1379,91.5,1394160.0
EVT-STADE-2025-0015,Stade de la Meinau,Strasbourg,Tournoi National Jeunes - Strasbourg,Tournoi Jeunes,2025-12-26 15:00:00,35000,27530,2780,86.6,1520900.0
EVT-STADE-2025-0016,Complexe Mangin-Beaulieu,Nantes,Finale Coupe de France - Nantes,Rencontre Internationale,2025-11-21 20:00:00,80000,43810,7070,63.6,3081800.0
EVT-STADE-2025-0017,Complexe Bréquigny,Rennes,Match Championnat Ligue 1 - Rennes,Match Championnat,2025-04-12 15:00:00,15000,9076,1034,67.4,666920.0
EVT-STADE-2025-0018,Parc des Princes,Paris,Rencontre Top 14 Rugby - Paris,Match Championnat,2025-07-28 20:00:00,25000,20902,2373,93.1,1533840.0
EVT-STADE-2025-0019,Halle de la Trocardière,Nantes,Match Championnat Ligue 1 - Nantes,Match Championnat,2025-01-13 21:00:00,42000,31237,3707,83.2,2332415.0
EVT-STADE-2025-0020,Stadium de Toulouse,Toulouse,Finale Coupe de France - Toulouse,Rencontre Internationale,2025-11-06 18:00:00,15000,12539,1906,96.3,852670.0
EVT-STADE-2025-0021,Rhenus Sport,Strasbourg,Match Championnat Ligue 1 - Strasbourg,Match Championnat,2025-09-26 15:00:00,60000,37088,5452,70.9,3031960.0
