id_bilan,id_exploitation,annee_exercice,bilan_co2_tonnes_evitees,montant_subvention_pac_eur,montant_credits_carbone_eur,label_obtenu
BIL_EXP_310000_2023,EXP_310000,2023,0.0,35249.33,0.0,AUCUN
BIL_EXP_310000_2024,EXP_310000,2024,0.0,24824.75,0.0,AUCUN
BIL_EXP_310000_2025,EXP_310000,2025,0.0,26303.54,0.0,AUCUN
BIL_EXP_310001_2023,EXP_310001,2023,325.76,37175.13,14659.2,LABEL_BAS_CARBONE
BIL_EXP_310001_2024,EXP_310001,2024,285.67,33991.04,12855.15,LABEL_BAS_CARBONE
BIL_EXP_310001_2025,EXP_310001,2025,363.94,30163.83,16377.3,LABEL_BAS_CARBONE
BIL_EXP_310002_2023,EXP_310002,2023,0.0,60167.68,0.0,AUCUN
BIL_EXP_310002_2024,EXP_310002,2024,0.0,82364.7,0.0,AUCUN
BIL_EXP_310002_2025,EXP_310002,2025,0.0,65631.85,0.0,AUCUN
BIL_EXP_310003_2023,EXP_310003,2023,0.0,103818.34,0.0,AUCUN
BIL_EXP_310003_2024,EXP_310003,2024,0.0,83808.44,0.0,AUCUN
BIL_EXP_310003_2025,EXP_310003,2025,0.0,106487.28,0.0,AUCUN
BIL_EXP_310004_2023,EXP_310004,2023,0.0,55350.06,0.0,AUCUN
BIL_EXP_310004_2024,EXP_310004,2024,0.0,49789.07,0.0,AUCUN
BIL_EXP_310004_2025,EXP_310004,2025,0.0,70140.56,0.0,AUCUN
BIL_EXP_310005_2023,EXP_310005,2023,1019.99,66914.67,45899.55,Bio / Agriculture Biologique
BIL_EXP_310005_2024,EXP_310005,2024,373.01,71552.33,16785.45,Bio / Agriculture Biologique
BIL_EXP_310005_2025,EXP_310005,2025,870.69,67928.63,39181.05,Bio / Agriculture Biologique
BIL_EXP_310006_2023,EXP_310006,2023,0.0,34331.79,0.0,AUCUN
BIL_EXP_310006_2024,EXP_310006,2024,0.0,54131.05,0.0,AUCUN
BIL_EXP_310006_2025,EXP_310006,2025,0.0,41415.02,0.0,AUCUN
