id_capteur,id_parcelle,date_releve,humidite_sol_pct,temperature_sol_c,niveau_stress_hydrique,precipitations_mm,evapotranspiration_mm,indice_vegetation_ndvi
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-01,31.1,18.7,FAIBLE,0.9,3.5,0.6
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-02,44.6,19.3,FAIBLE,6.6,3.7,0.74
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-03,43.8,28.4,FAIBLE,10.4,2.7,0.66
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-04,26.0,28.1,MODERE,7.9,4.9,0.66
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-05,19.5,23.3,SEVERE,12.4,2.7,0.64
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-06,43.9,17.0,FAIBLE,8.6,4.6,0.52
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-07,24.4,17.5,MODERE,3.6,4.3,0.78
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-08,34.7,21.2,FAIBLE,7.6,5.6,0.67
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-09,23.5,25.0,MODERE,5.7,4.6,0.54
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-10,26.1,20.0,MODERE,1.1,3.8,0.73
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-11,45.0,28.5,FAIBLE,3.1,3.1,0.48
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-12,43.2,27.0,FAIBLE,5.4,2.7,0.78
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-13,40.5,24.8,FAIBLE,14.3,4.5,0.68
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-14,18.2,26.2,SEVERE,9.6,5.6,0.56
IOT_PAR_EXP_310000_1,PAR_EXP_310000_1,2025-06-15,21.6,17.4,SEVERE,8.0,3.1,0.49
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-01,22.0,17.6,SEVERE,13.0,5.0,0.56
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-02,41.2,27.2,FAIBLE,3.6,2.5,0.53
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-03,39.1,27.1,FAIBLE,9.0,2.7,0.6
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-04,43.1,26.8,FAIBLE,11.8,5.4,0.81
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-05,18.7,25.2,SEVERE,13.5,5.1,0.57
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-06,41.3,26.1,FAIBLE,11.4,2.5,0.55
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-07,41.5,26.7,FAIBLE,11.8,3.8,0.53
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-08,26.2,25.9,MODERE,0.3,2.8,0.53
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-09,26.9,26.8,MODERE,4.0,4.5,0.81
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-10,28.8,28.3,MODERE,13.6,2.5,0.65
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-11,44.2,18.2,FAIBLE,3.8,2.5,0.81
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-12,29.7,25.1,MODERE,8.8,4.0,0.57
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-13,28.4,23.2,MODERE,10.3,2.1,0.54
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-14,43.0,22.7,FAIBLE,10.8,4.6,0.72
IOT_PAR_EXP_310000_2,PAR_EXP_310000_2,2025-06-15,27.8,16.9,MODERE,4.8,3.3,0.7
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-01,25.7,24.3,MODERE,1.4,5.6,0.68
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-02,24.3,19.9,MODERE,2.1,2.3,0.75
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-03,44.6,23.6,FAIBLE,6.6,5.4,0.73
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-04,33.5,25.0,FAIBLE,5.8,2.6,0.59
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-05,36.6,27.2,FAIBLE,12.8,5.0,0.77
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-06,23.9,26.1,MODERE,6.7,4.2,0.71
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-07,42.8,17.5,FAIBLE,6.7,4.1,0.5
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-08,33.1,20.0,FAIBLE,6.4,5.1,0.73
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-09,42.1,21.3,FAIBLE,6.5,2.7,0.79
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-10,41.3,21.6,FAIBLE,12.2,3.1,0.73
