id_parcelle,id_exploitation,nom_parcelle,surface_ha,culture_actuelle,code_ciqual,type_sol,irrigation_active,score_sante_sol,annee_plantation
PAR_EXP_310000_1,EXP_310000,Champ rue #1,31.7,"Pomme, crue",13034,Granitique,True,47,2021
PAR_EXP_310000_2,EXP_310000,Champ boulevard #2,31.7,"Pêche, crue",13030,Limoneux,True,70,2020
PAR_EXP_310000_3,EXP_310000,Champ avenue #3,31.7,"Pomme, crue",13034,Sableux,True,57,2019
PAR_EXP_310001_1,EXP_310001,Champ rue #1,35.2,"Raisin de cuve rouge, cru",13012,Granitique,True,74,2017
PAR_EXP_310001_2,EXP_310001,Champ boulevard #2,35.2,"Raisin de cuve rouge, cru",13012,Granitique,False,76,2022
PAR_EXP_310001_3,EXP_310001,Champ avenue #3,35.2,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,True,95,2019
PAR_EXP_310002_1,EXP_310002,Champ chemin #1,83.3,"Pêche, crue",13030,Granitique,True,49,2017
PAR_EXP_310002_2,EXP_310002,Champ chemin #2,83.3,"Pêche, crue",13030,Argilo-calcaire,True,44,2022
PAR_EXP_310002_3,EXP_310002,Champ avenue #3,83.3,"Pomme, crue",13034,Limoneux,True,59,2019
PAR_EXP_310003_1,EXP_310003,Champ avenue #1,93.9,"Pomme, crue",13034,Sableux,True,44,2020
PAR_EXP_310003_2,EXP_310003,Champ avenue #2,93.9,"Poire, crue",13032,Argilo-calcaire,True,66,2016
PAR_EXP_310003_3,EXP_310003,Champ chemin #3,93.9,"Pêche, crue",13030,Alluvial,True,51,2017
PAR_EXP_310004_1,EXP_310004,Champ rue #1,71.9,"Pomme, crue",13034,Granitique,True,69,2022
PAR_EXP_310004_2,EXP_310004,Champ chemin #2,71.9,"Poire, crue",13032,Granitique,True,68,2023
PAR_EXP_310004_3,EXP_310004,Champ rue #3,71.9,"Poire, crue",13032,Argilo-calcaire,True,50,2015
PAR_EXP_310005_1,EXP_310005,Champ chemin #1,102.2,"Pomme de terre, crue",20038,Sableux,True,53,2016
PAR_EXP_310005_2,EXP_310005,Champ rue #2,102.2,"Carotte, crue",20008,Alluvial,True,87,2018
PAR_EXP_310005_3,EXP_310005,Champ boulevard #3,102.2,"Carotte, crue",20008,Limoneux,True,87,2023
PAR_EXP_310006_1,EXP_310006,Champ chemin #1,53.2,"Pois chiche, sec",20042,Sableux,False,43,2015
PAR_EXP_310006_2,EXP_310006,Champ rue #2,53.2,Graines de tournesol,15011,Granitique,False,57,2021
PAR_EXP_310006_3,EXP_310006,Champ avenue #3,53.2,"Pois chiche, sec",20042,Alluvial,False,69,2024
PAR_EXP_310007_1,EXP_310007,Champ avenue #1,24.9,"Raisin de cuve blanc, cru",13013,Alluvial,True,72,2016
PAR_EXP_310007_2,EXP_310007,Champ avenue #2,24.9,"Raisin de cuve blanc, cru",13013,Sableux,True,87,2017
PAR_EXP_310007_3,EXP_310007,Champ rue #3,24.9,"Raisin de cuve rouge, cru",13012,Sableux,True,58,2017
PAR_EXP_310008_1,EXP_310008,Champ chemin #1,105.0,Graines de tournesol,15011,Argilo-calcaire,False,57,2017
PAR_EXP_310008_2,EXP_310008,Champ avenue #2,105.0,Graines de colza,15003,Granitique,False,56,2020
PAR_EXP_310008_3,EXP_310008,Champ rue #3,105.0,Graines de colza,15003,Limoneux,False,30,2020
PAR_EXP_310009_1,EXP_310009,Champ avenue #1,52.5,Graines de colza,15003,Argilo-calcaire,True,80,2021
