id_recolte,id_parcelle,id_exploitation,annee_campagne,quantite_recoltee_tonnes,rendement_ha_tonnes,taux_humidite_pct,score_ef_total_lot,emissions_co2_kg_eq,prix_vente_tonne_eur,statut_commercialisation
REC_PAR_EXP_310000_1_2021,PAR_EXP_310000_1,EXP_310000,2021,810.57,25.57,11.7,0.782,633865.74,187.58,VENDU_COOPERATIVE
REC_PAR_EXP_310000_1_2022,PAR_EXP_310000_1,EXP_310000,2022,1142.15,36.03,12.3,0.75,856612.5,195.3,VENDU_COOPERATIVE
REC_PAR_EXP_310000_1_2023,PAR_EXP_310000_1,EXP_310000,2023,849.56,26.8,15.0,0.561,476603.16,219.0,VENDU_COOPERATIVE
REC_PAR_EXP_310000_1_2024,PAR_EXP_310000_1,EXP_310000,2024,459.33,14.49,11.7,0.754,346334.82,299.84,VENDU_COOPERATIVE
REC_PAR_EXP_310000_1_2025,PAR_EXP_310000_1,EXP_310000,2025,1425.87,44.98,12.2,0.768,1095068.16,315.66,VENDU_COOPERATIVE
REC_PAR_EXP_310000_2_2021,PAR_EXP_310000_2,EXP_310000,2021,593.42,18.72,12.5,0.667,395811.14,216.96,STOCKE_FERME
REC_PAR_EXP_310000_2_2022,PAR_EXP_310000_2,EXP_310000,2022,1330.45,41.97,11.7,0.375,498918.75,268.8,STOCKE_FERME
REC_PAR_EXP_310000_2_2023,PAR_EXP_310000_2,EXP_310000,2023,729.42,23.01,14.5,0.415,302709.3,317.17,VENDU_COOPERATIVE
REC_PAR_EXP_310000_2_2024,PAR_EXP_310000_2,EXP_310000,2024,957.66,30.21,15.3,0.564,540120.24,181.35,VENDU_COOPERATIVE
REC_PAR_EXP_310000_2_2025,PAR_EXP_310000_2,EXP_310000,2025,1103.16,34.8,13.8,0.425,468843.0,185.04,STOCKE_FERME
REC_PAR_EXP_310000_3_2021,PAR_EXP_310000_3,EXP_310000,2021,1078.12,34.01,12.3,0.513,553075.56,277.61,VENDU_COOPERATIVE
REC_PAR_EXP_310000_3_2022,PAR_EXP_310000_3,EXP_310000,2022,1075.9,33.94,14.0,0.54,580986.0,284.74,VENDU_COOPERATIVE
REC_PAR_EXP_310000_3_2023,PAR_EXP_310000_3,EXP_310000,2023,695.18,21.93,12.3,0.624,433792.32,180.06,STOCKE_FERME
REC_PAR_EXP_310000_3_2024,PAR_EXP_310000_3,EXP_310000,2024,1202.38,37.93,13.3,0.653,785154.14,225.11,STOCKE_FERME
REC_PAR_EXP_310000_3_2025,PAR_EXP_310000_3,EXP_310000,2025,603.88,19.05,14.1,0.587,354477.56,306.17,VENDU_COOPERATIVE
REC_PAR_EXP_310001_1_2021,PAR_EXP_310001_1,EXP_310001,2021,480.83,13.66,12.8,0.245,117803.35,209.63,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_1_2022,PAR_EXP_310001_1,EXP_310001,2022,1306.62,37.12,14.8,0.245,320121.9,285.28,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_1_2023,PAR_EXP_310001_1,EXP_310001,2023,715.26,20.32,13.7,0.147,105143.22,182.71,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_1_2024,PAR_EXP_310001_1,EXP_310001,2024,1584.0,45.0,14.6,0.235,372240.0,271.02,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_1_2025,PAR_EXP_310001_1,EXP_310001,2025,1179.55,33.51,12.3,0.369,435253.95,312.95,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_2_2021,PAR_EXP_310001_2,EXP_310001,2021,1343.58,38.17,14.3,0.151,202880.58,211.02,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_2_2022,PAR_EXP_310001_2,EXP_310001,2022,777.92,22.1,13.6,0.312,242711.04,246.26,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_2_2023,PAR_EXP_310001_2,EXP_310001,2023,916.61,26.04,14.3,0.366,335479.26,226.31,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_2_2024,PAR_EXP_310001_2,EXP_310001,2024,737.09,20.94,12.3,0.203,149629.27,196.89,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_2_2025,PAR_EXP_310001_2,EXP_310001,2025,561.44,15.95,12.2,0.297,166747.68,286.71,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_3_2021,PAR_EXP_310001_3,EXP_310001,2021,1113.73,31.64,13.3,0.392,436582.16,308.97,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_3_2022,PAR_EXP_310001_3,EXP_310001,2022,966.94,27.47,12.6,0.22,212726.8,236.35,VALORISE_BAS_CARBONE
