annee,films_fiction,films_documentaire,films_animation,total_nouveautes
1996,372.0,12.0,10.0,394.0
1997,385.0,27.0,7.0,419.0
1998,419.0,25.0,6.0,450.0
1999,491.0,22.0,17.0,530.0
2000,487.0,28.0,17.0,532.0
2001,453.0,35.0,16.0,504.0
2002,424.0,25.0,19.0,468.0
2003,445.0,42.0,22.0,509.0
2004,458.0,75.0,23.0,556.0
2005,468.0,57.0,22.0,547.0
2006,505.0,51.0,29.0,585.0
2007,479.0,64.0,23.0,566.0
2008,475.0,58.0,22.0,555.0
2009,481.0,70.0,34.0,585.0
2010,479.0,75.0,24.0,578.0
2011,469.0,82.0,34.0,585.0
2012,492.0,91.0,31.0,614.0
2013,534.0,87.0,33.0,654.0
2014,534.0,100.0,29.0,663.0
2015,512.0,104.0,34.0,650.0
2016,563.0,118.0,35.0,716.0
2017,537.0,120.0,36.0,693.0
2018,520.0,127.0,36.0,683.0
2019,541.0,153.0,52.0,746.0
2020,265.0,74.0,25.0,364.0
2021,327.0,89.0,38.0,454.0
2022,489.0,135.0,52.0,676.0
2023,542.0,114.0,59.0,715.0
2024,547.0,136.0,60.0,743.0
2025,615.0,143.0,54.0,812.0
1996,104767434.0,2150887.0,9052468.0,115970789.0
1997,124682612.0,530467.0,4290806.0,129503885.0
1998,143035454.0,398665.0,10356236.0,153790355.0
1999,123943129.0,763205.0,12886444.0,137592778.0
2000,132425315.0,334096.0,16465323.0,149224734.0
2001,154074311.0,1773307.0,12378313.0,168225931.0
2002,143948374.0,2533481.0,17579483.0,164061338.0
2003,140735359.0,590424.0,17749186.0,159074969.0
2004,150617892.0,6519942.0,22693854.0,179831688.0
2005,140556090.0,2675039.0,16382743.0,159613872.0
2006,145205582.0,1665464.0,26916820.0,173787866.0
2007,132065959.0,2980368.0,24345857.0,159392184.0
2008,155370546.0,1705996.0,17193977.0,174270519.0
2009,154730853.0,3011289.0,28643926.0,186386068.0
2010,149371855.0,4752895.0,30302529.0,184427279.0
2011,166903898.0,1322414.0,32460828.0,200687140.0
2012,153144998.0,1781391.0,26419567.0,181345956.0
2013,146440374.0,3128726.0,25644706.0,175213806.0
2014,162833808.0,2047968.0,23348442.0,188230218.0
2015,149826405.0,2235266.0,29810041.0,181871712.0
2016,155130219.0,3267014.0,33868617.0,192265850.0
2017,155829354.0,2874953.0,31020354.0,189724661.0
2018,149720290.0,2171810.0,24315711.0,176207811.0
2019,156523726.0,2064074.0,32953856.0,191541656.0
2020,45669457.0,959902.0,5664844.0,52294203.0
2021,71486574.0,1106867.0,14918110.0,87511551.0
2022,111123364.0,1867496.0,18772395.0,131763255.0
2023,124853804.0,1521295.0,29511393.0,155886492.0
2024,123332554.0,2597817.0,30249562.0,156179933.0
2025,110014772.0,2210569.0,19503868.0,131729209.0
1996,569143996.23,10668804.56,44943022.29,624755823.0799999
1997,674049300.15,2668572.83,20710072.03,697427945.01
1998,784727663.91,1959502.92,52190852.6,838878019.43
1999,682534812.14,4054524.47,64667217.32,751256553.9300001
2000,734229237.59,1678177.79,83250002.02,819157417.4
2001,856717433.07,9581635.0,64714154.51,931013222.58
2002,824210181.35,13597440.04,93610339.48,931417960.87
2003,828666391.62,3289143.28,96874651.44,928830186.3399999
2004,898504919.92,37300345.38,126516519.11,1062321784.41
2005,847970850.62,15233789.1,91500950.45,954705590.1700001
2006,887335698.73,9169657.1,153544033.53,1050049389.36
2007,807397284.12,16611063.33,143147468.9,967155816.35
2008,956262948.06,9837714.71,100289055.88,1066389718.65
2009,964223169.52,19054899.48,180166034.79,1163444103.79
2010,944159422.81,28262569.66,198590806.73,1171012799.1999998
2011,1067912885.14,7907300.13,212134793.04,1287954978.31
2012,1000216983.02,10540757.94,170069764.77,1180827505.73
2013,966380346.83,17745629.55,165144479.81,1149270456.19
2014,1068451711.57,11854412.6,136082056.74,1216388180.91
2015,1006265427.82,13375427.69,178009223.21,1197650078.72
2016,1047786581.68,19560214.84,203292075.58,1270638872.1
2017,1069189279.44,16915890.52,186909774.86,1273014944.8200002
2018,1035815402.39,12860873.23,146756118.02,1195432393.64
2019,1107783777.18,12579325.0,206624414.87,1326987517.0500002
2020,312725223.8,5987971.34,35078067.14,353791262.28
2021,529919900.02,6598580.84,96261709.35,632780190.2099999
2022,841481503.64,11321551.19,124270004.2,977073059.0300001
2023,948499057.69,9584127.22,210667036.73,1168750221.64
2024,954724162.71,18236907.45,218037689.97,1190998760.13
2025,850749252.82,16389478.73,142548153.96,1009686885.5100001
1996,3363103.0,46582.0,178777.0,3588462.0
1997,3745419.0,23136.0,85350.0,3853905.0
1998,3871365.0,18426.0,178825.0,4068616.0
1999,4188186.0,26903.0,274078.0,4489167.0
2000,4308331.0,18585.0,360345.0,4687261.0
2001,4572757.0,49157.0,334880.0,4956794.0
2002,4463594.0,72501.0,499639.0,5035734.0
2003,4877668.0,29494.0,421175.0,5328337.0
2004,4848330.0,219020.0,486645.0,5553995.0
2005,4934783.0,96587.0,524915.0,5556285.0
2006,4976730.0,87392.0,720577.0,5784699.0
2007,4923643.0,146042.0,641836.0,5711521.0
2008,5429126.0,97222.0,525220.0,6051568.0
2009,5270447.0,125066.0,813309.0,6208822.0
2010,5298686.0,172643.0,773012.0,6244341.0
2011,5478285.0,79189.0,904530.0,6462004.0
2012,5537226.0,90317.0,843295.0,6470838.0
2013,5713540.0,146271.0,753920.0,6613731.0
2014,6096701.0,125148.0,761105.0,6982954.0
2015,5966914.0,126644.0,952223.0,7045781.0
2016,6257789.0,153796.0,920626.0,7332211.0
2017,6401585.0,184038.0,925889.0,7511512.0
2018,6611391.0,154211.0,894971.0,7660573.0
2019,6614387.0,124525.0,1135254.0,7874166.0
2020,3137102.0,75278.0,430828.0,3643208.0
2021,3904319.0,71070.0,703333.0,4678722.0
2022,6427988.0,123146.0,993929.0,7545063.0
2023,6267341.0,93481.0,1167990.0,7528812.0
2024,6407491.0,138055.0,1083153.0,7628699.0
2025,6752759.0,104253.0,860623.0,7717635.0
