annee,entrees_totales,recette_totale_eur,prix_moyen_ticket_eur
1938,452513100,0.0,0.0
1939,373255500,0.0,0.0
1940,255638600,0.0,0.0
1942,281500000,0.0,0.0
1943,304500000,0.0,0.0
1944,245400000,0.0,0.0
1945,402000000,0.0,0.0
1946,369000000,0.0,0.0
1947,423700000,21382499.15771918,0.05046612970903748
1948,402000000,30037029.866286967,0.074718979766883
1949,387700000,33804045.08222338,0.0871912434413809
1950,370700000,39427889.32811145,0.10636064021610857
1951,372800000,50750277.83833392,0.1361327195234279
1952,359600000,59040455.39570429,0.1641836913117472
1953,370600000,63444707.50369308,0.1711945696268027
1954,382800000,69338386.51009136,0.18113476099814882
1955,394800000,73504818.15118979,0.18618241679632672
1956,398800000,75851008.52647354,0.19019811566317335
1957,411600000,83564928.7986865,0.20302460835443756
1958,371000000,90705640.7660868,0.24448959775225554
1959,353700000,90739179.54987903,0.2565427750915438
1960,354600000,100906004.50944193,0.2845629004778396
1961,328300000,98768669.28777345,0.3008488251226727
1962,311700000,105950542.48982784,0.33991191045822217
1963,291200000,112984540.14516196,0.38799636038860563
1964,275800000,116495441.01213951,0.42239101164662624
1965,259100000,120492654.24410442,0.4650430499579483
1966,234170000,119695345.88395277,0.5111472258784334
1967,211450000,119629183.01047173,0.5657563632559552
1968,203240000,119493960.73218215,0.5879450931518507
1969,183880000,122936107.09238563,0.6685670387882621
1970,184420000,134471466.87968877,0.7291588053339593
1971,176980000,142214962.2612458,0.8035651613812057
1972,184400000,164370835.28341034,0.8913819700835702
1973,175960000,179094513.817217,1.0178137861855934
1974,179400000,207205960.14677793,1.154994203716711
1975,181670000,239762819.81898203,1.3197711224692137
1976,177290000,267784168.77935597,1.5104301922237913
1977,170250000,280295507.175013,1.6463759599119707
1978,178540000,321795178.6473808,1.8023702175836274
1979,178100000,351991060.3896292,1.9763675485099899
1980,175427100,430722547.36209846,2.4552794144239884
1981,189231130,529318004.0764867,2.7972036317517457
1982,201934240,630711906.4206953,3.1233529609475603
1983,198867990,671337785.8609635,3.3757961040435087
1984,190867100,682611192.5019475,3.5763690678065916
1985,175078790,665926836.6676475,3.8035837274614903
1986,168128678,675740254.3154505,4.01918496210058
1987,136943750,577483432.6030518,4.216938944661964
1988,124749280,553727759.5939978,4.438725093996517
1989,120913680,560835771.2472006,4.63831529440838
1990,121924502,583287654.5261351,4.78400686456062
1991,117498089,591688327.1311991,5.035727237497446
1992,115995140,600823682.0401337,5.179731513235241
1993,132723710,688920310.3252195,5.190634818188999
1994,124418791,653519170.9212646,5.252576123499421
1995,130235477,690126525.0618562,5.299067051152707
1996,136740585,725978370.6858833,5.309165312448263
1997,149259034,790171071.23,5.293958094556609
1998,170602623,917026015.2199999,5.375216360703629
1999,153608169,823965938.76,5.364076299613988
2000,165757514,893951145.3900001,5.393125921217665
2001,187454333,1021007439.49,5.4466995942419745
2002,184409642,1030008866.4499999,5.585439325618342
2003,173457270,996106316.6700001,5.742661097774379
2004,195845314,1139839552.41,5.820101227492224
2005,175630961,1031801871.06,5.8748290460017465
2006,188761628,1120649313.25,5.9368491632737985
2007,178484148,1061869248.53,5.949375675256046
2008,190308480,1142893230.6,6.005477163182639
2009,201623828,1237235680.22,6.136356463879855
2010,207101105,1309943916.3799999,6.325142091250551
2011,217199035,1374735611.3899999,6.329381764472387
2012,203584018,1306478863.4599998,6.417394038563478
2013,193740613,1250873538.97,6.456434299451711
2014,209078807,1333309408.9999998,6.377066275301637
2015,205358718,1331651208.1099997,6.484512666805797
2016,213204574,1388446936.4500003,6.512275559575942
2017,209413122,1380599273.1,6.5927066074684655
2018,201212935,1336891139.92,6.644161022351769
2019,213223642,1448657603.98,6.794075883855318
2020,65263714,432778240.4,6.63122298556285
2021,95502574,672572394.79,7.042453062992836
2022,152071028,1094654384.71,7.1983098891788915
2023,180470559,1334280982.18,7.393344319280355
2024,181598970,1348254839.88,7.424352901781327
2025,156151628,1158075751.3000002,7.416354002405919
