annee,top_10_entrees,top_20_entrees,top_30_entrees,top_100_entrees
1992,31445766,47196358,58750773,94504178
1993,45953190,61899960,73662922,112013783
1994,37131413,57420525,71223945,102972035
1995,36697811,55773659,69261610,110129981
1996,40473740,60301868,75075882,119654620
1997,42910824,63913603,79515539,128187136
1998,67270784,92588633,106432308,153732054
1999,46932362,65941854,78711048,128585946
2000,49444816,72562640,89747045,140174230
2001,51369456,78356674,98595670,154481451
2002,58342689,86414461,102660389,155152935
2003,46298551,69432384,84473855,136439152
2004,50515823,74737585,91879846,154039741
2005,41826867,63931589,79516078,134754068
2006,50214659,73495200,88971961,143004926
2007,49319205,68938062,83323649,131529311
2008,55090020,75111634,89326646,143628705
2009,49521143,75634228,93550209,154100952
2010,49270329,79965234,100459362,159379512
2011,57564060,82517905,99707682,162878210
2012,46659282,73209481,91840282,152444689
2013,37823195,60269891,78223775,138955733
2014,46916761,71664121,90588288,153894795
2015,51173119,79477893,99127354,155094739
2016,40163422,68448212,89120615,153687821
2017,41836696,70235220,90436844,153705837
2018,44829367,71371158,89634480,144290195
2019,54549974,79022736,97627383,159825552
2020,16536625,25598031,32623749,51777118
2021,26385304,41160549,51055486,76351510
2022,39973162,60824321,73018060,110504754
2023,44756702,65781756,81007656,131726706
2024,57520759,76677964,89831345,133472695
2025,36051519,52669893,65107264,106097844
