id_salle,nom_etablissement,circuit_cinema,commune,code_departement,nom_region,nombre_ecrans,nombre_fauteuils,classification_art_et_essai
CIN-00001,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,20,2400,False
CIN-00002,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,12,3200,False
CIN-00003,Pathé Gaumont Marseille,Pathé Gaumont,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,12,1800,False
CIN-00004,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,20,2400,False
CIN-00005,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,12,1800,False
CIN-00006,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,12,2400,False
CIN-00007,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,16,1800,True
CIN-00008,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,12,2400,True
CIN-00009,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,20,3200,False
CIN-00010,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,20,3200,False
CIN-00011,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,20,1800,False
CIN-00012,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,12,1800,False
CIN-00013,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,12,1800,False
CIN-00014,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,20,2400,False
CIN-00015,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,20,3200,False
CIN-00016,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,20,1800,False
CIN-00017,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,12,2400,False
CIN-00018,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,12,3200,False
CIN-00019,Pathé Gaumont Marseille,Pathé Gaumont,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,16,1800,False
CIN-00020,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,12,1800,True
CIN-00021,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,20,2400,False
CIN-00022,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,16,1800,False
CIN-00023,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,12,3200,True
CIN-00024,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,16,2400,True
CIN-00025,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,12,1800,True
CIN-00026,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,16,2400,True
CIN-00027,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,16,2400,False
CIN-00028,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,20,3200,False
CIN-00029,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,20,1800,False
CIN-00030,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,16,1800,False
CIN-00031,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,16,1800,False
CIN-00032,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,20,2400,False
CIN-00033,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,16,1800,False
CIN-00034,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,20,3200,False
CIN-00035,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,16,2400,False
CIN-00036,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,16,1800,False
CIN-00037,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,16,3200,False
CIN-00038,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,12,3200,False
CIN-00039,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,12,3200,False
CIN-00040,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,16,3200,False
CIN-00041,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,20,1800,False
CIN-00042,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,12,3200,False
CIN-00043,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,12,1800,False
CIN-00044,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,20,1800,False
CIN-00045,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,16,3200,False
CIN-00046,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,12,2400,False
CIN-00047,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,12,2400,False
CIN-00048,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,20,3200,False
CIN-00049,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,20,1800,True
CIN-00050,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,12,1800,False
CIN-00051,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,16,2400,False
CIN-00052,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,16,3200,False
CIN-00053,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,1800,False
