annee_mois,secteur_activite,nom_region,taux_defaillance_annuel_pct,variation_trimestrielle_pct
2018-01,Commerce,Occitanie,8.26,-1.47
2018-01,Commerce,Île-de-France,7.32,2.04
2018-01,Commerce,Provence-Alpes-Côte d'Azur,7.92,2.98
2018-01,Commerce,Auvergne-Rhône-Alpes,7.4,2.01
2018-01,Commerce,Nouvelle-Aquitaine,7.56,1.34
2018-01,Industrie,Occitanie,4.7,-0.47
2018-01,Industrie,Île-de-France,4.42,-1.36
2018-01,Industrie,Provence-Alpes-Côte d'Azur,4.3,1.69
2018-01,Industrie,Auvergne-Rhône-Alpes,4.39,-0.72
2018-01,Industrie,Nouvelle-Aquitaine,4.46,-0.9
2018-01,BTP,Occitanie,10.45,-1.37
2018-01,BTP,Île-de-France,9.07,1.15
2018-01,BTP,Provence-Alpes-Côte d'Azur,8.63,1.52
2018-01,BTP,Auvergne-Rhône-Alpes,8.76,0.67
2018-01,BTP,Nouvelle-Aquitaine,8.66,0.28
2018-01,Technologies,Occitanie,4.69,0.04
2018-01,Technologies,Île-de-France,4.81,0.28
2018-01,Technologies,Provence-Alpes-Côte d'Azur,4.8,2.41
2018-01,Technologies,Auvergne-Rhône-Alpes,4.2,-1.12
2018-01,Technologies,Nouvelle-Aquitaine,3.92,1.04
2018-01,Agroalimentaire,Occitanie,5.64,0.14
2018-01,Agroalimentaire,Île-de-France,4.68,2.17
2018-01,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.68,2.04
2018-01,Agroalimentaire,Auvergne-Rhône-Alpes,5.04,-0.56
2018-01,Agroalimentaire,Nouvelle-Aquitaine,3.92,-0.78
2018-01,Transport,Occitanie,4.59,1.65
2018-01,Transport,Île-de-France,4.58,-0.48
2018-01,Transport,Provence-Alpes-Côte d'Azur,4.74,2.1
2018-01,Transport,Auvergne-Rhône-Alpes,4.1,1.35
2018-01,Transport,Nouvelle-Aquitaine,4.8,-0.96
2018-01,Immobilier,Occitanie,5.42,3.03
2018-01,Immobilier,Île-de-France,4.03,-1.38
