trimestre,indice_criteres_octroi_pme,indice_demande_credit_pme,perception_risque_sectoriel
2018-Q1,2.1,7.4,MODERE
2018-Q2,5.1,14,MODERE
2018-Q3,2.8,5.6,MODERE
2018-Q4,-4.8,2.4,MODERE
2019-Q1,-4.1,9.6,MODERE
2019-Q2,5.6,3.2,MODERE
2019-Q3,-1.4,12.1,MODERE
2019-Q4,-4.9,13.1,MODERE
2020-Q1,32.4,19.8,ELEVE
2020-Q2,36.4,10.2,ELEVE
2020-Q3,38.8,40.8,ELEVE
2020-Q4,22.7,27,ELEVE
2021-Q1,-5.2,17.3,MODERE
2021-Q2,0.3,2.8,MODERE
2021-Q3,-4,15.6,MODERE
2021-Q4,-0.7,14.8,MODERE
2022-Q1,30.4,-8.3,ELEVE
2022-Q2,28.7,-9.1,ELEVE
2022-Q3,35.5,-16.5,ELEVE
2022-Q4,31.5,-18.9,ELEVE
2023-Q1,34.1,-17.9,ELEVE
2023-Q2,35.6,-13.6,ELEVE
2023-Q3,25.9,-24.3,ELEVE
2023-Q4,20.7,-16,ELEVE
2024-Q1,32.6,-18.5,ELEVE
2024-Q2,29.4,-24,ELEVE
2024-Q3,16.8,-23.7,ELEVE
2024-Q4,21.2,-23,ELEVE
2025-Q1,0.6,4.2,MODERE
2025-Q2,-4.3,13.1,MODERE
2025-Q3,3.3,3,MODERE
2025-Q4,-1.5,10.7,MODERE
2026-Q1,-1.3,5.3,MODERE
2026-Q2,-1.3,16.5,MODERE
2026-Q3,1.3,13.1,MODERE
2026-Q4,5.7,14.2,MODERE
