trimestre,nom_region,indice_prix_immo_commercial,indice_prix_immo_residentiel,variation_annuelle_immo_pct
2018-Q1,Occitanie,95,92,3.54
2018-Q1,Île-de-France,95,92,3.53
2018-Q1,Provence-Alpes-Côte d'Azur,95,92,5.21
2018-Q1,Auvergne-Rhône-Alpes,95,92,5.93
2018-Q1,Nouvelle-Aquitaine,95,92,3.91
2018-Q2,Occitanie,95,92,5.37
2018-Q2,Île-de-France,95,92,4.9
2018-Q2,Provence-Alpes-Côte d'Azur,95,92,3.9
2018-Q2,Auvergne-Rhône-Alpes,95,92,2.81
2018-Q2,Nouvelle-Aquitaine,95,92,4.28
2018-Q3,Occitanie,95,92,4.54
2018-Q3,Île-de-France,95,92,3.45
2018-Q3,Provence-Alpes-Côte d'Azur,95,92,3.8
2018-Q3,Auvergne-Rhône-Alpes,95,92,3.99
2018-Q3,Nouvelle-Aquitaine,95,92,5.79
2018-Q4,Occitanie,95,92,4.16
2018-Q4,Île-de-France,95,92,5.07
2018-Q4,Provence-Alpes-Côte d'Azur,95,92,6
2018-Q4,Auvergne-Rhône-Alpes,95,92,3.07
2018-Q4,Nouvelle-Aquitaine,95,92,3.81
2019-Q1,Occitanie,98.5,96,5.65
2019-Q1,Île-de-France,98.5,96,3.84
2019-Q1,Provence-Alpes-Côte d'Azur,98.5,96,4.13
2019-Q1,Auvergne-Rhône-Alpes,98.5,96,5.11
2019-Q1,Nouvelle-Aquitaine,98.5,96,4.38
2019-Q2,Occitanie,98.5,96,6.39
2019-Q2,Île-de-France,98.5,96,4.99
2019-Q2,Provence-Alpes-Côte d'Azur,98.5,96,3.14
2019-Q2,Auvergne-Rhône-Alpes,98.5,96,2.68
2019-Q2,Nouvelle-Aquitaine,98.5,96,6.22
2019-Q3,Occitanie,98.5,96,6.15
2019-Q3,Île-de-France,98.5,96,2.6
2019-Q3,Provence-Alpes-Côte d'Azur,98.5,96,4.94
2019-Q3,Auvergne-Rhône-Alpes,98.5,96,5.73
2019-Q3,Nouvelle-Aquitaine,98.5,96,4.54
2019-Q4,Occitanie,98.5,96,5.62
2019-Q4,Île-de-France,98.5,96,4.53
2019-Q4,Provence-Alpes-Côte d'Azur,98.5,96,4.83
2019-Q4,Auvergne-Rhône-Alpes,98.5,96,3.88
2019-Q4,Nouvelle-Aquitaine,98.5,96,3.36
2020-Q1,Occitanie,102,100,5.82
2020-Q1,Île-de-France,102,100,2.63
2020-Q1,Provence-Alpes-Côte d'Azur,102,100,5.41
2020-Q1,Auvergne-Rhône-Alpes,102,100,4.02
2020-Q1,Nouvelle-Aquitaine,102,100,6.49
2020-Q2,Occitanie,102,100,2.81
2020-Q2,Île-de-France,102,100,2.81
