date_observation,taux_directeur_bce,euribor_3m,euribor_12m,taux_moyen_credit_pme,taux_moyen_credit_eti,inflation_ipc_pct,pib_croissance_pct
2024-04-01,3.61,3.12,3.34,5.07,4.47,3.3,0.8
2024-03-01,3.5,3.01,3.24,4.96,4.36,3.3,1
2023-04-01,2.28,1.87,2.12,3.82,3.22,4.1,1
2022-04-01,0.94,0.62,0.91,2.57,1.97,4.9,0.9
2022-05-01,1.06,0.72,1.01,2.67,2.07,4.9,0.9
2024-05-01,3.72,3.22,3.44,5.17,4.57,3.2,0.6
2023-06-01,2.5,2.08,2.33,4.03,3.43,4,0.7
2023-05-01,2.39,1.97,2.22,3.92,3.32,4,0.9
2021-02-01,0,-0.37,-0.12,1.44,1.14,1.5,2.2
2020-10-01,0,-0.36,-0.16,1.41,1.11,1.5,-7.9
2020-11-01,0,-0.36,-0.11,1.46,1.08,1.5,-7.9
2021-03-01,0,-0.34,-0.13,1.38,1.12,1.5,1.9
2022-06-01,1.17,0.82,1.11,2.77,2.17,4.8,0.6
2025-10-01,3.25,3.17,3.03,4.92,4.37,2.3,1.2
2026-08-01,3.25,3.22,3.08,4.97,4.42,2.3,1.2
2025-09-01,3.25,3.12,3.11,4.87,4.32,2.3,1.1
2025-11-01,3.25,3.22,2.99,4.97,4.42,2.3,1.1
2024-06-01,3.83,3.33,3.54,5.28,4.68,3.1,0.6
2023-07-01,2.61,2.18,2.43,4.13,3.53,3.9,0.9
2020-04-01,0,-0.38,-0.19,1.48,1.11,1.4,-7.9
2020-06-01,0,-0.39,-0.11,1.46,1.15,1.4,-7.9
2018-11-01,0,-0.3,-0.14,1.46,1.18,1.4,2
2018-05-01,0,-0.3,-0.17,1.37,1.09,1.4,1.9
2019-01-01,0,-0.31,-0.17,1.48,1.13,1.4,1.8
2022-07-01,1.28,0.93,1.21,2.88,2.28,4.7,0.9
2025-01-01,3.25,3.11,2.99,4.86,4.31,2.2,1.4
2025-03-01,3.25,3.21,3.13,4.96,4.41,2.2,1.4
2025-06-01,3.25,3.2,2.99,4.95,4.4,2.2,1.3
2026-10-01,3.25,3.14,3.06,4.89,4.34,2.2,1.2
2025-05-01,3.25,3.2,3.11,4.95,4.4,2.2,1.1
2024-07-01,3.94,3.43,3.64,5.38,4.78,3,0.7
2024-08-01,4.06,3.53,3.74,5.48,4.88,3,1
2023-08-01,2.72,2.28,2.53,4.23,3.63,3.8,0.8
2019-08-01,0,-0.31,-0.11,1.41,1.17,1.3,1.5
2018-07-01,0,-0.32,-0.14,1.52,1.16,1.3,1.4
2021-11-01,0,-0.32,-0.13,1.47,1.23,1.3,1.4
2019-02-01,0,-0.37,-0.18,1.46,1.11,1.3,2.1
2018-01-01,0,-0.34,-0.2,1.41,1.11,1.3,1.9
2021-05-01,0,-0.38,-0.1,1.37,1.1,1.3,1.9
2021-06-01,0,-0.38,-0.19,1.53,1.11,1.3,1.9
2022-09-01,1.5,1.14,1.41,3.09,2.49,4.6,0.8
2022-08-01,1.39,1.03,1.31,2.98,2.38,4.6,0.7
2026-11-01,3.25,3.14,3,4.89,4.34,2.1,1.4
2026-03-01,3.25,3.07,3.12,4.82,4.27,2.1,1.3
2026-01-01,3.25,3.19,3.02,4.94,4.39,2.1,1.2
2025-07-01,3.25,3.11,3.1,4.86,4.31,2.1,1.1
2024-09-01,4.17,3.64,3.85,5.59,4.99,2.9,1
2023-09-01,2.83,2.39,2.63,4.34,3.74,3.7,0.8
2023-10-01,2.94,2.49,2.73,4.44,3.84,3.7,0.5
2019-07-01,0,-0.35,-0.1,1.53,1.11,1.2,1.5
2021-04-01,0,-0.35,-0.13,1.36,1.16,1.2,2.1
2020-02-01,0,-0.37,-0.1,1.48,1.14,1.2,-7.9
2020-07-01,0,-0.32,-0.18,1.37,1.14,1.2,-7.9
2022-10-01,1.61,1.24,1.51,3.19,2.59,4.5,1
2025-02-01,3.25,3.14,3.07,4.89,4.34,2,1.4
2025-04-01,3.25,3.07,3.09,4.82,4.27,2,1.4
2026-02-01,3.25,3.13,3.06,4.88,4.33,2,1.3
2026-05-01,3.25,3.18,3.02,4.93,4.38,2,1.3
2026-06-01,3.25,3.19,3.02,4.94,4.39,2,1.2
2026-07-01,3.25,3.13,3.02,4.88,4.33,2,1.2
2026-04-01,3.25,3.19,3.08,4.94,4.39,2,1
2024-10-01,4.28,3.74,3.95,5.69,5.09,2.8,1
2024-11-01,4.39,3.85,4.05,5.8,5.2,2.8,1
2023-11-01,3.06,2.6,2.83,4.55,3.95,3.6,0.5
2018-04-01,0,-0.32,-0.2,1.51,1.18,1.1,1.5
2021-10-01,0,-0.37,-0.11,1.53,1.21,1.1,1.5
2019-10-01,0,-0.4,-0.11,1.53,1.2,1.1,1.4
2021-01-01,0,-0.35,-0.18,1.43,1.08,1.1,2.2
2018-09-01,0,-0.34,-0.16,1.42,1.1,1.1,2.1
2019-12-01,0,-0.32,-0.19,1.45,1.16,1.1,2.1
2021-08-01,0,-0.38,-0.16,1.48,1.12,1.1,2
2018-06-01,0,-0.32,-0.13,1.46,1.23,1.1,1.8
2022-12-01,1.83,1.45,1.72,3.4,2.8,4.4,0.6
2022-11-01,1.72,1.35,1.62,3.3,2.7,4.4,1
2025-12-01,3.25,3.22,3.01,4.97,4.42,1.9,1.2
2026-12-01,3.25,3.2,3,4.95,4.4,1.9,1.2
2025-08-01,3.25,3.2,3.01,4.95,4.4,1.9,1.1
2026-09-01,3.25,3.12,3.06,4.87,4.32,1.9,1.1
2024-12-01,4.5,3.95,4.15,5.9,5.3,2.7,0.6
2023-12-01,3.17,2.7,2.93,4.65,4.05,3.5,1
2024-01-01,3.28,2.8,3.03,4.75,4.15,3.5,1
2018-08-01,0,-0.38,-0.17,1.37,1.11,1,1.6
2021-12-01,0,-0.32,-0.17,1.48,1.22,1,1.5
2019-03-01,0,-0.36,-0.18,1.55,1.15,1,1.4
2018-12-01,0,-0.38,-0.2,1.41,1.11,1,2.2
2020-01-01,0,-0.36,-0.18,1.46,1.19,1,-7.9
2020-03-01,0,-0.39,-0.18,1.42,1.16,1,-7.9
2020-05-01,0,-0.31,-0.19,1.4,1.18,1,-7.9
2020-08-01,0,-0.35,-0.13,1.48,1.23,1,-7.9
2020-09-01,0,-0.36,-0.17,1.52,1.11,1,-7.9
2020-12-01,0,-0.32,-0.1,1.54,1.21,1,-7.9
2021-07-01,0,-0.36,-0.14,1.45,1.22,1,2
2018-03-01,0,-0.4,-0.18,1.48,1.16,1,1.9
2018-02-01,0,-0.31,-0.19,1.43,1.07,1,1.8
2018-10-01,0,-0.34,-0.14,1.38,1.19,1,1.7
2019-06-01,0,-0.33,-0.15,1.4,1.17,1,1.7
2023-01-01,1.94,1.55,1.82,3.5,2.9,4.3,0.8
2022-02-01,0.72,0.41,0.7,2.36,1.76,5.1,0.8
2022-01-01,0.61,0.3,0.6,2.25,1.65,5.1,0.6
2024-02-01,3.39,2.91,3.14,4.86,4.26,3.4,0.8
2021-09-01,0,-0.39,-0.15,1.55,1.23,0.9,1.6
2019-05-01,0,-0.3,-0.15,1.54,1.21,0.9,2
2019-11-01,0,-0.31,-0.11,1.37,1.15,0.9,2
2019-04-01,0,-0.39,-0.14,1.51,1.14,0.9,1.7
2019-09-01,0,-0.32,-0.15,1.51,1.15,0.9,1.7
2023-02-01,2.06,1.66,1.92,3.61,3.01,4.2,0.7
2023-03-01,2.17,1.76,2.02,3.71,3.11,4.2,0.5
2022-03-01,0.83,0.51,0.8,2.46,1.86,5,0.7
