alert_id,asset_id,scene_id,alert_type,severity_level,alert_date,financial_loss_risk_eur
ALR-2026-001,AST-SANTE-02,L1C_T31TGK_A049083_20260730T104318,Canicule & Îlot de Chaleur Urbain,Modéré,2026-08-15 13:00:00,39945388.07
ALR-2026-002,AST-AGRI-01,L1C_T31TGK_A049040_20260727T102816,Risque Sanitaire Moustique Vecteur,Critique,2026-08-15 10:00:00,7926099.43
ALR-2026-003,AST-FSI-01,L1C_T30TYQ_A049269_20260812T104805,Départ de Feu de Forêt & Stress Hydrique,Critique,2026-08-15 13:00:00,23570326.52
ALR-2026-004,AST-FSI-01,L1C_T31TDF_A009845_20260725T104804,Inondation Majeure & Crue Lit Majeur,Critique,2026-08-15 12:00:00,7526863.26
ALR-2026-005,AST-TELCO-02,L1C_T31TGK_A057906_20260724T103351,Départ de Feu de Forêt & Stress Hydrique,Urgence Majeure,2026-08-15 14:00:00,12637958.84
ALR-2026-006,AST-AGRI-01,L1C_T31UDQ_A009888_20260728T105117,Inondation Majeure & Crue Lit Majeur,Urgence Majeure,2026-08-15 09:00:00,2555107.14
ALR-2026-007,AST-RETAIL-02,L1C_T31UDQ_A010074_20260810T110028,Inondation Majeure & Crue Lit Majeur,Critique,2026-08-15 09:00:00,22567879.96
ALR-2026-008,AST-CINE-02,L1C_T31TFJ_A057906_20260724T103351,Inondation Majeure & Crue Lit Majeur,Modéré,2026-08-15 11:00:00,770361.62
ALR-2026-009,AST-AGRI-01,L1C_T31TFJ_A049083_20260730T104318,Canicule & Îlot de Chaleur Urbain,Critique,2026-08-15 13:00:00,11692604.02
ALR-2026-010,AST-SANTE-01,L1C_T31TDF_A010131_20260814T104743,Risque Sanitaire Moustique Vecteur,Urgence Majeure,2026-08-15 11:00:00,62796614.96
ALR-2026-011,AST-AGRI-01,L1C_T31TGM_A049083_20260730T104318,Canicule & Îlot de Chaleur Urbain,Critique,2026-08-15 18:00:00,5329561.78
ALR-2026-012,AST-TELCO-01,L1C_T31TFJ_A057806_20260717T104002,Risque Sanitaire Moustique Vecteur,Modéré,2026-08-15 14:00:00,13786633.77
ALR-2026-013,AST-NRG-01,L1C_T31TFL_A058192_20260813T103827,Inondation Majeure & Crue Lit Majeur,Urgence Majeure,2026-08-15 16:00:00,62494494.67
ALR-2026-014,AST-AGRI-01,L1C_T31TGM_A057906_20260724T103351,Canicule & Îlot de Chaleur Urbain,Urgence Majeure,2026-08-15 14:00:00,3870164.41
ALR-2026-015,AST-TRANS-02,L1C_T31TGM_A048897_20260717T103023,Départ de Feu de Forêt & Stress Hydrique,Modéré,2026-08-15 17:00:00,31220701.02
ALR-2026-016,AST-SPORT-02,L1C_T31TDF_A009745_20260718T105120,Inondation Majeure & Crue Lit Majeur,Modéré,2026-08-15 10:00:00,12898397.3
ALR-2026-017,AST-NRG-01,L1C_T31TDF_A049126_20260802T105422,Inondation Majeure & Crue Lit Majeur,Modéré,2026-08-15 14:00:00,77938632.63
ALR-2026-018,AST-AGRI-02,L1C_T31UDS_A009888_20260728T105117,Risque Sanitaire Moustique Vecteur,Urgence Majeure,2026-08-15 09:00:00,23966985.55
ALR-2026-019,AST-CINE-02,L1C_T31UDQ_A009888_20260728T105117,Canicule & Îlot de Chaleur Urbain,Urgence Majeure,2026-08-15 16:00:00,2090408.91
ALR-2026-020,AST-SPORT-02,L1C_T31TDF_A048940_20260720T104452,Départ de Feu de Forêt & Stress Hydrique,Critique,2026-08-15 08:00:00,20143240.94
ALR-2026-021,AST-SANTE-01,L1C_T31TFJ_A049083_20260730T104318,Canicule & Îlot de Chaleur Urbain,Critique,2026-08-15 10:00:00,35933435.64
ALR-2026-022,AST-RETAIL-02,L1C_T31TDH_A048940_20260720T104452,Risque Sanitaire Moustique Vecteur,Urgence Majeure,2026-08-15 10:00:00,15114118.26
ALR-2026-023,AST-SANTE-01,L1C_T31TFJ_A009802_20260722T103228,Départ de Feu de Forêt & Stress Hydrique,Modéré,2026-08-15 11:00:00,33882131.49
ALR-2026-024,AST-FSI-02,L1C_T31TDF_A057949_20260727T104819,Canicule & Îlot de Chaleur Urbain,Urgence Majeure,2026-08-15 14:00:00,9285844.95
ALR-2026-025,AST-CINE-01,L1C_T31TFJ_A057806_20260717T104002,Départ de Feu de Forêt & Stress Hydrique,Critique,2026-08-15 11:00:00,4300588.92
ALR-2026-026,AST-PUB-02,L1C_T30TYQ_A048983_20260723T105850,Risque Sanitaire Moustique Vecteur,Critique,2026-08-15 11:00:00,19697395.38
ALR-2026-027,AST-NRG-02,L1C_T31TDF_A058135_20260809T105430,Inondation Majeure & Crue Lit Majeur,Critique,2026-08-15 13:00:00,32532704.22
ALR-2026-028,AST-RETAIL-01,L1C_T31TDH_A009988_20260804T104810,Inondation Majeure & Crue Lit Majeur,Urgence Majeure,2026-08-15 17:00:00,12742311.39
ALR-2026-029,AST-TRANS-01,L1C_T31UDS_A009888_20260728T105117,Risque Sanitaire Moustique Vecteur,Critique,2026-08-15 18:00:00,91737904.05
ALR-2026-030,AST-PUB-02,L1C_T31TFL_A058192_20260813T102850,Départ de Feu de Forêt & Stress Hydrique,Modéré,2026-08-15 12:00:00,16134981.41
