scene_id,mgrs_tile,acquisition_date,cloud_cover_pct,constellation_satellite,ndvi_mean,ndwi_water_mean,quicklook_image_url
L1C_T31TDF_A010174_20260817T105109,31TDF,2026-08-17,8.600000000,Sentinel-2,0.490000000,0.130000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/DF/S2C_MSIL1C_20260817T104621_N0512_R051_T31TDF_20260817T130524.SAFE/S2C_MSIL1C_20260817T104621_N0512_R051_T31TDF_20260817T130524.SAFE-ql.jpg
L1C_T31TDF_A058235_20260816T104813,31TDF,2026-08-16,4.600000000,Sentinel-2,0.610000000,0.210000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/DF/S2A_MSIL1C_20260816T104041_N0512_R008_T31TDF_20260816T173440.SAFE/S2A_MSIL1C_20260816T104041_N0512_R008_T31TDF_20260816T173440.SAFE-ql.jpg
L1C_T31TDF_A010131_20260814T104743,31TDF,2026-08-14,0.500000000,Sentinel-2,0.730000000,0.290000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/DF/S2C_MSIL1C_20260814T104021_N0512_R008_T31TDF_20260814T141459.SAFE/S2C_MSIL1C_20260814T104021_N0512_R008_T31TDF_20260814T141459.SAFE-ql.jpg
L1C_T31TDH_A010131_20260814T104743,31TDH,2026-08-14,2.300000000,Sentinel-2,0.680000000,0.250000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/DH/S2C_MSIL1C_20260814T104021_N0512_R008_T31TDH_20260814T141459.SAFE/S2C_MSIL1C_20260814T104021_N0512_R008_T31TDH_20260814T141459.SAFE-ql.jpg
L1C_T31TFJ_A010131_20260814T104743,31TFJ,2026-08-14,5.100000000,Sentinel-2,0.600000000,0.200000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/FJ/S2C_MSIL1C_20260814T104021_N0512_R008_T31TFJ_20260814T141459.SAFE/S2C_MSIL1C_20260814T104021_N0512_R008_T31TFJ_20260814T141459.SAFE-ql.jpg
L1C_T31TFJ_A058192_20260813T103827,31TFJ,2026-08-13,0.700000000,Sentinel-2,0.730000000,0.290000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/FJ/S2A_MSIL1C_20260813T102701_N0512_R108_T31TFJ_20260813T172420.SAFE/S2A_MSIL1C_20260813T102701_N0512_R108_T31TFJ_20260813T172420.SAFE-ql.jpg
L1C_T31TGK_A058192_20260813T103827,31TGK,2026-08-13,5.200000000,Sentinel-2,0.590000000,0.200000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/GK/S2A_MSIL1C_20260813T102701_N0512_R108_T31TGK_20260813T172420.SAFE/S2A_MSIL1C_20260813T102701_N0512_R108_T31TGK_20260813T172420.SAFE-ql.jpg
L1C_T31TFL_A058192_20260813T103827,31TFL,2026-08-13,0.400000000,Sentinel-2,0.740000000,0.290000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/FL/S2A_MSIL1C_20260813T102701_N0512_R108_T31TFL_20260813T172420.SAFE/S2A_MSIL1C_20260813T102701_N0512_R108_T31TFL_20260813T172420.SAFE-ql.jpg
L1C_T31TFL_A058192_20260813T102850,31TFL,2026-08-13,0E-9,Sentinel-2,0.750000000,0.300000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/FL/S2A_MSIL1C_20260813T102701_N0512_R108_T31TFL_20260813T154436.SAFE/S2A_MSIL1C_20260813T102701_N0512_R108_T31TFL_20260813T154436.SAFE-ql.jpg
L1C_T31TGM_A058192_20260813T102850,31TGM,2026-08-13,0.700000000,Sentinel-2,0.730000000,0.290000000,https://storage.googleapis.com/gcp-public-data-sentinel-2/tiles/31/T/GM/S2A_MSIL1C_20260813T102701_N0512_R108_T31TGM_20260813T154436.SAFE/S2A_MSIL1C_20260813T102701_N0512_R108_T31TGM_20260813T154436.SAFE-ql.jpg
