nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,consolidated_is_code_insee_modified,geo_point_borne,departement,region
Logis Hotels - Au comté d'Ornon,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5371715286726237550,419118,Freshmile France/MR6MQ1MPFP,Parking privé à usage public,"2 Allée de Mégevie, Gradignan 33170 France",,"-0.640446, 44.774021",2,FRFR1ECECN1,1006773,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-11,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,-0.640446,44.774021,,,False,False,False,,,
Garage ASD,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P2043464979072505080,1438492,Freshmile France/LM8PTOI8Y1KORC,Parking privé à usage public,"92 Route de Bussy, Dun-sur-Auron 18130 France",,"2.583165, 46.888253",2,FRFR1ECERV1,3921667,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-06-04,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.583165,46.888253,,,False,False,False,,,
Gestion & Stratégies,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P8164928375390486661,892509,Freshmile France/LLKGNGU3VMN25N,Parking privé à usage public,"3 Rue Theodore Monod, Norroy-le-Veneur 57140 France",,"6.138071, 49.180531",4,FRFR1ECFTR1,2315832,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,"We,Mo,Th,Tu  08:00-17:30,Fr  08:00-12:00",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-05,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.138071,49.180531,,,False,False,False,,,
Sarreguemines,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P2690245394480187251,1559937,Freshmile France/LM9BBKEJX1A7HK,Parking public,"50 Rue Principale, Willerwald 57430 France",,"7.035576, 49.027003",2,FRFR1ECGCS1,4313412,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-03,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,7.035576,49.027003,,,False,False,False,,,
Strasbourg Evènements,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P4159002234873549234,1174626,Freshmile France/LLX8X5MVDGZVB0,Parking public,"Rue Fritz Kieffer, Strasbourg 67000 France",,"7.7546, 48.596173",11,FRFR1ECGUC1,3182493,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-05,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,7.7546,48.596173,,,False,False,False,,,
Geodis G3 - public,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P6156706524598302057,471012,Freshmile France/BDY183MWVK,Parking public,"48 Rte Principale du Port, Gennevilliers 92230 France",,"2.270273, 48.937019",16,FRFR1ECGZK1,1119039,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,"Fr,We,Th,Tu,Mo  14:00-17:00",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-17,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.270273,48.937019,,,False,False,False,,,
Ceresia Mardeuil,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7489993070479055683,971903,Freshmile France/LLNAEE4ND2CBO9,Parking privé à usage public,"8 Rue du Pré Bréda, Mardeuil 51530 France",,"3.936654, 49.062936",5,FRFR1ECHWG1,2554946,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,"Sa  08:00-17:00,Tu,Mo,Th,Fr,We  08:00-19:00",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-11,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,3.936654,49.062936,,,False,False,False,,,
Point P Strasbourg Matériaux,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P450108019790617566,1354513,Freshmile France/LLQQO0CXJ2BIHU,Parking privé à usage public,"3 Rue du Doubs, Strasbourg 67100 France",,"7.734981, 48.564102",2,FRFR1ECJPJ1,3661618,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-06-15,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,7.734981,48.564102,,,False,False,False,,,
Ville de Metz - bornes inférieures à 25kW,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P8686460453181006643,1475194,Freshmile France/LM9CGWLUJ16QS2,Voirie,"Rue Yvette Pierpaoli, Metz 57070 France",,"6.190818, 49.0955",2,FRFR1ECKJJ2,4064290,22.0,True,True,False,False,False,False,True,True,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.190818,49.0955,,,False,False,False,,,
Couronne urbaine - bornes inférieures à 25kW,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P272046411654809231,1467466,Freshmile France/LM9BHD0N72MG41,Parking public,"Rue Du Jeu De Quilles, Rozérieulles 57160 France",,"6.079251, 49.105341",2,FRFR1ECMLP1,4025644,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-03,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.079251,49.105341,,,False,False,False,,,
