id_client_indus,raison_sociale,secteur_activite,commune,code_departement,nom_region,consommation_annuelle_mwh,puissance_souscrite_kva,empreinte_carbone_mwh_co2,optin_flexibilite_effacement
INDUS-00001,Industrie Paris #1,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,19365.4,4610.8,3505.14,False
INDUS-00002,Industrie Saint-Chamas #2,Agroalimentaire,Saint-Chamas,75 - Paris,Île-de-France,19182.2,4567.2,4277.63,True
INDUS-00003,Industrie Paris #3,Automobile,Paris,75 - Paris,Île-de-France,22248.5,5297.3,6674.55,True
INDUS-00004,Industrie Bohain-en-Vermandois #4,Data Centers,Bohain-en-Vermandois,75 - Paris,Île-de-France,25479.4,6066.5,12408.47,True
INDUS-00005,Industrie Compiègne #5,Agroalimentaire,Compiègne,75 - Paris,Île-de-France,17320.6,4124.0,7049.48,False
INDUS-00006,Industrie Paris #6,Métallurgie,Paris,75 - Paris,Île-de-France,29615.1,7051.2,5330.72,True
INDUS-00007,Industrie Paris #7,Automobile,Paris,75 - Paris,Île-de-France,41299.2,9833.1,8714.13,True
INDUS-00008,Industrie Paris #8,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,4357.5,1037.5,784.35,True
INDUS-00009,Industrie Paris #9,Métallurgie,Paris,75 - Paris,Île-de-France,24741.9,5890.9,12296.72,False
INDUS-00010,Industrie Paris #10,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,8398.7,1999.7,4140.56,False
INDUS-00011,Industrie Paris #11,Métallurgie,Paris,75 - Paris,Île-de-France,9441.5,2248.0,2615.3,True
INDUS-00012,Industrie Paris #12,Data Centers,Paris,75 - Paris,Île-de-France,15913.3,3788.9,8322.66,False
INDUS-00013,Industrie Saint-Fons #13,Métallurgie,Saint-Fons,75 - Paris,Île-de-France,37897.7,9023.3,19062.54,True
INDUS-00014,Industrie Lyon #14,Automobile,Lyon,75 - Paris,Île-de-France,23744.3,5653.4,12370.78,False
INDUS-00015,Industrie Le Vernet #15,Automobile,Le Vernet,75 - Paris,Île-de-France,30492.1,7260.0,8903.69,True
INDUS-00016,Industrie Paris #16,Métallurgie,Paris,75 - Paris,Île-de-France,23568.2,5611.5,13433.87,True
INDUS-00017,Industrie Cesson-Sévigné #17,Automobile,Cesson-Sévigné,75 - Paris,Île-de-France,37955.0,9036.9,17876.81,False
INDUS-00018,Industrie Franqueville-Saint-Pierre #18,Chimie & Pharmacie,Franqueville-Saint-Pierre,75 - Paris,Île-de-France,17011.1,4050.3,9577.25,False
INDUS-00019,Industrie Paris #19,Data Centers,Paris,75 - Paris,Île-de-France,20364.4,4848.7,10589.49,False
INDUS-00020,Industrie Paris #20,Agroalimentaire,Paris,75 - Paris,Île-de-France,16458.4,3918.7,3571.47,False
INDUS-00021,Industrie Villeurbanne #21,Agroalimentaire,Villeurbanne,75 - Paris,Île-de-France,15576.2,3708.6,8987.47,False
INDUS-00022,Industrie Paris #22,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,34696.6,8261.1,17452.39,True
INDUS-00023,Industrie Paris #23,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,32489.0,7735.5,14522.58,True
INDUS-00024,Industrie Paris #24,Data Centers,Paris,75 - Paris,Île-de-France,5313.9,1265.2,993.7,False
INDUS-00025,Industrie Paris #25,Agroalimentaire,Paris,75 - Paris,Île-de-France,10842.2,2581.5,3447.82,True
INDUS-00026,Industrie Paris #26,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,27845.7,6629.9,15704.97,True
INDUS-00027,Industrie Oberhausbergen #27,Data Centers,Oberhausbergen,75 - Paris,Île-de-France,4570.2,1088.1,735.8,False
INDUS-00028,Industrie Paris #28,Data Centers,Paris,75 - Paris,Île-de-France,20750.5,4940.6,9960.24,False
INDUS-00029,Industrie Paris #29,Agroalimentaire,Paris,75 - Paris,Île-de-France,1624.3,386.7,545.76,False
INDUS-00030,Industrie Villebon-sur-Yvette #30,Data Centers,Villebon-sur-Yvette,75 - Paris,Île-de-France,26427.1,6292.2,7901.7,True
INDUS-00031,Industrie Ancenis-Saint-Géréon #31,Métallurgie,Ancenis-Saint-Géréon,75 - Paris,Île-de-France,33512.3,7979.1,15147.56,True
INDUS-00032,Industrie Paris #32,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,1558.8,371.1,240.06,False
INDUS-00033,Industrie Martigues #33,Data Centers,Martigues,75 - Paris,Île-de-France,12363.9,2943.8,2856.06,False
INDUS-00034,Industrie Paris #34,Métallurgie,Paris,75 - Paris,Île-de-France,12284.2,2924.8,2972.78,False
INDUS-00035,Industrie Paris #35,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,20973.6,4993.7,3523.56,True
INDUS-00036,Industrie Paris #36,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,33923.9,8077.1,11025.27,False
INDUS-00037,Industrie Paris #37,Chimie & Pharmacie,Paris,75 - Paris,Île-de-France,18504.1,4405.7,4885.08,True
INDUS-00038,Industrie Villetaneuse #38,Métallurgie,Villetaneuse,75 - Paris,Île-de-France,4562.5,1086.3,1263.81,True
INDUS-00039,Industrie Le Chesnay-Rocquencourt #39,Automobile,Le Chesnay-Rocquencourt,75 - Paris,Île-de-France,13995.6,3332.3,6130.07,False
INDUS-00040,Industrie Toulouse #40,Data Centers,Toulouse,75 - Paris,Île-de-France,21039.9,5009.5,9510.03,True
INDUS-00041,Industrie Paris #41,Automobile,Paris,75 - Paris,Île-de-France,4376.2,1042.0,1807.37,False
INDUS-00042,Industrie Paris #42,Agroalimentaire,Paris,75 - Paris,Île-de-France,37897.9,9023.3,11899.94,True
INDUS-00043,Industrie Toucy #43,Automobile,Toucy,75 - Paris,Île-de-France,38971.8,9279.0,6352.4,False
INDUS-00044,Industrie Boën-sur-Lignon #44,Agroalimentaire,Boën-sur-Lignon,75 - Paris,Île-de-France,31648.7,7535.4,6582.93,False
INDUS-00045,Industrie Paris #45,Métallurgie,Paris,75 - Paris,Île-de-France,32732.3,7793.4,13191.12,False
INDUS-00046,Industrie Anduze #46,Agroalimentaire,Anduze,75 - Paris,Île-de-France,14391.2,3426.5,4072.71,False
INDUS-00047,Industrie Saint-Jacques-sur-Darnétal #47,Métallurgie,Saint-Jacques-sur-Darnétal,75 - Paris,Île-de-France,8514.3,2027.2,1788.0,True
INDUS-00048,Industrie Toulon #48,Chimie & Pharmacie,Toulon,75 - Paris,Île-de-France,14398.6,3428.2,5586.66,False
INDUS-00049,Industrie Paris #49,Data Centers,Paris,75 - Paris,Île-de-France,41160.1,9800.0,10660.47,True
INDUS-00050,Industrie Castelnaudary #50,Agroalimentaire,Castelnaudary,75 - Paris,Île-de-France,12283.0,2924.5,2763.68,False
INDUS-00051,Industrie Paris #51,Métallurgie,Paris,75 - Paris,Île-de-France,41207.5,9811.3,7417.35,True
INDUS-00052,Industrie Carcassonne #52,Agroalimentaire,Carcassonne,75 - Paris,Île-de-France,4635.4,1103.7,2141.55,True
INDUS-00053,Industrie Paris #53,Agroalimentaire,Paris,75 - Paris,Île-de-France,38572.0,9183.8,21137.46,False
