id_releve,id_station_itinerance,commune,code_departement,nom_region,nom_transformateur_quartier,horodate_pas30min,consommation_totale_mwh,pic_consommation_kw,capacite_max_transformateur_kw,taux_charge_transformateur_pct,risque_tension_reseau
REL-00001,FRE11PLMLEZENNES592601,Lezennes,75 - Paris,Île-de-France,TR-ENEDIS-LEZE-0001,2026-08-17 18:30:00 UTC,10.06,335.3,500.0,67.1,Normal
REL-00002,FRRVEPFRS46E460380011,Bretenoux,75 - Paris,Île-de-France,TR-ENEDIS-BRET-0002,2026-08-17 18:30:00 UTC,30.12,1004.1,2000.0,50.2,Normal
REL-00003,FRGLYPLYON1,Collonges-au-Mont-d'Or,75 - Paris,Île-de-France,TR-ENEDIS-COLL-0003,2026-08-17 18:30:00 UTC,41.88,1396.0,1500.0,93.1,Saturation / Disjonction Imminente 48h
REL-00004,FREFLP6539496644232918017,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0004,2026-08-17 18:30:00 UTC,14.44,481.3,1000.0,48.1,Normal
REL-00005,FRELCP12953937,Caumont,75 - Paris,Île-de-France,TR-ENEDIS-CAUM-0005,2026-08-17 18:30:00 UTC,33.42,1113.9,1500.0,74.3,Normal
REL-00006,FRQWTP726560,Chasseneuil-du-Poitou,75 - Paris,Île-de-France,TR-ENEDIS-CHAS-0006,2026-08-17 18:30:00 UTC,24.29,809.5,1000.0,81.0,Sous Surveillance Forte
REL-00007,FRIZFPFAST41,Plougastel-Daoulas,75 - Paris,Île-de-France,TR-ENEDIS-PLOU-0007,2026-08-17 18:30:00 UTC,7.36,245.5,500.0,49.1,Normal
REL-00008,FRGLYPLYON184,Givors,75 - Paris,Île-de-France,TR-ENEDIS-GIVO-0008,2026-08-17 18:30:00 UTC,21.62,720.6,1000.0,72.1,Normal
REL-00009,FRPKGP75114003,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0009,2026-08-17 18:30:00 UTC,9.76,325.2,800.0,40.6,Normal
REL-00010,FRFR1P6905140221027031939,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0010,2026-08-17 18:30:00 UTC,48.91,1630.5,2000.0,81.5,Sous Surveillance Forte
REL-00011,FRGSPP90215437,Villemomble,75 - Paris,Île-de-France,TR-ENEDIS-VILL-0011,2026-08-17 18:30:00 UTC,35.64,1187.9,1500.0,79.2,Sous Surveillance Forte
REL-00012,FRELCE7C35,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0012,2026-08-17 18:30:00 UTC,26.72,890.8,1500.0,59.4,Normal
REL-00013,FRELCEWFC8,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0013,2026-08-17 18:30:00 UTC,56.34,1878.0,2000.0,93.9,Saturation / Disjonction Imminente 48h
REL-00014,FRFR1P4249419295072742594,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0014,2026-08-17 18:30:00 UTC,28.15,938.2,1500.0,62.5,Normal
REL-00015,FRPKGP75114003,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0015,2026-08-17 18:30:00 UTC,21.57,718.9,1000.0,71.9,Normal
REL-00016,FREBNPBAFZC,La Bâtie-Neuve,75 - Paris,Île-de-France,TR-ENEDIS-LA B-0016,2026-08-17 18:30:00 UTC,11.69,389.7,500.0,77.9,Sous Surveillance Forte
REL-00017,FRFR1P9133915230740216539,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0017,2026-08-17 18:30:00 UTC,14.45,481.7,1200.0,40.1,Normal
REL-00018,FRRVEPFRS09E091760021,Vèbre,75 - Paris,Île-de-France,TR-ENEDIS-VÈBR-0018,2026-08-17 18:30:00 UTC,15.3,509.9,1200.0,42.5,Normal
REL-00019,FRLDLPLFR4255EVCP,La Chapelle-sur-Erdre,75 - Paris,Île-de-France,TR-ENEDIS-LA C-0019,2026-08-17 18:30:00 UTC,32.65,1088.4,1500.0,72.6,Normal
REL-00020,FRQVI1400018,Ouistreham,75 - Paris,Île-de-France,TR-ENEDIS-OUIS-0020,2026-08-17 18:30:00 UTC,26.17,872.3,1500.0,58.2,Normal
REL-00021,FRBMPP633939P,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0021,2026-08-17 18:30:00 UTC,13.99,466.4,500.0,93.3,Saturation / Disjonction Imminente 48h
REL-00022,FREBNP5903142413508233602,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0022,2026-08-17 18:30:00 UTC,26.11,870.4,1500.0,58.0,Normal
REL-00023,FRQWCP4098624349193123898,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0023,2026-08-17 18:30:00 UTC,14.42,480.8,500.0,96.2,Saturation / Disjonction Imminente 48h
REL-00024,FRLDLPLFR4107EVCP,Montoire-sur-le-Loir,75 - Paris,Île-de-France,TR-ENEDIS-MONT-0024,2026-08-17 18:30:00 UTC,28.05,935.1,2000.0,46.8,Normal
REL-00025,FREBNPBKKWD,Saint-Savin,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0025,2026-08-17 18:30:00 UTC,23.61,787.0,1000.0,78.7,Sous Surveillance Forte
REL-00026,FRELCEXBKN,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0026,2026-08-17 18:30:00 UTC,28.55,951.7,1000.0,95.2,Saturation / Disjonction Imminente 48h
REL-00027,FRGSPP89237842,Arcachon,75 - Paris,Île-de-France,TR-ENEDIS-ARCA-0027,2026-08-17 18:30:00 UTC,23.77,792.2,1200.0,66.0,Normal
REL-00028,FRFR1P3156200722971097007,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0028,2026-08-17 18:30:00 UTC,39.04,1301.3,1500.0,86.8,Sous Surveillance Forte
REL-00029,FRROSE309,Parçay-Meslay,75 - Paris,Île-de-France,TR-ENEDIS-PARÇ-0029,2026-08-17 18:30:00 UTC,42.04,1401.2,1500.0,93.4,Saturation / Disjonction Imminente 48h
REL-00030,FRFR1P3570541319116971790,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0030,2026-08-17 18:30:00 UTC,45.98,1532.5,2000.0,76.6,Sous Surveillance Forte
REL-00031,FRFR1P3248728034027725718,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0031,2026-08-17 18:30:00 UTC,22.61,753.5,1500.0,50.2,Normal
REL-00032,FRQWCEG6RRP,Le Creusot,75 - Paris,Île-de-France,TR-ENEDIS-LE C-0032,2026-08-17 18:30:00 UTC,40.12,1337.3,1500.0,89.2,Saturation / Disjonction Imminente 48h
REL-00033,FRCG0E000132,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0033,2026-08-17 18:30:00 UTC,6.05,201.6,500.0,40.3,Normal
REL-00034,FRRVEP3185903147608405503,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0034,2026-08-17 18:30:00 UTC,14.17,472.5,800.0,59.1,Normal
REL-00035,FRELCP12954361,Thoiry,75 - Paris,Île-de-France,TR-ENEDIS-THOI-0035,2026-08-17 18:30:00 UTC,15.44,514.6,1000.0,51.5,Normal
REL-00036,FRQPKPQPRK115,Chambéry,75 - Paris,Île-de-France,TR-ENEDIS-CHAM-0036,2026-08-17 18:30:00 UTC,37.09,1236.4,1500.0,82.4,Sous Surveillance Forte
REL-00037,FRLDLPLFR4067EVCP,Saint-Dié-des-Vosges,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0037,2026-08-17 18:30:00 UTC,13.16,438.8,800.0,54.9,Normal
REL-00038,FRFR1P5358112321329546605,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0038,2026-08-17 18:30:00 UTC,6.22,207.3,500.0,41.5,Normal
REL-00039,FRELCEJWDU,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0039,2026-08-17 18:30:00 UTC,11.84,394.6,500.0,78.9,Sous Surveillance Forte
REL-00040,FRELCPVIGQW,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0040,2026-08-17 18:30:00 UTC,23.8,793.3,1000.0,79.3,Sous Surveillance Forte
REL-00041,FRELCPAAL45,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0041,2026-08-17 18:30:00 UTC,27.42,914.1,1000.0,91.4,Saturation / Disjonction Imminente 48h
REL-00042,FRELCP12954626,Vaulx-en-Velin,75 - Paris,Île-de-France,TR-ENEDIS-VAUL-0042,2026-08-17 18:30:00 UTC,16.43,547.8,1000.0,54.8,Normal
REL-00043,FRQPKPQPRK1254,Arcueil,75 - Paris,Île-de-France,TR-ENEDIS-ARCU-0043,2026-08-17 18:30:00 UTC,22.04,734.7,1200.0,61.2,Normal
REL-00044,FRELCEY2KR,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0044,2026-08-17 18:30:00 UTC,21.18,705.9,800.0,88.2,Saturation / Disjonction Imminente 48h
REL-00045,FRFR1P5167873172914940692,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0045,2026-08-17 18:30:00 UTC,21.5,716.6,1200.0,59.7,Normal
REL-00046,FREBNPBPPZA,Val-Cenis,75 - Paris,Île-de-France,TR-ENEDIS-VAL--0046,2026-08-17 18:30:00 UTC,12.85,428.4,1000.0,42.8,Normal
REL-00047,FRPKGP78551001,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0047,2026-08-17 18:30:00 UTC,22.18,739.5,800.0,92.4,Saturation / Disjonction Imminente 48h
REL-00048,FREBNPBPYMA,Aix-les-Bains,75 - Paris,Île-de-France,TR-ENEDIS-AIX--0048,2026-08-17 18:30:00 UTC,38.11,1270.4,1500.0,84.7,Sous Surveillance Forte
REL-00049,FRQVI3100029,Toulouse,75 - Paris,Île-de-France,TR-ENEDIS-TOUL-0049,2026-08-17 18:30:00 UTC,19.38,645.9,800.0,80.7,Sous Surveillance Forte
REL-00050,FREBNP8264597020632556084,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0050,2026-08-17 18:30:00 UTC,40.78,1359.5,1500.0,90.6,Saturation / Disjonction Imminente 48h
REL-00051,FRBMPP726439P500565088639800,Montigny-le-Bretonneux,75 - Paris,Île-de-France,TR-ENEDIS-MONT-0051,2026-08-17 18:30:00 UTC,22.49,749.8,1500.0,50.0,Normal
REL-00052,FRGLYPLYON13,Grigny-sur-Rhône,75 - Paris,Île-de-France,TR-ENEDIS-GRIG-0052,2026-08-17 18:30:00 UTC,20.23,674.5,800.0,84.3,Sous Surveillance Forte
REL-00053,FRQVI1500008,Massiac,75 - Paris,Île-de-France,TR-ENEDIS-MASS-0053,2026-08-17 18:30:00 UTC,22.05,735.0,1000.0,73.5,Normal
REL-00054,FREVZP2807150095629637041,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0054,2026-08-17 18:30:00 UTC,39.74,1324.8,2000.0,66.2,Normal
REL-00055,FRPKGP67482005,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0055,2026-08-17 18:30:00 UTC,38.48,1282.7,1500.0,85.5,Sous Surveillance Forte
REL-00056,FRLDLPLFR3818EVCP,Manosque,75 - Paris,Île-de-France,TR-ENEDIS-MANO-0056,2026-08-17 18:30:00 UTC,22.56,752.1,1500.0,50.1,Normal
