id_installation,commune,code_departement,nom_region,filiere_energie,puissance_installee_kw,production_journaliere_mwh,taux_injection_reseau_pct
PROD-ENEDIS-00001,Saint-Jacques-de-la-Lande,75 - Paris,Île-de-France,Biomasse / Biogaz,5031.8,22924.8,91.6
PROD-ENEDIS-00002,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,2890.9,17208.6,92.3
PROD-ENEDIS-00003,Haguenau,75 - Paris,Île-de-France,Solaire Photovoltaïque,5852.0,53853.2,93.4
PROD-ENEDIS-00004,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,1813.6,11853.0,97.9
PROD-ENEDIS-00005,Saint-Boil,75 - Paris,Île-de-France,Éolien Terrestre,360.6,2940.8,91.8
PROD-ENEDIS-00006,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,7331.7,40609.1,98.5
PROD-ENEDIS-00007,Cluny,75 - Paris,Île-de-France,Éolien Terrestre,114.3,543.4,99.0
PROD-ENEDIS-00008,Paris,75 - Paris,Île-de-France,Éolien Terrestre,5331.7,37521.2,87.4
PROD-ENEDIS-00009,Tulette,75 - Paris,Île-de-France,Éolien Terrestre,4036.5,30982.0,99.9
PROD-ENEDIS-00010,Jettingen,75 - Paris,Île-de-France,Éolien Terrestre,2863.0,12731.4,86.9
PROD-ENEDIS-00011,Paris,75 - Paris,Île-de-France,Hydraulique,8265.7,68634.4,96.0
PROD-ENEDIS-00012,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,1100.3,7831.0,92.4
PROD-ENEDIS-00013,Blangy-sur-Bresle,75 - Paris,Île-de-France,Éolien Terrestre,1521.9,9038.7,89.6
PROD-ENEDIS-00014,Blagny,75 - Paris,Île-de-France,Hydraulique,3628.2,15380.1,88.5
PROD-ENEDIS-00015,Lyon,75 - Paris,Île-de-France,Hydraulique,714.5,3803.6,93.3
PROD-ENEDIS-00016,Paris,75 - Paris,Île-de-France,Hydraulique,1450.0,10418.1,96.8
PROD-ENEDIS-00017,Le Tholonet,75 - Paris,Île-de-France,Éolien Terrestre,133.7,650.1,96.6
PROD-ENEDIS-00018,Saint-Jacques-sur-Darnétal,75 - Paris,Île-de-France,Hydraulique,527.2,2213.7,88.1
PROD-ENEDIS-00019,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,5056.9,40098.1,95.7
PROD-ENEDIS-00020,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,7551.4,28903.1,89.0
PROD-ENEDIS-00021,Paris,75 - Paris,Île-de-France,Hydraulique,6745.1,56010.1,93.8
PROD-ENEDIS-00022,Saint-Herblain,75 - Paris,Île-de-France,Hydraulique,6152.4,52546.0,87.2
PROD-ENEDIS-00023,Quiévrechain,75 - Paris,Île-de-France,Éolien Terrestre,2793.6,22472.1,92.9
PROD-ENEDIS-00024,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,7179.5,60429.6,95.8
PROD-ENEDIS-00025,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,3949.4,25314.4,86.4
PROD-ENEDIS-00026,Vergons,75 - Paris,Île-de-France,Hydraulique,5322.1,51473.3,91.6
PROD-ENEDIS-00027,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,229.6,1253.5,88.6
PROD-ENEDIS-00028,Paris,75 - Paris,Île-de-France,Éolien Terrestre,4530.0,22357.5,93.2
PROD-ENEDIS-00029,Paris,75 - Paris,Île-de-France,Éolien Terrestre,3606.7,33104.3,86.5
PROD-ENEDIS-00030,Paris,75 - Paris,Île-de-France,Hydraulique,6075.5,40515.1,91.4
PROD-ENEDIS-00031,Anglet,75 - Paris,Île-de-France,Solaire Photovoltaïque,4162.9,33729.2,88.4
PROD-ENEDIS-00032,Valserhône,75 - Paris,Île-de-France,Hydraulique,508.9,5000.5,89.0
PROD-ENEDIS-00033,Dun-sur-Auron,75 - Paris,Île-de-France,Éolien Terrestre,445.7,4114.4,92.8
PROD-ENEDIS-00034,Chemillé-en-Anjou,75 - Paris,Île-de-France,Solaire Photovoltaïque,2784.7,10599.7,95.6
PROD-ENEDIS-00035,Paris,75 - Paris,Île-de-France,Hydraulique,1430.4,5195.4,93.4
PROD-ENEDIS-00036,Calais,75 - Paris,Île-de-France,Solaire Photovoltaïque,4211.3,30151.0,93.7
PROD-ENEDIS-00037,Paris,75 - Paris,Île-de-France,Éolien Terrestre,2007.7,10987.0,95.9
PROD-ENEDIS-00038,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,3491.6,16052.0,95.4
PROD-ENEDIS-00039,Paris,75 - Paris,Île-de-France,Éolien Terrestre,4156.3,40892.4,90.8
PROD-ENEDIS-00040,Le Havre,75 - Paris,Île-de-France,Éolien Terrestre,4947.1,37338.4,95.4
PROD-ENEDIS-00041,Calais,75 - Paris,Île-de-France,Solaire Photovoltaïque,7379.9,53069.5,88.0
PROD-ENEDIS-00042,Saint-Quentin,75 - Paris,Île-de-France,Hydraulique,2975.6,18951.4,95.4
PROD-ENEDIS-00043,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,5196.0,40083.1,96.9
PROD-ENEDIS-00044,Paris,75 - Paris,Île-de-France,Éolien Terrestre,2616.4,14866.8,95.8
PROD-ENEDIS-00045,Saint-Grégoire,75 - Paris,Île-de-France,Hydraulique,5946.7,57282.8,91.8
PROD-ENEDIS-00046,Gond-Pontouvre,75 - Paris,Île-de-France,Hydraulique,7289.2,62605.8,87.2
PROD-ENEDIS-00047,Marseille,75 - Paris,Île-de-France,Solaire Photovoltaïque,1622.4,12649.6,96.9
PROD-ENEDIS-00048,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,5908.5,39717.3,88.0
PROD-ENEDIS-00049,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,860.2,3204.1,95.9
PROD-ENEDIS-00050,Paris,75 - Paris,Île-de-France,Éolien Terrestre,419.5,2024.0,86.5
PROD-ENEDIS-00051,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,5273.6,44725.8,88.6
PROD-ENEDIS-00052,Paris,75 - Paris,Île-de-France,Éolien Terrestre,7110.5,32824.3,86.3
PROD-ENEDIS-00053,Avelin,75 - Paris,Île-de-France,Solaire Photovoltaïque,3046.7,14309.8,89.0
PROD-ENEDIS-00054,Lambres-lez-Douai,75 - Paris,Île-de-France,Biomasse / Biogaz,7608.5,63255.6,90.8
PROD-ENEDIS-00055,Paris,75 - Paris,Île-de-France,Hydraulique,2759.7,14886.1,89.1
PROD-ENEDIS-00056,Paris,75 - Paris,Île-de-France,Éolien Terrestre,5694.8,39493.0,85.1
PROD-ENEDIS-00057,Paris,75 - Paris,Île-de-France,Hydraulique,6121.0,22532.1,91.5
PROD-ENEDIS-00058,Paris,75 - Paris,Île-de-France,Éolien Terrestre,5265.8,28471.0,97.2
PROD-ENEDIS-00059,Paris,75 - Paris,Île-de-France,Éolien Terrestre,2933.2,23601.0,91.0
PROD-ENEDIS-00060,Paris,75 - Paris,Île-de-France,Hydraulique,352.8,1908.1,87.2
PROD-ENEDIS-00061,Paris,75 - Paris,Île-de-France,Éolien Terrestre,3518.3,35058.1,98.9
PROD-ENEDIS-00062,Toulon,75 - Paris,Île-de-France,Solaire Photovoltaïque,2675.1,17032.3,99.3
PROD-ENEDIS-00063,Marseille,75 - Paris,Île-de-France,Biomasse / Biogaz,6869.3,32882.0,86.1
PROD-ENEDIS-00064,Paris,75 - Paris,Île-de-France,Éolien Terrestre,3712.7,22077.0,92.2
PROD-ENEDIS-00065,Paris,75 - Paris,Île-de-France,Hydraulique,4800.2,36242.8,85.1
PROD-ENEDIS-00066,Paris,75 - Paris,Île-de-France,Éolien Terrestre,126.3,704.5,92.2
PROD-ENEDIS-00067,Godewaersvelde,75 - Paris,Île-de-France,Éolien Terrestre,7893.5,47592.0,94.9
PROD-ENEDIS-00068,Le Thillot,75 - Paris,Île-de-France,Biomasse / Biogaz,5105.3,38678.7,93.7
PROD-ENEDIS-00069,Paris,75 - Paris,Île-de-France,Hydraulique,5300.7,46865.5,85.9
PROD-ENEDIS-00070,Oberhausbergen,75 - Paris,Île-de-France,Biomasse / Biogaz,4406.1,28011.6,97.4
