date_observation,nom_operateur,niveau_geographique,code_geographique,libelle_zone,nb_sites_5g_700mhz,nb_sites_5g_2100mhz,nb_sites_5g_3500mhz,nb_sites_5g_total
2024-03-31,Orange,Région,AUV,Auvergne-Rhône-Alpes,1036,383,362,1781
2024-03-31,Orange,Région,OCC,Occitanie,895,289,498,1682
2024-03-31,Orange,Région,BRE,Bretagne,469,928,620,2017
2024-03-31,Orange,Région,NOR,Normandie,226,1036,304,1566
2024-03-31,Orange,Région,PAY,Pays de la Loire,1169,1626,603,3398
2024-03-31,Orange,Région,COR,Corse,575,856,588,2019
2024-03-31,Orange,Région,HAU,Hauts-de-France,998,1405,778,3181
2024-03-31,Orange,Région,GRA,Grand Est,758,1733,913,3404
2024-03-31,Orange,Région,BOU,Bourgogne-Franche-Comté,1101,1725,288,3114
2024-03-31,Orange,Région,CEN,Centre-Val de Loire,332,1159,797,2288
2024-03-31,Orange,Région,PRO,Provence-Alpes-Côte d'Azur,598,1060,187,1845
2024-03-31,Orange,Région,ÎLE,Île-de-France,471,208,806,1485
2024-03-31,Orange,Région,NOU,Nouvelle-Aquitaine,899,602,363,1864
2024-03-31,SFR,Région,AUV,Auvergne-Rhône-Alpes,787,221,286,1294
2024-03-31,SFR,Région,OCC,Occitanie,242,967,600,1809
2024-03-31,SFR,Région,BRE,Bretagne,1161,203,815,2179
2024-03-31,SFR,Région,NOR,Normandie,541,1667,734,2942
2024-03-31,SFR,Région,PAY,Pays de la Loire,788,1123,917,2828
2024-03-31,SFR,Région,COR,Corse,266,1116,711,2093
2024-03-31,SFR,Région,HAU,Hauts-de-France,504,526,108,1138
2024-03-31,SFR,Région,GRA,Grand Est,641,244,364,1249
2024-03-31,SFR,Région,BOU,Bourgogne-Franche-Comté,738,947,276,1961
2024-03-31,SFR,Région,CEN,Centre-Val de Loire,473,724,806,2003
2024-03-31,SFR,Région,PRO,Provence-Alpes-Côte d'Azur,939,554,293,1786
2024-03-31,SFR,Région,ÎLE,Île-de-France,789,652,481,1922
2024-03-31,SFR,Région,NOU,Nouvelle-Aquitaine,476,1267,438,2181
2024-03-31,Bouygues Telecom,Région,AUV,Auvergne-Rhône-Alpes,416,330,288,1034
2024-03-31,Bouygues Telecom,Région,OCC,Occitanie,975,696,257,1928
2024-03-31,Bouygues Telecom,Région,BRE,Bretagne,450,716,277,1443
2024-03-31,Bouygues Telecom,Région,NOR,Normandie,379,729,594,1702
2024-03-31,Bouygues Telecom,Région,PAY,Pays de la Loire,290,617,804,1711
2024-03-31,Bouygues Telecom,Région,COR,Corse,485,1138,696,2319
2024-03-31,Bouygues Telecom,Région,HAU,Hauts-de-France,963,1343,815,3121
2024-03-31,Bouygues Telecom,Région,GRA,Grand Est,232,368,799,1399
2024-03-31,Bouygues Telecom,Région,BOU,Bourgogne-Franche-Comté,787,788,318,1893
2024-03-31,Bouygues Telecom,Région,CEN,Centre-Val de Loire,318,986,913,2217
2024-03-31,Bouygues Telecom,Région,PRO,Provence-Alpes-Côte d'Azur,600,1542,814,2956
2024-03-31,Bouygues Telecom,Région,ÎLE,Île-de-France,234,253,105,592
2024-03-31,Bouygues Telecom,Région,NOU,Nouvelle-Aquitaine,333,1068,587,1988
2024-03-31,Free Mobile,Région,AUV,Auvergne-Rhône-Alpes,1129,307,673,2109
2024-03-31,Free Mobile,Région,OCC,Occitanie,852,1717,110,2679
2024-03-31,Free Mobile,Région,BRE,Bretagne,772,1151,884,2807
