id_station_anfr,num_site,nom_operateur,commune,code_insee_commune,code_departement,nom_region,latitude,longitude,site_2g,site_3g,site_4g,site_5g,site_5g_3500mhz,site_zone_blanche_dcc
0802290015,00000001A1,Orange,Curlu,80231,Somme,Hauts-de-France,49.97028,2.81944,True,True,True,True,False,False
0642290151,00000001B1,Orange,Jurançon,64284,Pyrénées-Atlantiques,Nouvelle-Aquitaine,43.28861,-0.41389,True,True,True,True,True,False
0332290026,00000001B2,Orange,Bordeaux,33063,33 - Gironde,Nouvelle-Aquitaine,44.84112,-0.58333,True,True,True,True,True,False
0472290005,00000001B3,Orange,Agen,47001,Lot-et-Garonne,Nouvelle-Aquitaine,44.21666,0.63556,False,True,True,True,True,False
0512290147,00000001C1,Orange,Sainte-Menehould,51507,Marne,Grand Est,49.09028,4.87333,True,True,True,True,False,False
0632290004,00000001D1,Orange,Celles-sur-Durolle,63066,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.84667,3.59833,True,True,True,False,False,False
0212290007,00000001E1,Orange,Dijon,21231,Côte-d'Or,Bourgogne-Franche-Comté,47.31945,5.02973,True,True,True,True,True,False
0592290571,00000001F3,Orange,Douai,59178,Nord,Hauts-de-France,50.36834,3.08416,True,True,True,True,True,False
0592290031,00000001F4,Orange,Lille,59350,59 - Nord,Hauts-de-France,50.63305,3.05972,True,True,True,True,True,False
0622290020,00000001F5,Orange,Dourges,62274,Pas-de-Calais,Hauts-de-France,50.43805,2.97611,True,True,True,True,True,False
0232290001,00000001G1,Orange,La Souterraine,23176,Creuse,Nouvelle-Aquitaine,46.23833,1.46583,True,True,True,True,True,False
0732290021,00000001H1,Orange,Chambéry,73065,Savoie,Auvergne-Rhône-Alpes,45.58584,5.92722,True,True,True,True,True,False
0382290010,00000001H5,Orange,Grenoble,38185,38 - Isère,Auvergne-Rhône-Alpes,45.18833,5.73806,True,True,True,True,True,False
0262290005,00000001H7,Orange,Saint-Barthélemy-de-Vals,26295,Drôme,Auvergne-Rhône-Alpes,45.16278,4.87639,True,True,True,True,True,False
0062290019,00000001J2,Orange,Grasse,06069,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.64833,6.93611,True,True,True,False,False,False
0302290005,00000001J4,Orange,Villeneuve-lès-Avignon,30351,Gard,Occitanie,43.96,4.78139,True,True,True,True,True,False
0302290007,00000001K2,Orange,Pont-Saint-Esprit,30202,Gard,Occitanie,44.25305,4.64833,True,True,True,True,True,False
0542290015,00000001L1,Orange,Lesménils,54312,Meurthe-et-Moselle,Grand Est,48.93056,6.08528,False,True,True,True,True,False
0572290279,00000001L2,Orange,Hesse,57321,Moselle,Grand Est,48.705,7.04528,True,True,True,True,True,False
0442290012,00000001M1,Orange,Nort-sur-Erdre,44110,Loire-Atlantique,Pays de la Loire,47.465,-1.53639,True,True,True,True,True,False
0722290009,00000001M2,Orange,Cherré-Au,72080,Sarthe,Pays de la Loire,48.20306,0.6825,True,True,True,True,True,False
0412290011,00000001N1,Orange,Herbault,41101,Loir-et-Cher,Centre-Val de Loire,47.59917,1.13417,True,True,True,True,True,False
0452290010,00000001N2,Orange,Jouy-le-Potier,45175,Loiret,Centre-Val de Loire,47.74722,1.81222,True,True,True,False,False,False
0862290140,00000001P1,Orange,Antran,86007,Vienne,Nouvelle-Aquitaine,46.90473,0.52639,True,True,True,True,False,False
0272290011,00000001R1,Orange,Fontaine-Bellenger,27249,Eure,Normandie,49.18056,1.26445,True,True,True,False,False,False
0672290021,00000001S1,Orange,Monswiller,67302,Bas-Rhin,Grand Est,48.74639,7.39139,True,True,True,True,True,False
0312290351,00000001T1,Orange,Toulouse,31555,31 - Haute-Garonne,Occitanie,43.605,1.44473,False,True,True,True,True,False
0822290004,00000001T2,Orange,Grisolles,82075,Tarn-et-Garonne,Occitanie,43.83472,1.30638,True,True,True,True,True,False
0652290005,00000001T3,Orange,Barbazan-Debat,65062,Hautes-Pyrénées,Occitanie,43.20778,0.13028,True,True,True,True,True,False
0942290055,00000001U6,Orange,Chevilly-Larue,94021,Val-de-Marne,Île-de-France,48.76306,2.34,True,True,True,True,True,False
02A2290114,00000001V1,Orange,Alata,2A006,Corse-du-Sud,Corse,41.95361,8.70056,True,True,True,True,False,False
0912290007,00000001W2,Orange,Bièvres,91064,Essonne,Île-de-France,48.76223,2.20777,True,True,True,True,True,False
0902290027,00000001X1,Orange,Belfort,90010,Territoire de Belfort,Bourgogne-Franche-Comté,47.66167,6.8189,True,True,True,True,True,False
0142290016,00000001Z1,Orange,Caen,14118,Calvados,Normandie,49.18389,-0.37167,True,True,True,True,True,False
0802290006,00000002A1,Orange,Roye,80685,Somme,Hauts-de-France,49.7,2.79111,True,True,True,True,True,False
0642290014,00000002B1,Orange,Saint-Boès,64471,Pyrénées-Atlantiques,Nouvelle-Aquitaine,43.52861,-0.80362,True,True,True,True,True,False
0332290023,00000002B2,Orange,Bordeaux,33063,33 - Gironde,Nouvelle-Aquitaine,44.87444,-0.56889,True,True,True,True,True,False
0472290008,00000002B3,Orange,Tonneins,47310,Lot-et-Garonne,Nouvelle-Aquitaine,44.38055,0.34417,True,True,True,True,True,False
0512290003,00000002C1,Orange,Saint-Martin-sur-le-Pré,51504,Marne,Grand Est,48.99777,4.36223,True,True,True,True,False,False
0032290008,00000002D1,Orange,Droiturier,03105,Allier,Auvergne-Rhône-Alpes,46.23333,3.71889,True,True,True,False,False,False
0592290006,00000002F3,Orange,Anzin,59014,Nord,Hauts-de-France,50.36778,3.49249,True,True,True,True,True,False
0592290030,00000002F4,Orange,Lille,59350,59 - Nord,Hauts-de-France,50.63417,3.01889,True,True,True,True,True,False
0622290007,00000002F5,Orange,Lens,62498,Pas-de-Calais,Hauts-de-France,50.43889,2.83917,True,True,True,True,True,False
0872290171,00000002G1,Orange,Bessines-sur-Gartempe,87014,Haute-Vienne,Nouvelle-Aquitaine,46.13278,1.38416,True,True,True,True,True,False
0732290022,00000002H1,Orange,Aiguebelette-le-Lac,73001,Savoie,Auvergne-Rhône-Alpes,45.55166,5.81389,True,True,True,True,True,False
0692290372,00000002H3,Orange,Lyon,69123,69 - Rhône,Auvergne-Rhône-Alpes,45.77944,4.82472,True,True,True,False,False,False
0422290009,00000002H6,Orange,Rive-de-Gier,42186,Loire,Auvergne-Rhône-Alpes,45.53333,4.62083,True,True,True,True,True,False
