id_pylone_sensor,id_station_anfr,nom_operateur,commune,temperature_processeur_c,charge_cpu_pct,stabilite_tension_volts,etat_sante_batterie_secours_pct,vibration_mat_mm,probabilite_panne_7j_pct,composant_a_remplacer_prioritaire
SNS-0001,0802290015,Orange,Grenoble,71.5,83.5,47.47,94.6,3.04,68.9,Liaison FH Réalignement
SNS-0002,0642290151,SFR,Marseille,42.7,90.3,47.94,69.1,1.9,23.1,Aucun (Normal)
SNS-0003,0332290026,Orange,Nice,82.9,64.6,48.57,88.3,2.17,72.4,Ventilateur Baie 3.5GHz
SNS-0004,0472290005,Orange,Nice,56.8,68.6,48.17,83.7,0.59,29.0,Aucun (Normal)
SNS-0005,0512290147,Orange,Bordeaux,50.2,53.1,48.25,86.0,4.16,3.2,Aucun (Normal)
SNS-0006,0632290004,Free Mobile,Rennes,55.6,41.2,48.03,68.9,1.96,2.2,Aucun (Normal)
SNS-0007,0212290007,Free Mobile,Paris,73.7,81.9,47.83,72.7,3.58,71.4,Module Optique SFP+ 10G
SNS-0008,0592290571,Bouygues Telecom,Lille,82.9,60.0,47.73,78.7,0.62,68.2,Liaison FH Réalignement
SNS-0009,0592290031,Bouygues Telecom,Grenoble,80.0,64.9,48.07,80.2,3.6,67.4,Carte Alimentation DC
SNS-0010,0622290020,SFR,Lyon,52.0,32.8,48.38,65.6,1.12,2.0,Aucun (Normal)
SNS-0011,0232290001,Free Mobile,Annecy,76.0,61.0,47.31,79.2,3.19,56.7,Aucun (Normal)
SNS-0012,0732290021,SFR,Toulouse,76.6,45.6,48.1,96.6,2.08,43.9,Aucun (Normal)
SNS-0013,0382290010,Free Mobile,Toulouse,67.0,68.0,48.37,71.8,2.57,46.8,Aucun (Normal)
SNS-0014,0262290005,Free Mobile,Lille,64.9,50.4,47.76,96.9,1.38,27.2,Aucun (Normal)
SNS-0015,0062290019,Orange,Toulouse,54.8,53.8,48.32,88.7,0.96,12.1,Aucun (Normal)
SNS-0016,0302290005,Free Mobile,Annecy,69.1,54.7,47.44,78.2,2.6,38.6,Aucun (Normal)
SNS-0017,0302290007,Orange,Rennes,64.8,73.7,48.34,66.9,0.18,48.0,Aucun (Normal)
SNS-0018,0542290015,SFR,Bordeaux,61.0,77.8,47.81,83.3,2.92,44.8,Aucun (Normal)
SNS-0019,0572290279,SFR,Grenoble,52.7,39.9,48.19,93.3,0.97,2.0,Aucun (Normal)
SNS-0020,0442290012,Free Mobile,Lyon,81.6,26.5,48.34,98.6,2.43,35.7,Aucun (Normal)
