flow_id,imei,antenna_id,timestamp,application_name,traffic_type,volume_mb_uplink,volume_mb_downlink,user_location,latency_ms,postal_code
FLOW-00001-1,354777849048380,0262290057,2025-03-01 08:21:00,Instagram,Réseaux Sociaux,17.61,385.77,POINT(7.7626 48.5657),59,67000
FLOW-00001-2,354777849048380,0012290105,2025-03-23 09:38:00,Google Cloud Drive,Cloud Storage,62.09,1622.49,POINT(7.7540 48.5683),41,67000
FLOW-00002-1,359561045369212,0442290064,2025-03-25 22:30:00,YouTube 4K,Streaming 4K Video,2.52,897.35,POINT(4.8293 45.7757),47,69001
FLOW-00002-2,359561045369212,0142290224,2025-03-05 13:25:00,YouTube 4K,Streaming 4K Video,107.93,843.43,POINT(4.8323 45.7504),41,69001
FLOW-00003-1,353089268610735,0412290021,2025-03-12 20:26:00,Microsoft Teams,Visio Pro,41.56,1534.47,POINT(3.0634 50.6304),48,59000
FLOW-00003-2,353089268610735,0772290322,2025-03-16 12:24:00,Instagram,Réseaux Sociaux,57.53,218.41,POINT(3.0653 50.6310),27,59000
FLOW-00004-1,358530632494978,0872290063,2025-03-28 16:20:00,YouTube 4K,Streaming 4K Video,54.76,287.76,POINT(5.7197 45.1915),31,38000
FLOW-00004-2,358530632494978,0312290223,2025-03-21 13:26:00,Google Meet,Visio Pro,130.97,784.14,POINT(5.7412 45.1813),63,38000
FLOW-00005-1,356919893418975,0942290004,2025-03-09 20:13:00,TikTok,Réseaux Sociaux,24.93,1679.59,POINT(7.2421 43.7169),22,06000
FLOW-00005-2,356919893418975,0632290091,2025-03-27 17:43:00,Instagram,Réseaux Sociaux,84.8,288.14,POINT(7.2669 43.7061),34,06000
FLOW-00006-1,351609852158517,0832290053,2025-03-03 08:43:00,Google Cloud Drive,Cloud Storage,128.67,1349.05,POINT(-0.5602 44.8552),64,33000
FLOW-00006-2,351609852158517,0452290043,2025-03-15 22:25:00,Netflix,Streaming 4K Video,86.42,1802.25,POINT(-0.5835 44.8518),30,33000
FLOW-00007-1,355841541801160,0132290874,2025-03-18 17:14:00,Instagram,Réseaux Sociaux,138.28,504.78,POINT(5.3806 43.2785),58,13001
FLOW-00007-2,355841541801160,0272290029,2025-03-23 11:29:00,TikTok,Réseaux Sociaux,45.09,1406.14,POINT(5.3798 43.3073),50,13001
FLOW-00008-1,351132291262948,0402290018,2025-03-24 16:33:00,Google Cloud Drive,Cloud Storage,86.11,1544.36,POINT(3.8894 43.6190),24,34000
FLOW-00008-2,351132291262948,0592290055,2025-03-14 17:30:00,YouTube 4K,Streaming 4K Video,143.25,407.08,POINT(3.8795 43.5928),53,34000
FLOW-00009-1,357868415374785,0142290225,2025-03-09 14:05:00,YouTube 4K,Streaming 4K Video,80.9,1459.27,POINT(5.7085 45.1741),29,38000
FLOW-00009-2,357868415374785,0292290357,2025-03-01 17:37:00,Google Cloud Drive,Cloud Storage,140.18,1765.48,POINT(5.7113 45.1732),25,38000
FLOW-00010-1,353899463609980,0762290125,2025-03-01 14:52:00,Netflix,Streaming 4K Video,38.73,820.5,POINT(6.1493 45.9168),19,74000
FLOW-00010-2,353899463609980,0372290140,2025-03-12 18:11:00,YouTube 4K,Streaming 4K Video,33.35,85.5,POINT(6.1182 45.8961),22,74000
FLOW-00011-1,358548444993588,0732290108,2025-03-20 10:44:00,Fortnite Mobile,Gaming en Ligne,112.76,1200.25,POINT(3.8874 43.6132),19,34000
FLOW-00011-2,358548444993588,0622290125,2025-03-17 16:33:00,Instagram,Réseaux Sociaux,2.83,1170.45,POINT(3.8766 43.6236),20,34000
FLOW-00012-1,351576920400400,0072290069,2025-03-07 10:56:00,Fortnite Mobile,Gaming en Ligne,145.59,1180.12,POINT(5.3611 43.2948),22,13001
FLOW-00012-2,351576920400400,0852290246,2025-03-01 13:27:00,Instagram,Réseaux Sociaux,58.87,33.78,POINT(5.3779 43.3051),32,13001
FLOW-00013-1,355126713093860,0572290312,2025-03-05 21:50:00,Microsoft Teams,Visio Pro,58.25,98.34,POINT(1.4443 43.6009),51,31000
FLOW-00013-2,355126713093860,0802290152,2025-03-11 19:33:00,Google Meet,Visio Pro,6.95,881.5,POINT(1.4262 43.6140),30,31000
FLOW-00014-1,352349437169154,0782290078,2025-03-01 13:09:00,Fortnite Mobile,Gaming en Ligne,29.07,377.98,POINT(5.3680 43.2980),56,13001
FLOW-00014-2,352349437169154,0542290104,2025-03-25 12:01:00,Netflix,Streaming 4K Video,25.71,1193.06,POINT(5.3547 43.2791),14,13001
FLOW-00015-1,354381179382704,0752291308,2025-03-12 12:03:00,Google Meet,Visio Pro,63.17,1242.65,POINT(3.8749 43.5996),52,34000
