id_session,id_client,imsi_sim_tag_code,timestamp_session,duree_session_minutes,volume_download_mb,volume_upload_mb,categorie_contenu_visite,protocole_reseau,id_station_anfr_connectee,qualite_experience_qoe_score
SESS-00001-1,CLI-00001,208105987115090,2025-03-28 18:15:00,39,2844.9,139.2,Réseaux Sociaux (TikTok/Instagram),HTTPS,0672290015,4.8
SESS-00001-2,CLI-00001,208105987115090,2025-03-06 15:15:00,74,627.5,166.1,Navigation Web General HTTPS,UDP_GAMING,0342290102,4.0
SESS-00001-3,CLI-00001,208105987115090,2025-03-04 13:15:00,97,1726.7,114.3,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0212290046,4.5
SESS-00002-1,CLI-00002,208109239745034,2025-03-21 15:15:00,11,2291.1,79.1,Réseaux Sociaux (TikTok/Instagram),QUIC,0412290010,4.3
SESS-00002-2,CLI-00002,208109239745034,2025-03-21 12:15:00,91,1050.3,430.0,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0672290314,4.8
SESS-00002-3,CLI-00002,208109239745034,2025-03-02 22:15:00,58,227.8,328.5,Réseaux Sociaux (TikTok/Instagram),QUIC,0772290177,4.8
SESS-00003-1,CLI-00003,208104266307785,2025-03-01 18:15:00,120,2705.8,323.9,Cloud Storage (AWS/GCP/Drive),QUIC,0522290101,4.2
SESS-00003-2,CLI-00003,208104266307785,2025-03-09 18:15:00,93,2284.6,133.6,Gaming en Ligne UDP,QUIC,0772290291,4.3
SESS-00003-3,CLI-00003,208104266307785,2025-03-10 09:15:00,57,1764.6,50.6,Gaming en Ligne UDP,QUIC,0332290035,4.1
SESS-00004-1,CLI-00004,208103237876546,2025-03-25 10:15:00,83,1987.4,445.0,Cloud Storage (AWS/GCP/Drive),SIP_VOIP,0692290180,4.1
SESS-00004-2,CLI-00004,208103237876546,2025-03-12 10:15:00,68,1023.7,428.8,Réseaux Sociaux (TikTok/Instagram),UDP_GAMING,0692290252,4.7
SESS-00004-3,CLI-00004,208103237876546,2025-03-20 12:15:00,62,2890.6,278.9,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0872290011,4.1
SESS-00005-1,CLI-00005,208103006446040,2025-03-16 19:15:00,52,2852.5,143.7,Navigation Web General HTTPS,QUIC,0512290100,4.8
SESS-00005-2,CLI-00005,208103006446040,2025-03-02 14:15:00,101,332.6,227.6,Navigation Web General HTTPS,QUIC,0342290107,4.6
SESS-00005-3,CLI-00005,208103006446040,2025-03-09 22:15:00,80,2201.9,127.3,Visio Pro Teams/Zoom,UDP_GAMING,0912290117,4.2
SESS-00006-1,CLI-00006,208105925461729,2025-03-22 13:15:00,36,308.3,366.2,Cloud Storage (AWS/GCP/Drive),HTTPS,0742290115,4.5
SESS-00006-2,CLI-00006,208105925461729,2025-03-10 09:15:00,102,690.2,49.3,Cloud Storage (AWS/GCP/Drive),SIP_VOIP,0862290045,4.6
SESS-00006-3,CLI-00006,208105925461729,2025-03-18 12:15:00,84,2559.2,160.5,Visio Pro Teams/Zoom,SIP_VOIP,0132290685,4.3
SESS-00007-1,CLI-00007,208107612430259,2025-03-11 19:15:00,49,694.8,26.9,Navigation Web General HTTPS,SIP_VOIP,0062290176,4.1
SESS-00007-2,CLI-00007,208107612430259,2025-03-14 14:15:00,32,151.7,362.3,Visio Pro Teams/Zoom,SIP_VOIP,0702290051,4.4
SESS-00007-3,CLI-00007,208107612430259,2025-03-02 14:15:00,11,344.3,367.0,Cloud Storage (AWS/GCP/Drive),QUIC,0112290034,4.1
SESS-00008-1,CLI-00008,208104050411596,2025-03-11 21:15:00,74,738.1,37.5,Streaming Video 4K (Netflix/YouTube),HTTPS,0582290008,4.3
SESS-00008-2,CLI-00008,208104050411596,2025-03-28 22:15:00,53,2266.7,404.2,Cloud Storage (AWS/GCP/Drive),SIP_VOIP,0602290102,4.1
SESS-00008-3,CLI-00008,208104050411596,2025-03-10 09:15:00,102,1004.1,446.9,Réseaux Sociaux (TikTok/Instagram),UDP_GAMING,0832290124,4.1
SESS-00009-1,CLI-00009,208109135284781,2025-03-20 19:15:00,59,1785.5,285.0,Gaming en Ligne UDP,SIP_VOIP,0252290070,4.1
SESS-00009-2,CLI-00009,208109135284781,2025-03-26 14:15:00,5,2418.7,237.3,Gaming en Ligne UDP,QUIC,0392290005,3.9
SESS-00009-3,CLI-00009,208109135284781,2025-03-02 21:15:00,38,2539.2,115.6,Navigation Web General HTTPS,UDP_GAMING,0302290172,4.4
SESS-00010-1,CLI-00010,208103566915297,2025-03-20 14:15:00,114,2288.4,180.5,Réseaux Sociaux (TikTok/Instagram),QUIC,0762290037,3.9
SESS-00010-2,CLI-00010,208103566915297,2025-03-22 22:15:00,11,2816.6,243.1,Cloud Storage (AWS/GCP/Drive),HTTPS,0042290035,4.2
SESS-00010-3,CLI-00010,208103566915297,2025-03-11 21:15:00,31,2263.7,79.0,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,02A2290114,4.5
SESS-00011-1,CLI-00011,208107784158570,2025-03-09 13:15:00,84,1590.1,274.4,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0712290043,4.8
SESS-00011-2,CLI-00011,208107784158570,2025-03-05 16:15:00,42,1300.8,12.8,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0922290024,3.8
SESS-00011-3,CLI-00011,208107784158570,2025-03-11 16:15:00,34,531.1,222.1,Streaming Video 4K (Netflix/YouTube),UDP_GAMING,0062290920,4.8
SESS-00012-1,CLI-00012,208101082939819,2025-03-02 21:15:00,62,877.9,390.1,Streaming Video 4K (Netflix/YouTube),QUIC,0292290095,4.4
SESS-00012-2,CLI-00012,208101082939819,2025-03-02 15:15:00,118,2272.5,383.3,Cloud Storage (AWS/GCP/Drive),HTTPS,0292290055,3.9
SESS-00012-3,CLI-00012,208101082939819,2025-03-07 14:15:00,13,2411.8,109.8,Gaming en Ligne UDP,UDP_GAMING,0752291907,4.1
SESS-00013-1,CLI-00013,208104264812732,2025-03-13 14:15:00,115,2380.5,291.8,Cloud Storage (AWS/GCP/Drive),HTTPS,0922290218,4.4
SESS-00013-2,CLI-00013,208104264812732,2025-03-26 15:15:00,28,174.5,315.8,Cloud Storage (AWS/GCP/Drive),QUIC,0062290097,4.4
SESS-00013-3,CLI-00013,208104264812732,2025-03-11 15:15:00,116,2997.8,97.5,Gaming en Ligne UDP,SIP_VOIP,0772290418,4.4
SESS-00014-1,CLI-00014,208107692741821,2025-03-23 18:15:00,61,1680.1,120.8,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0692290394,4.4
SESS-00014-2,CLI-00014,208107692741821,2025-03-06 19:15:00,109,1898.5,233.4,Streaming Video 4K (Netflix/YouTube),HTTPS,0782290297,4.6
SESS-00014-3,CLI-00014,208107692741821,2025-03-08 18:15:00,42,874.1,334.6,Visio Pro Teams/Zoom,UDP_GAMING,0812290064,4.9
SESS-00015-1,CLI-00015,208109057775214,2025-03-10 15:15:00,90,1816.3,371.2,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0932290113,4.6
SESS-00015-2,CLI-00015,208109057775214,2025-03-21 19:15:00,24,1622.4,101.5,Cloud Storage (AWS/GCP/Drive),QUIC,0332290329,4.6
SESS-00015-3,CLI-00015,208109057775214,2025-03-14 21:15:00,29,2018.5,285.8,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0362290039,4.8
SESS-00016-1,CLI-00016,208102125714267,2025-03-17 22:15:00,101,2328.7,221.7,Navigation Web General HTTPS,QUIC,0172290271,4.8
SESS-00016-2,CLI-00016,208102125714267,2025-03-10 17:15:00,56,2124.9,110.0,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0762290227,4.6
SESS-00016-3,CLI-00016,208102125714267,2025-03-26 14:15:00,30,888.6,331.0,Visio Pro Teams/Zoom,HTTPS,0112290052,4.6
SESS-00017-1,CLI-00017,208107581775790,2025-03-20 17:15:00,65,401.0,167.1,Gaming en Ligne UDP,UDP_GAMING,0412290008,4.7
SESS-00017-2,CLI-00017,208107581775790,2025-03-06 19:15:00,38,1319.7,416.4,Navigation Web General HTTPS,QUIC,0292290222,3.8
SESS-00017-3,CLI-00017,208107581775790,2025-03-21 09:15:00,25,734.0,91.4,Visio Pro Teams/Zoom,UDP_GAMING,0912290133,3.9
SESS-00018-1,CLI-00018,208107133518542,2025-03-17 17:15:00,31,2056.2,160.8,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0862290055,4.5
SESS-00018-2,CLI-00018,208107133518542,2025-03-09 13:15:00,26,1461.5,422.1,Gaming en Ligne UDP,HTTPS,0832290104,4.3
SESS-00018-3,CLI-00018,208107133518542,2025-03-04 16:15:00,35,3169.2,116.1,Navigation Web General HTTPS,QUIC,0832290017,3.8
SESS-00019-1,CLI-00019,208104193065426,2025-03-11 11:15:00,80,1505.3,101.5,Cloud Storage (AWS/GCP/Drive),QUIC,0032290029,3.9
SESS-00019-2,CLI-00019,208104193065426,2025-03-22 14:15:00,106,2925.1,24.0,Réseaux Sociaux (TikTok/Instagram),QUIC,0392290030,4.3
SESS-00019-3,CLI-00019,208104193065426,2025-03-06 20:15:00,77,1503.1,339.4,Navigation Web General HTTPS,UDP_GAMING,0442290185,4.4
SESS-00020-1,CLI-00020,208103916738272,2025-03-01 11:15:00,55,2413.8,47.8,Cloud Storage (AWS/GCP/Drive),QUIC,0312290354,4.5
SESS-00020-2,CLI-00020,208103916738272,2025-03-13 20:15:00,15,1000.8,396.8,Streaming Video 4K (Netflix/YouTube),QUIC,0492290175,3.8
SESS-00020-3,CLI-00020,208103916738272,2025-03-10 18:15:00,85,263.0,184.0,Navigation Web General HTTPS,UDP_GAMING,0172290094,4.5
SESS-00021-1,CLI-00021,208102461147760,2025-03-14 08:15:00,20,472.7,326.9,Réseaux Sociaux (TikTok/Instagram),UDP_GAMING,0072290069,4.4
SESS-00021-2,CLI-00021,208102461147760,2025-03-05 17:15:00,112,1144.9,348.8,Visio Pro Teams/Zoom,SIP_VOIP,0162290172,4.6
SESS-00021-3,CLI-00021,208102461147760,2025-03-07 10:15:00,85,2024.0,412.8,Gaming en Ligne UDP,HTTPS,0522290160,4.5
SESS-00022-1,CLI-00022,208101824368275,2025-03-10 08:15:00,8,373.1,278.3,Streaming Video 4K (Netflix/YouTube),QUIC,0692290366,4.3
SESS-00022-2,CLI-00022,208101824368275,2025-03-02 11:15:00,57,2727.0,297.2,Gaming en Ligne UDP,UDP_GAMING,0282290124,3.8
SESS-00022-3,CLI-00022,208101824368275,2025-03-28 20:15:00,95,2168.0,298.6,Cloud Storage (AWS/GCP/Drive),HTTPS,0942290125,4.8
SESS-00023-1,CLI-00023,208105794498090,2025-03-05 21:15:00,25,1708.9,440.2,Gaming en Ligne UDP,SIP_VOIP,0382290030,4.2
SESS-00023-2,CLI-00023,208105794498090,2025-03-05 15:15:00,113,173.9,53.7,Gaming en Ligne UDP,QUIC,0912290016,4.8
SESS-00023-3,CLI-00023,208105794498090,2025-03-20 15:15:00,114,561.1,32.3,Navigation Web General HTTPS,HTTPS,0742290209,4.1
SESS-00024-1,CLI-00024,208103319085279,2025-03-06 11:15:00,70,2174.1,122.3,Navigation Web General HTTPS,QUIC,0922290174,4.4
SESS-00024-2,CLI-00024,208103319085279,2025-03-17 19:15:00,89,2664.4,338.6,Navigation Web General HTTPS,QUIC,0172290119,4.3
SESS-00024-3,CLI-00024,208103319085279,2025-03-19 17:15:00,66,1000.5,171.8,Navigation Web General HTTPS,HTTPS,0772290042,4.0
SESS-00025-1,CLI-00025,208103673271955,2025-03-04 17:15:00,33,357.0,194.9,Gaming en Ligne UDP,QUIC,0272290029,4.3
SESS-00025-2,CLI-00025,208103673271955,2025-03-05 09:15:00,115,3018.6,430.2,Cloud Storage (AWS/GCP/Drive),QUIC,0912290049,4.7
SESS-00025-3,CLI-00025,208103673271955,2025-03-14 21:15:00,15,191.6,102.0,Cloud Storage (AWS/GCP/Drive),UDP_GAMING,0692290472,4.6
SESS-00026-1,CLI-00026,208103209119481,2025-03-08 13:15:00,84,2529.7,153.6,Navigation Web General HTTPS,QUIC,0692290366,4.8
SESS-00026-2,CLI-00026,208103209119481,2025-03-21 22:15:00,111,2284.7,314.6,Navigation Web General HTTPS,HTTPS,0552290062,4.2
SESS-00026-3,CLI-00026,208103209119481,2025-03-18 11:15:00,26,2064.5,196.1,Navigation Web General HTTPS,SIP_VOIP,0342290100,4.2
SESS-00027-1,CLI-00027,208107077061103,2025-03-07 14:15:00,34,1103.8,24.0,Navigation Web General HTTPS,QUIC,0132290360,4.6
SESS-00027-2,CLI-00027,208107077061103,2025-03-13 18:15:00,75,2708.7,127.3,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0122290007,4.6
SESS-00027-3,CLI-00027,208107077061103,2025-03-19 13:15:00,71,3051.6,427.5,Cloud Storage (AWS/GCP/Drive),HTTPS,0742290274,4.2
SESS-00028-1,CLI-00028,208108935189008,2025-03-06 10:15:00,63,1841.4,413.3,Navigation Web General HTTPS,SIP_VOIP,0852290221,3.8
SESS-00028-2,CLI-00028,208108935189008,2025-03-18 13:15:00,10,1962.4,171.4,Navigation Web General HTTPS,HTTPS,0762290040,4.0
SESS-00028-3,CLI-00028,208108935189008,2025-03-17 11:15:00,48,2142.7,373.1,Visio Pro Teams/Zoom,QUIC,0562290076,4.0
SESS-00029-1,CLI-00029,208105527688091,2025-03-11 12:15:00,113,2312.7,172.6,Navigation Web General HTTPS,HTTPS,0782290171,4.5
SESS-00029-2,CLI-00029,208105527688091,2025-03-02 08:15:00,114,3113.5,421.1,Cloud Storage (AWS/GCP/Drive),UDP_GAMING,0772290027,4.6
SESS-00029-3,CLI-00029,208105527688091,2025-03-04 09:15:00,35,3164.8,371.4,Visio Pro Teams/Zoom,SIP_VOIP,0472290084,4.1
SESS-00030-1,CLI-00030,208106825675921,2025-03-01 16:15:00,32,2848.5,46.5,Streaming Video 4K (Netflix/YouTube),QUIC,0532290042,4.2
SESS-00030-2,CLI-00030,208106825675921,2025-03-03 19:15:00,33,573.9,152.0,Cloud Storage (AWS/GCP/Drive),SIP_VOIP,0382290409,4.2
SESS-00030-3,CLI-00030,208106825675921,2025-03-06 12:15:00,64,309.4,63.5,Visio Pro Teams/Zoom,QUIC,0512290120,4.4
SESS-00031-1,CLI-00031,208103534408607,2025-03-01 16:15:00,106,258.4,164.9,Gaming en Ligne UDP,HTTPS,0032290063,4.7
SESS-00031-2,CLI-00031,208103534408607,2025-03-09 21:15:00,58,598.2,238.1,Gaming en Ligne UDP,SIP_VOIP,0842290064,4.7
SESS-00031-3,CLI-00031,208103534408607,2025-03-02 15:15:00,48,2591.9,390.6,Navigation Web General HTTPS,SIP_VOIP,0622290164,3.8
SESS-00032-1,CLI-00032,208103651775192,2025-03-27 11:15:00,34,1196.3,52.1,Visio Pro Teams/Zoom,QUIC,0952290129,4.7
SESS-00032-2,CLI-00032,208103651775192,2025-03-17 22:15:00,63,1282.1,204.7,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0532290024,4.8
SESS-00032-3,CLI-00032,208103651775192,2025-03-25 13:15:00,97,3021.3,201.1,Navigation Web General HTTPS,QUIC,0022290016,4.9
SESS-00033-1,CLI-00033,208103311196293,2025-03-19 21:15:00,24,671.7,437.1,Navigation Web General HTTPS,SIP_VOIP,0502290082,4.4
SESS-00033-2,CLI-00033,208103311196293,2025-03-08 15:15:00,41,1966.8,273.6,Cloud Storage (AWS/GCP/Drive),UDP_GAMING,0412290069,4.3
SESS-00033-3,CLI-00033,208103311196293,2025-03-02 09:15:00,7,611.8,116.7,Streaming Video 4K (Netflix/YouTube),QUIC,0682290102,3.9
SESS-00034-1,CLI-00034,208108382632499,2025-03-12 13:15:00,120,1520.8,189.1,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0132290256,4.6
SESS-00034-2,CLI-00034,208108382632499,2025-03-02 13:15:00,77,2692.0,212.6,Visio Pro Teams/Zoom,QUIC,0572290098,4.7
SESS-00034-3,CLI-00034,208108382632499,2025-03-28 17:15:00,18,2782.3,197.9,Streaming Video 4K (Netflix/YouTube),QUIC,0832290090,3.9
SESS-00035-1,CLI-00035,208109181603074,2025-03-24 09:15:00,28,2468.5,437.5,Réseaux Sociaux (TikTok/Instagram),QUIC,0142290109,3.9
SESS-00035-2,CLI-00035,208109181603074,2025-03-04 20:15:00,99,1427.1,221.0,Visio Pro Teams/Zoom,UDP_GAMING,0682290044,4.5
SESS-00035-3,CLI-00035,208109181603074,2025-03-12 14:15:00,116,2317.4,294.6,Gaming en Ligne UDP,UDP_GAMING,0862290049,4.9
SESS-00036-1,CLI-00036,208106950430942,2025-03-01 14:15:00,89,251.2,243.5,Cloud Storage (AWS/GCP/Drive),UDP_GAMING,0432290029,4.4
SESS-00036-2,CLI-00036,208106950430942,2025-03-23 21:15:00,33,297.1,113.4,Gaming en Ligne UDP,HTTPS,0222290013,4.8
SESS-00036-3,CLI-00036,208106950430942,2025-03-24 11:15:00,15,1719.4,47.7,Streaming Video 4K (Netflix/YouTube),UDP_GAMING,0502290112,4.6
SESS-00037-1,CLI-00037,208106665693845,2025-03-26 11:15:00,70,2236.4,19.6,Gaming en Ligne UDP,SIP_VOIP,0872290059,4.1
SESS-00037-2,CLI-00037,208106665693845,2025-03-05 14:15:00,69,415.7,444.2,Gaming en Ligne UDP,SIP_VOIP,0262290133,4.1
SESS-00037-3,CLI-00037,208106665693845,2025-03-15 13:15:00,76,1195.8,435.5,Visio Pro Teams/Zoom,SIP_VOIP,0662290369,4.4
SESS-00038-1,CLI-00038,208101066156253,2025-03-22 18:15:00,83,2388.1,53.7,Navigation Web General HTTPS,HTTPS,0262290023,4.1
SESS-00038-2,CLI-00038,208101066156253,2025-03-18 12:15:00,117,2206.6,227.0,Visio Pro Teams/Zoom,SIP_VOIP,0832290056,4.7
SESS-00038-3,CLI-00038,208101066156253,2025-03-20 09:15:00,104,2547.3,42.1,Visio Pro Teams/Zoom,HTTPS,0792290105,4.8
SESS-00039-1,CLI-00039,208108559161057,2025-03-05 16:15:00,33,1346.4,407.6,Gaming en Ligne UDP,UDP_GAMING,0572290113,4.0
SESS-00039-2,CLI-00039,208108559161057,2025-03-21 15:15:00,78,3120.0,27.8,Navigation Web General HTTPS,HTTPS,0762290269,4.3
SESS-00039-3,CLI-00039,208108559161057,2025-03-19 13:15:00,9,1630.1,354.4,Visio Pro Teams/Zoom,QUIC,0062290288,4.3
SESS-00040-1,CLI-00040,208101946213750,2025-03-01 14:15:00,29,3010.4,189.4,Gaming en Ligne UDP,HTTPS,0502290030,4.3
SESS-00040-2,CLI-00040,208101946213750,2025-03-10 19:15:00,77,2020.6,409.7,Navigation Web General HTTPS,SIP_VOIP,0332290348,4.1
SESS-00040-3,CLI-00040,208101946213750,2025-03-08 10:15:00,117,1247.9,283.9,Visio Pro Teams/Zoom,HTTPS,0752291213,4.3
SESS-00041-1,CLI-00041,208102212424047,2025-03-28 10:15:00,20,1987.9,87.9,Navigation Web General HTTPS,QUIC,0862290140,4.2
SESS-00041-2,CLI-00041,208102212424047,2025-03-15 15:15:00,76,1113.0,330.2,Streaming Video 4K (Netflix/YouTube),QUIC,0342290121,4.0
SESS-00041-3,CLI-00041,208102212424047,2025-03-19 09:15:00,46,1302.1,228.4,Cloud Storage (AWS/GCP/Drive),SIP_VOIP,0272290038,4.1
SESS-00042-1,CLI-00042,208105662050824,2025-03-17 21:15:00,15,1869.0,5.5,Visio Pro Teams/Zoom,UDP_GAMING,0602290082,4.5
SESS-00042-2,CLI-00042,208105662050824,2025-03-16 13:15:00,27,1304.1,43.1,Streaming Video 4K (Netflix/YouTube),SIP_VOIP,0432290017,3.9
SESS-00042-3,CLI-00042,208105662050824,2025-03-02 09:15:00,51,1786.9,325.9,Réseaux Sociaux (TikTok/Instagram),SIP_VOIP,0312290104,4.3
SESS-00043-1,CLI-00043,208104760522467,2025-03-28 17:15:00,78,684.9,410.1,Réseaux Sociaux (TikTok/Instagram),HTTPS,0362290027,4.7
