id_incident,nom_operateur,commune,code_departement,nom_region,type_equipement,severite_incident,nombre_abonnes_impactes,statut_resolution
INC-00001,Orange,Toulouse,31 - Haute-Garonne,Occitanie,PBO Fibre Optique,Moyen - Dégradation débit,755,EN_COURS
INC-00002,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,Antenne 5G 3.5GHz,Mineur,354,EN_COURS
INC-00003,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Majeur - Rupture 48h,11841,EN_COURS
INC-00004,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,Routeur Cœur IP,Mineur,461,EN_COURS
INC-00005,SFR,Lille,59 - Nord,Hauts-de-France,Antenne 4G LTE,Mineur,757,EN_COURS
INC-00006,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,NRO Central Enedis/SFR,Majeur - Rupture 48h,10224,INTERVENTION_EQUIPE
INC-00007,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 4G LTE,Majeur - Rupture 48h,11929,EN_COURS
INC-00008,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,NRO Central Enedis/SFR,Moyen - Dégradation débit,235,RESOLU
INC-00009,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Mineur,439,EN_COURS
INC-00010,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 5G 3.5GHz,Mineur,342,EN_COURS
INC-00011,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,PBO Fibre Optique,Mineur,509,INTERVENTION_EQUIPE
INC-00012,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Antenne 5G 3.5GHz,Mineur,378,RESOLU
INC-00013,Orange,Toulouse,31 - Haute-Garonne,Occitanie,Antenne 4G LTE,Mineur,523,INTERVENTION_EQUIPE
INC-00014,Orange,Lille,59 - Nord,Hauts-de-France,NRO Central Enedis/SFR,Moyen - Dégradation débit,298,INTERVENTION_EQUIPE
INC-00015,Free Mobile,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Majeur - Rupture 48h,9327,INTERVENTION_EQUIPE
INC-00016,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,NRO Central Enedis/SFR,Majeur - Rupture 48h,8809,RESOLU
INC-00017,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,Antenne 5G 3.5GHz,Moyen - Dégradation débit,587,RESOLU
INC-00018,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 4G LTE,Moyen - Dégradation débit,340,INTERVENTION_EQUIPE
INC-00019,Bouygues Telecom,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Moyen - Dégradation débit,797,RESOLU
INC-00020,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,NRO Central Enedis/SFR,Moyen - Dégradation débit,145,EN_COURS
INC-00021,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 5G 3.5GHz,Majeur - Rupture 48h,11211,RESOLU
INC-00022,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 4G LTE,Moyen - Dégradation débit,519,INTERVENTION_EQUIPE
INC-00023,SFR,Paris,75 - Paris,Île-de-France,Antenne 5G 3.5GHz,Mineur,358,INTERVENTION_EQUIPE
INC-00024,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,PBO Fibre Optique,Majeur - Rupture 48h,8575,INTERVENTION_EQUIPE
INC-00025,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Mineur,644,EN_COURS
INC-00026,Orange,Toulouse,31 - Haute-Garonne,Occitanie,Antenne 4G LTE,Moyen - Dégradation débit,49,EN_COURS
INC-00027,Free Mobile,Strasbourg,67 - Bas-Rhin,Grand Est,PBO Fibre Optique,Majeur - Rupture 48h,5025,EN_COURS
INC-00028,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 4G LTE,Majeur - Rupture 48h,14220,INTERVENTION_EQUIPE
