id_mesure,nom_operateur,commune,code_departement,nom_region,technologie_reseau,debit_descendant_mbps,debit_montant_mbps,latence_ms,taux_couverture_4g_pct
QOS-00001,Bouygues Telecom,Paris,75 - Paris,Île-de-France,4G+ LTE,108.9,18.1,20.6,99.7
QOS-00002,Orange,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G+ LTE,121.8,22.9,21.0,95.7
QOS-00003,Bouygues Telecom,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,5G 3.5GHz,439.0,60.6,11.1,94.5
QOS-00004,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,166.4,37.4,24.6,95.9
QOS-00005,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G+ LTE,74.4,26.0,24.3,98.1
QOS-00006,Free Mobile,Montpellier,34 - Hérault,Occitanie,5G 700MHz,179.8,29.9,23.9,95.7
QOS-00007,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G+ LTE,73.0,15.4,30.1,95.4
QOS-00008,Bouygues Telecom,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G,47.4,13.3,36.7,99.1
QOS-00009,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,373.2,82.7,10.3,96.6
QOS-00010,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,4G+ LTE,75.5,17.4,20.9,96.4
QOS-00011,SFR,Lille,59 - Nord,Hauts-de-France,5G 700MHz,156.8,25.9,23.0,98.4
QOS-00012,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,171.4,42.1,16.3,96.4
QOS-00013,Bouygues Telecom,Paris,75 - Paris,Île-de-France,5G 700MHz,232.5,40.0,21.0,98.5
QOS-00014,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G+ LTE,111.4,25.8,34.0,98.6
QOS-00015,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,556.6,47.8,13.6,94.8
QOS-00016,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G+ LTE,107.4,20.0,29.9,99.6
QOS-00017,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 3.5GHz,484.9,59.6,14.2,95.8
QOS-00018,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,42.5,15.5,31.9,96.5
QOS-00019,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,4G,39.9,11.8,31.4,98.0
QOS-00020,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,4G+ LTE,109.5,21.6,29.0,97.0
QOS-00021,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 3.5GHz,564.6,61.6,16.5,96.4
QOS-00022,Orange,Paris,75 - Paris,Île-de-France,5G 700MHz,172.7,38.6,16.5,99.9
QOS-00023,Bouygues Telecom,Lille,59 - Nord,Hauts-de-France,5G 700MHz,141.6,38.3,21.3,99.8
QOS-00024,Orange,Toulouse,31 - Haute-Garonne,Occitanie,4G,32.7,10.9,38.7,99.6
QOS-00025,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G+ LTE,84.6,22.1,24.7,98.5
QOS-00026,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G+ LTE,111.1,27.3,29.9,96.2
QOS-00027,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,5G 3.5GHz,585.0,65.9,13.2,98.3
QOS-00028,Free Mobile,Strasbourg,67 - Bas-Rhin,Grand Est,4G,50.6,14.7,40.7,96.6
QOS-00029,SFR,Paris,75 - Paris,Île-de-France,4G,47.6,15.1,35.3,97.1
QOS-00030,SFR,Lille,59 - Nord,Hauts-de-France,5G 700MHz,223.4,40.0,15.9,97.4
QOS-00031,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,218.2,28.8,20.7,96.1
QOS-00032,Bouygues Telecom,Paris,75 - Paris,Île-de-France,4G+ LTE,117.8,27.3,31.6,95.9
QOS-00033,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,137.2,41.5,24.8,99.7
QOS-00034,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,4G+ LTE,90.5,18.8,34.4,94.7
QOS-00035,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,33.6,14.7,37.5,96.9
QOS-00036,SFR,Strasbourg,67 - Bas-Rhin,Grand Est,4G,44.3,11.5,35.7,97.6
QOS-00037,Free Mobile,Paris,75 - Paris,Île-de-France,5G 700MHz,193.5,45.3,22.4,97.4
QOS-00038,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,39.5,12.7,30.8,95.4
QOS-00039,Orange,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G+ LTE,104.1,25.4,28.4,97.4
QOS-00040,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,482.2,71.9,14.8,99.2
QOS-00041,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 3.5GHz,587.6,52.6,15.7,95.1
QOS-00042,SFR,Lille,59 - Nord,Hauts-de-France,4G+ LTE,82.0,25.7,24.5,96.6
QOS-00043,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,150.2,27.3,21.3,96.7
QOS-00044,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,42.1,13.5,35.5,96.0
QOS-00045,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,126.5,31.7,15.2,96.2
QOS-00046,SFR,Montpellier,34 - Hérault,Occitanie,5G 3.5GHz,477.0,55.4,12.2,97.1
QOS-00047,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,4G+ LTE,118.6,20.4,32.0,97.7
QOS-00048,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 700MHz,211.3,45.4,22.8,94.8
QOS-00049,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,94.0,24.8,35.0,96.4
QOS-00050,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,4G,37.3,14.9,28.9,96.4
QOS-00051,SFR,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,89.3,26.7,33.5,97.3
QOS-00052,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,53.4,11.4,46.4,94.7
QOS-00053,SFR,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G+ LTE,92.3,15.6,26.3,97.4
QOS-00054,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,238.2,38.0,17.4,97.3
QOS-00055,Orange,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,227.8,40.8,24.3,96.6
QOS-00056,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G,49.6,14.5,46.1,97.0
QOS-00057,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,4G,43.8,10.6,44.9,99.8
QOS-00058,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,4G+ LTE,117.7,22.7,21.3,95.2
QOS-00059,SFR,Lille,59 - Nord,Hauts-de-France,4G,31.6,11.4,34.8,98.3
QOS-00060,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 3.5GHz,551.3,52.7,11.3,98.3
QOS-00061,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G,30.3,10.7,28.9,97.0
QOS-00062,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,354.1,83.3,10.9,98.8
QOS-00063,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,4G,39.7,9.4,45.0,94.7
QOS-00064,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G,55.6,9.4,37.1,97.0
QOS-00065,SFR,Strasbourg,67 - Bas-Rhin,Grand Est,5G 700MHz,150.6,26.6,15.6,98.8
QOS-00066,Bouygues Telecom,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,146.7,30.1,15.1,99.1
QOS-00067,Free Mobile,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,211.8,27.0,19.9,99.1
QOS-00068,SFR,Lille,59 - Nord,Hauts-de-France,5G 3.5GHz,502.1,64.2,14.4,99.5
QOS-00069,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,5G 700MHz,215.0,31.0,21.6,97.1
QOS-00070,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,51.7,11.3,43.3,99.3
QOS-00071,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,4G+ LTE,98.7,16.9,27.8,96.0
QOS-00072,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 700MHz,225.7,27.8,14.8,98.2
QOS-00073,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,44.0,8.7,28.2,95.2
QOS-00074,SFR,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,180.0,31.1,24.7,98.9
QOS-00075,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,200.4,31.0,16.0,99.2
QOS-00076,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,483.8,73.5,16.1,94.9
QOS-00077,Orange,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,71.1,19.0,24.7,98.9
QOS-00078,Free Mobile,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,209.7,43.1,19.8,95.1
