annee,code_groupe_biologie,libelle_groupe_biologie,code_region_beneficiaire,nom_region,nombre_beneficiaires_consommateurs,nombre_actes_biologie_realises,montant_base_remboursement_eur,montant_rembourse_assurance_maladie_eur
2024,1,HEMATOLOGIE COURANTE,28,Normandie,1584754,4338042,17754693.75,13826037.14
2024,1,HEMATOLOGIE COURANTE,75,Nouvelle-Aquitaine,3119560,8713069,35622382.59,27926175.9
2024,1,HEMATOLOGIE COURANTE,24,Centre-Val de Loire,1208299,3335844,13668742.51,10655866.6
2024,1,HEMATOLOGIE COURANTE,76,Occitanie,3107146,8870712,36450266.69,28569417.58
2024,1,HEMATOLOGIE COURANTE,27,Bourgogne-Franche-Comté,1335478,3658610,14958635.64,11617858.15
2024,1,HEMATOLOGIE COURANTE,32,Hauts-de-France,2890130,8161405,33588969.55,25867119.79
2024,1,HEMATOLOGIE COURANTE,52,Pays de la Loire,1778671,4138929,18611460.56,14285189.0
2024,1,HEMATOLOGIE COURANTE,93,Provence-Alpes-Côte d'Azur,2949488,9182207,36297157.25,28711737.05
2024,1,HEMATOLOGIE COURANTE,5,Île-de-France,950312,2502579,12233710.49,9341948.06
2024,1,HEMATOLOGIE COURANTE,53,Bretagne,1636367,3988110,17675996.74,13711472.22
2024,1,HEMATOLOGIE COURANTE,44,Grand Est,2841326,8172404,33262474.51,25563138.13
2024,1,HEMATOLOGIE COURANTE,11,Île-de-France,5376301,13712501,56804867.5,42954184.81
2024,1,HEMATOLOGIE COURANTE,84,Auvergne-Rhône-Alpes,3726153,9690152,41033533.33,31720804.33
2024,1,HEMATOLOGIE COURANTE,99,Île-de-France,42333,84646,361905.81,274207.35
2024,2,COAGULATION COURANTE,11,Île-de-France,1146527,3747658,17492976.88,14043365.34
2024,2,COAGULATION COURANTE,76,Occitanie,630779,2492958,12061730.07,10274730.17
2024,2,COAGULATION COURANTE,5,Île-de-France,204774,643118,3701114.49,2936586.73
2024,2,COAGULATION COURANTE,24,Centre-Val de Loire,246531,900349,4281013.41,3553508.5
