id_finess_etablissement,nom_etablissement,categorie_etablissement,commune,code_postal,code_departement,nom_region,capacite_totale_lits,capacite_lits_reanimation,capacite_lits_urgences,latitude,longitude
10000024,CH DE FLEYRIAT,Centre Hospitalier (C.H.),VIRIAT,1440,14 - Département 14,Île-de-France,250,20,30,46.222647,5.208387
10000032,CH BUGEY SUD,Centre Hospitalier (C.H.),BELLEY,1300,13 - Département 13,Île-de-France,250,20,30,45.748331,5.679892
10000065,CH DE TREVOUX - MONTPENSIER,Centre Hospitalier (C.H.),TREVOUX CEDEX,1606,16 - Département 16,Île-de-France,250,20,30,45.941074033,4.771957
10000081,CH DU PAYS DE GEX,"Centre hospitalier, ex Hôpital local",GEX CEDEX,1174,11 - Département 11,Île-de-France,250,20,30,46.322337652,6.057731421
10000099,CH DE MEXIMIEUX,"Centre hospitalier, ex Hôpital local",MEXIMIEUX,1800,18 - Département 18,Île-de-France,250,20,30,45.90663,5.194669
10000107,CH DE PONT DE VAUX,"Centre hospitalier, ex Hôpital local",PONT DE VAUX,1190,11 - Département 11,Île-de-France,250,20,30,46.432599,4.946635
10000115,CHI AIN VAL DE SAONE - PONT VEYLE,Centre Hospitalier (C.H.),PONT DE VEYLE,1290,12 - Département 12,Île-de-France,250,20,30,46.263449,4.889971
10000131,CHI AIN VAL DE SAONE - THOISSEY,Centre Hospitalier (C.H.),THOISSEY,1140,11 - Département 11,Île-de-France,250,20,30,46.172098,4.804444
10000180,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,Centre Hospitalier (C.H.),PLATEAU D HAUTEVILLE,1110,11 - Département 11,Île-de-France,250,20,30,45.975617,5.610185
10000198,CH PUBLIC HAUTEVILLE - UNITE INTERDEPT,Centre Hospitalier (C.H.),PLATEAU D HAUTEVILLE,1110,11 - Département 11,Île-de-France,250,20,30,45.975617,5.610185
10000214,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,Centre Hospitalier (C.H.),PLATEAU D HAUTEVILLE,1110,11 - Département 11,Île-de-France,250,20,30,45.975617,5.610185
10000495,CENTRE PSYCHOTHERAPIQUE DE L'AIN,Centre Hospitalier Spécialisé lutte Maladies Mentales,BOURG EN BRESSE CEDEX,1012,10 - Département 10,Île-de-France,250,20,30,46.224113301,5.228894549
10001246,MARPA DE BAGE-LA-VILLE,Résidences autonomie,BAGE DOMMARTIN,1380,13 - Département 13,Île-de-France,40,8,12,46.316594,4.946342
10001261,ESAT LES BROSSES,Etablissement et Service d'Aide par le Travail (E.S.A.T.),VERNOUX,1560,15 - Département 15,Île-de-France,50,8,12,46.474086556,5.1013125
10001295,PREVENTION SPECIALISEE - ADSEA,Club Equipe de Prévention,PERONNAS,1960,19 - Département 19,Île-de-France,40,8,12,46.185112,5.227059
10001360,MARPA LA VALETTE,Résidences autonomie,MONTRACOL,1310,13 - Département 13,Île-de-France,40,8,12,46.199938,5.12248
