id_bloc_operatoire,id_finess_etablissement,nom_etablissement,specialite_chirurgicale,nombre_salles_operatoires,taux_utilisation_bloc_pct,nombre_interventions_programmees,nombre_interventions_urgentes,delai_moyen_attente_chirurgie_jours
BLOC-0001,60007192,PHARMACIE DE LA GARE,Orthopédie & Traumatologie,8,90.1,67,7,13
BLOC-0002,60793213,RESIDENCE AUTONOMIE ILES DE LERINS,Neurologie & Neurochirurgie,5,90.9,111,9,26
BLOC-0003,60025582,VIVISOL FRANCE,Neurologie & Neurochirurgie,11,72.5,78,32,25
BLOC-0004,10012466,CPTS DU PAYS DE GEX,Chirurgie Viscérale & Digestive,14,66.7,31,14,2
BLOC-0005,20018339,CHU ARILE SOISSONS,Oncologie Chirurgicale,9,85.2,64,25,25
BLOC-0006,50008473,MAISON DES FEMMES 05,Cardiologie Interventionnelle,12,92.3,70,4,14
BLOC-0007,40005456,SAAD ADMR DIGNE-LES-BAINS,Orthopédie & Traumatologie,7,84.1,33,9,7
BLOC-0008,30009484,SARL ADAM - ADHAP,Cardiologie Interventionnelle,9,94.8,110,17,40
BLOC-0009,40780702,EHPAD FERNAND TARDY,Chirurgie Viscérale & Digestive,7,79.0,105,20,8
BLOC-0010,10003804,PHARMACIE ROMAND,Oncologie Chirurgicale,18,72.0,91,27,16
BLOC-0011,30780688,MECS SAINT EXUPERY - SAGESS,Orthopédie & Traumatologie,4,89.2,116,18,36
BLOC-0012,60007093,PHARMACIE DE LA TINEE C. OURMANN,Chirurgie Viscérale & Digestive,6,73.9,119,35,20
BLOC-0013,20012647,FV FONDATION SAVART SAINT-MICHEL,Oncologie Chirurgicale,7,96.7,31,22,29
BLOC-0014,40004764,ASSOCIATION CAVALDONNE,Neurologie & Neurochirurgie,7,82.2,34,30,18
BLOC-0015,60020336,ESAT L'ALMANDIN,Cardiologie Interventionnelle,17,63.9,29,31,21
BLOC-0016,60020138,EHPAD INSTITUT CLAUDE POMPIDOU,Oncologie Chirurgicale,12,60.8,39,33,15
BLOC-0017,10789725,CMP ENFANTS-ADOS OYONNAX,Oncologie Chirurgicale,12,72.7,80,4,19
BLOC-0018,40006017,SAAD CCAS DE SAINT-ETIENNE-LES-ORGUES,Neurologie & Neurochirurgie,5,68.0,113,14,9
BLOC-0019,10787869,CMP ENFANTS-ADO BELLEGARDE,Neurologie & Neurochirurgie,16,66.7,105,13,28
BLOC-0020,60004314,SARL PHARMACIE SEGUY,Chirurgie Viscérale & Digestive,4,89.7,41,35,23
BLOC-0021,20005732,SELARL PHARMACIE DE FLAVY,Neurologie & Neurochirurgie,6,71.4,86,28,17
BLOC-0022,20014437,SAD ADMR CREPY,Oncologie Chirurgicale,16,89.7,63,15,31
BLOC-0023,60021128,RESIDENCE MONEGHETTI,Chirurgie Viscérale & Digestive,18,78.9,50,24,35
BLOC-0024,30002679,SERVICE D'ACCUEIL DE JOUR LATELIER,Orthopédie & Traumatologie,14,91.9,102,31,38
BLOC-0025,50002781,SELARL PHARMACIE DU QUINZE NEUF,Oncologie Chirurgicale,17,64.5,73,9,23
BLOC-0026,50008507,ACCUEIL DE JOUR ITINERANT - VVCS,Chirurgie Viscérale & Digestive,7,78.5,27,5,16
