id_planning,id_finess_etablissement,nom_etablissement,categorie_personnel,effectif_present,effectif_requis_h24,taux_absenteisme_pct,nombre_heures_supplementaires_semaine,statut_garde
PLN-00001,10786010,EHPAD CH BUGEY SUD,Médecins Urgentistes,13,22,40.9,20.9,SOUS_EFFECTIF_SEVERE
PLN-00002,30009237,CMP ADULTES LURCY-LÉVIS,Anesthésistes Réanimateurs,11,17,35.3,15.4,SOUS_EFFECTIF_SEVERE
PLN-00003,70005046,HDJ ADULTE GUILHERAND,Aides-Soignants,8,13,38.5,21.4,SOUS_EFFECTIF_SEVERE
PLN-00004,20004529,HJ EPSMD HIRSON,Anesthésistes Réanimateurs,13,19,31.6,14.5,SOUS_EFFECTIF_SEVERE
PLN-00005,20004990,CENTRE POUR ADOLESCENTS EPSMD AISNE,Aides-Soignants,14,20,30.0,17.2,SOUS_EFFECTIF_SEVERE
PLN-00006,60788957,CHU DE NICE HOPITAL DE CIMIEZ,Anesthésistes Réanimateurs,24,34,29.4,18.2,SOUS_EFFECTIF_SEVERE
PLN-00007,30781637,SERVICE DE PSYCHIATRIE CHATELARD,Médecins Urgentistes,35,43,18.6,13.4,GARDE_CONFORME
PLN-00008,20004529,HJ EPSMD HIRSON,Infirmiers IDE,36,43,16.3,15.0,GARDE_CONFORME
PLN-00009,30000012,CH DE NERIS LES BAINS,Anesthésistes Réanimateurs,38,45,15.6,14.5,GARDE_CONFORME
PLN-00010,20007183,CENTRE BORROMEE EPSM AISNE,Aides-Soignants,11,17,35.3,5.0,SOUS_EFFECTIF_SEVERE
PLN-00011,40005266,IRM GIE IRM 04 SITE CH DIGNE,Médecins Urgentistes,27,31,12.9,9.8,GARDE_CONFORME
PLN-00012,20007183,CENTRE BORROMEE EPSM AISNE,Médecins Urgentistes,34,41,17.1,13.8,GARDE_CONFORME
PLN-00013,20001087,CH HIRSON,Anesthésistes Réanimateurs,20,25,20.0,12.6,GARDE_CONFORME
PLN-00014,40000044,EPS DUCELIA DE CASTELLANE,Médecins Urgentistes,18,23,21.7,7.2,SOUS_EFFECTIF_SEVERE
PLN-00015,20006664,CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN,Infirmiers IDE,7,13,46.2,14.1,SOUS_EFFECTIF_SEVERE
PLN-00016,10000024,CH DE FLEYRIAT,Aides-Soignants,25,43,41.9,18.2,SOUS_EFFECTIF_SEVERE
PLN-00017,60030889,CATTP IJ COEUR DE GRASSE CH CANNES,Médecins Urgentistes,8,10,20.0,5.0,GARDE_CONFORME
PLN-00018,50005271,HJ PSY IJ LES ISLES LARAGNE,Anesthésistes Réanimateurs,20,34,41.2,11.0,SOUS_EFFECTIF_SEVERE
PLN-00019,20005476,USLD CH LAON,Anesthésistes Réanimateurs,24,35,31.4,17.9,SOUS_EFFECTIF_SEVERE
PLN-00020,40005258,IRM GIE IRM 04 SITE CH MANOSQUE,Aides-Soignants,21,22,4.5,6.2,GARDE_CONFORME
PLN-00021,60004918,CHU DE NICE USLD DE TENDE,Médecins Urgentistes,17,20,15.0,13.8,GARDE_CONFORME
PLN-00022,30000087,CH JACQUES LACARIN VICHY,Médecins Urgentistes,36,40,10.0,11.2,GARDE_CONFORME
PLN-00023,50008697,HJ PSY IJ LA DOUCETTE GAP,Anesthésistes Réanimateurs,30,35,14.3,4.9,GARDE_CONFORME
PLN-00024,60793981,CH PLANIFICATION GYN OBS DE GRASSE,Anesthésistes Réanimateurs,32,44,27.3,14.4,SOUS_EFFECTIF_SEVERE
PLN-00025,50000348,CHI DES ALPES DU SUD SITE DE GAP,Anesthésistes Réanimateurs,7,11,36.4,19.0,SOUS_EFFECTIF_SEVERE
PLN-00026,10002129,CLINIQUE LES ARBELLES,Médecins Urgentistes,25,25,0.0,16.7,GARDE_CONFORME
PLN-00027,60016508,CENTRE DE FORMATION DU CHU DE NICE,Anesthésistes Réanimateurs,34,43,20.9,16.0,SOUS_EFFECTIF_SEVERE
PLN-00028,60000411,CH DU PAYS DE LA ROUDOULE PUGET,Anesthésistes Réanimateurs,21,33,36.4,7.5,SOUS_EFFECTIF_SEVERE
PLN-00029,50006105,CH D'EMBRUN SLD,Anesthésistes Réanimateurs,19,33,42.4,17.0,SOUS_EFFECTIF_SEVERE
PLN-00030,70000187,CH DE LAMASTRE,Anesthésistes Réanimateurs,7,10,30.0,7.5,SOUS_EFFECTIF_SEVERE
PLN-00031,60780459,CLINIQUE ORSAC MONTFLEURI,Médecins Urgentistes,16,18,11.1,5.2,GARDE_CONFORME
PLN-00032,20004446,CENTRE DE FORMATION CH LAON,Anesthésistes Réanimateurs,5,9,44.4,8.0,SOUS_EFFECTIF_SEVERE
PLN-00033,30784136,EHPAD DU CH DE BOURBON L'ARCHAMBAULT,Infirmiers IDE,33,45,26.7,20.4,SOUS_EFFECTIF_SEVERE
PLN-00034,40788580,HJ PSY IJ CHATEAU ARNOUX,Médecins Urgentistes,32,45,28.9,13.6,SOUS_EFFECTIF_SEVERE
PLN-00035,20014635,CATTP CH SAINT-QUENTIN GUISE,Anesthésistes Réanimateurs,35,41,14.6,5.0,GARDE_CONFORME
PLN-00036,20001061,CH CHÂTEAU-THIERRY,Infirmiers IDE,27,37,27.0,10.1,SOUS_EFFECTIF_SEVERE
PLN-00037,70000047,CH DE VILLENEUVE DE BERG,Anesthésistes Réanimateurs,33,33,0.0,21.2,GARDE_CONFORME
PLN-00038,60024890,HJ ADULTE SECT2 BOSQUETS CH CANNES,Aides-Soignants,11,17,35.3,4.4,SOUS_EFFECTIF_SEVERE
PLN-00039,20000394,CH LAON,Infirmiers IDE,9,14,35.7,16.7,SOUS_EFFECTIF_SEVERE
PLN-00040,20014502,URCA EPSMD AISNE,Médecins Urgentistes,5,8,37.5,9.4,SOUS_EFFECTIF_SEVERE
