id_medicament,id_finess_etablissement,nom_etablissement,code_cip13,nom_substance_active,quantite_en_stock_doses,jours_autonomie_restants,statut_approvisionnement
MED-00001,20014502,URCA EPSMD AISNE,3400930066666,Cefotaxime 1g Poudre Solution,3288,19,STOCK_CONFORME
MED-00002,20015053,CSAPA - CH DE CHAUNY,3400930099999,Insuline Rapide 100 UI/ml,6696,45,STOCK_CONFORME
MED-00003,10013142,CEGIDD - CH ANNECY GENEVOIS,3400930099999,Insuline Rapide 100 UI/ml,7243,13,STOCK_CONFORME
MED-00004,70000070,CH DU CHEYLARD,3400930088888,Propofol Émulsion IV,2067,10,REAPPROVISIONNEMENT_TENDU
MED-00005,40780470,CLINIQUE TOUTES AURES,3400930012345,Amoxicilline 1g,7961,6,REAPPROVISIONNEMENT_TENDU
MED-00006,60789807,CAMSP CH CANNES,3400930066666,Cefotaxime 1g Poudre Solution,7310,32,STOCK_CONFORME
MED-00007,60024908,HJ ADULTE SECT3 EXTIME CH CANNES,3400930056789,Paracétamol Injectable IV 10mg/ml,3344,39,STOCK_CONFORME
MED-00008,60010899,INSTITUT UNIVERSITAIRE FACE ET COU,3400930012345,Amoxicilline 1g,3219,9,REAPPROVISIONNEMENT_TENDU
MED-00009,10000214,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,3400930077777,Morphine Sulfate 10mg,4654,8,REAPPROVISIONNEMENT_TENDU
MED-00010,40000044,EPS DUCELIA DE CASTELLANE,3400930088888,Propofol Émulsion IV,5222,39,STOCK_CONFORME
MED-00011,60787835,HJ SAINTE AGATHE CHS SAINTE MARIE,3400930099999,Insuline Rapide 100 UI/ml,7639,20,STOCK_CONFORME
MED-00012,60788338,CMP IJ LES 4 COINS CH CANNES,3400930012345,Amoxicilline 1g,4601,12,STOCK_CONFORME
MED-00013,60787587,HJ SAINT MICHEL CHS SAINTE MARIE,3400930088888,Propofol Émulsion IV,6402,18,STOCK_CONFORME
MED-00014,70005202,IFSI-IFAS CH ARDÈCHE NORD,3400930099999,Insuline Rapide 100 UI/ml,6163,19,STOCK_CONFORME
MED-00015,10011575,GIE IMAG MED HB - SITE CH HAUT BUGEY,3400930066666,Cefotaxime 1g Poudre Solution,6971,37,STOCK_CONFORME
MED-00016,70001243,EML SCM SVRV SCAN CLINIQUE PASTEUR,3400930088888,Propofol Émulsion IV,5534,2,RUPTURE_AVEREE_CRITIQUE
MED-00017,40788788,SSIAD DU CH DE RIEZ,3400930099999,Insuline Rapide 100 UI/ml,231,13,STOCK_CONFORME
MED-00018,40788218,HJ YVES ARNOUX MANOSQUE,3400930012345,Amoxicilline 1g,170,36,STOCK_CONFORME
MED-00019,30000087,CH JACQUES LACARIN VICHY,3400930088888,Propofol Émulsion IV,5643,44,STOCK_CONFORME
MED-00020,30782916,IFSI IFAS MARCEL HAY CH MONTLUCON,3400930066666,Cefotaxime 1g Poudre Solution,3989,18,STOCK_CONFORME
MED-00021,10000214,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,3400930088888,Propofol Émulsion IV,6879,18,STOCK_CONFORME
MED-00022,70007398,EML SCM INVRV IRM CLINIQUE PASTEUR,3400930066666,Cefotaxime 1g Poudre Solution,7016,32,STOCK_CONFORME
MED-00023,70005061,HOPITAL DE JOUR ADULTES AUBENAS,3400930012345,Amoxicilline 1g,1471,34,STOCK_CONFORME
MED-00024,60781374,INSTITUT POLYCLINIQUE DE CANNES,3400930088888,Propofol Émulsion IV,2326,10,REAPPROVISIONNEMENT_TENDU
MED-00025,30009237,CMP ADULTES LURCY-LÉVIS,3400930012345,Amoxicilline 1g,3320,34,STOCK_CONFORME
MED-00026,60001625,CENTRE JEAN CHANTON ROQUEBILLIERE,3400930077777,Morphine Sulfate 10mg,2730,6,REAPPROVISIONNEMENT_TENDU
MED-00027,60790862,CLINIQUE LE CALME,3400930088888,Propofol Émulsion IV,97,33,STOCK_CONFORME
