code_barre_ean,nom_produit,marque_entreprise,rayon_categorie,nutri_score,nova_score,additifs_problematiques,alternatives_saines_recommandees,chiffre_affaires_annuel_eur,empreinte_carbone_100g,produit_image_url
8076809513753,PESTO alla GENOVESE,Barilla,Traiteur & Plats Cuisinés,E,4,E250 (Nitrite de sodium),Produit Certifié Bio (Nutri-Score A),17272751.74,0.88,gs://shelfoptimizer-product-images-data-agents/product_images/0082592720153.jpg
8720182556738,Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille,Traiteur & Plats Cuisinés,E,3,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),14637692.52,0.35,gs://shelfoptimizer-product-images-data-agents/product_images/06153153.jpg
8076809523547,PESTO ROSSO,Barilla,Traiteur & Plats Cuisinés,E,4,E250 (Nitrite de sodium),Produit Certifié Bio (Nutri-Score A),4353523.84,0.55,gs://shelfoptimizer-product-images-data-agents/product_images/16756168.jpg
8715700407760,Tomato Ketchup BIO,Heinz,Traiteur & Plats Cuisinés,D,3,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),1061911.24,0.15,gs://shelfoptimizer-product-images-data-agents/product_images/20023751.jpg
3033710084913,Arôme MAGGI - Bouteille 250g,Maggi,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),7814023.98,0.87,gs://shelfoptimizer-product-images-data-agents/product_images/3033710084913.jpg
3292070005161,Houmous extra - Pois chiches français & graines de sésame,L'atelier Blini,Traiteur & Plats Cuisinés,C,3,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),18254529.2,0.3,gs://shelfoptimizer-product-images-data-agents/product_images/3292070005161.jpg
3038354199603,Panzani sauce pesto basilic 200g,Panzani,Traiteur & Plats Cuisinés,E,4,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),3451692.51,0.46,gs://shelfoptimizer-product-images-data-agents/product_images/3038354199603.jpg
8720182460721,Amora Moutarde Forte Verre 430g,Amora,Traiteur & Plats Cuisinés,E,3,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),12145365.89,0.34,gs://shelfoptimizer-product-images-data-agents/product_images/20177218.jpg
87157215,Tomato Ketchup,Heinz,Traiteur & Plats Cuisinés,D,3,E250 (Nitrite de sodium),Produit Certifié Bio (Nutri-Score A),11247937.89,0.54,gs://shelfoptimizer-product-images-data-agents/product_images/20180379.jpg
8715700423913,Tomato ketchup,Heinz,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),8632190.05,0.48,gs://shelfoptimizer-product-images-data-agents/product_images/20198107.jpg
8710522922019,Ketchup 5 Ingrédients,Amora,Traiteur & Plats Cuisinés,C,3,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),1843776.3,0.39,gs://shelfoptimizer-product-images-data-agents/product_images/20468583.jpg
3011360030498,Mayonnaise Classique à l'huile de colza,Lesieur,Traiteur & Plats Cuisinés,D,4,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),10155900.3,0.31,gs://shelfoptimizer-product-images-data-agents/product_images/3011360030498.jpg
8076809513722,Basilico,BARILLA,Traiteur & Plats Cuisinés,A,4,Aucun additif à risque,Produit Conforme,3560840.9,0.89,gs://shelfoptimizer-product-images-data-agents/product_images/20543167.jpg
8076809545396,Pesto Basilico con Rucula,Barilla,Traiteur & Plats Cuisinés,E,4,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),7646900.38,0.34,gs://shelfoptimizer-product-images-data-agents/product_images/20616489.jpg
8712100731822,Amora Spécialité à la Moutarde de Dijon aux Épices Savora Bocal 385g,Amora,Traiteur & Plats Cuisinés,E,3,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),5135147.07,0.45,gs://shelfoptimizer-product-images-data-agents/product_images/20622381.jpg
8715700421353,Tomato ketchup,Heinz,Traiteur & Plats Cuisinés,D,3,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),3177430.61,0.68,gs://shelfoptimizer-product-images-data-agents/product_images/20638757.jpg
8711200548002,Amora Mayonnaise de Dijon Flacon Souple 415g,Amora,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),17155819.62,0.89,gs://shelfoptimizer-product-images-data-agents/product_images/20665241.jpg
8712100751370,Amora Ketchup Flacon Souple Tête en bas 550g,Amora,Traiteur & Plats Cuisinés,D,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),13620178.14,0.65,gs://shelfoptimizer-product-images-data-agents/product_images/20681937.jpg
8720182557315,Maille Moutarde Fins Gourmets Bocal 320g,MAILLE,Traiteur & Plats Cuisinés,E,4,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),11526841.06,0.34,gs://shelfoptimizer-product-images-data-agents/product_images/20703622.jpg
8718114734484,Maille Mayonnaise,Maille,Traiteur & Plats Cuisinés,D,3,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),6241852.15,0.48,gs://shelfoptimizer-product-images-data-agents/product_images/20713713.jpg
3292070001576,Houmous sésame,Blini,Traiteur & Plats Cuisinés,B,3,Aucun additif à risque,Produit Conforme,5295831.27,0.75,gs://shelfoptimizer-product-images-data-agents/product_images/3292070001576.jpg
8711200584383,Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl,Maille,Traiteur & Plats Cuisinés,D,3,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),1147891.98,0.57,gs://shelfoptimizer-product-images-data-agents/product_images/20995744.jpg
8720182557452,Moutarde à l’ancienne,Maille,Traiteur & Plats Cuisinés,E,4,E250 (Nitrite de sodium),Produit Certifié Bio (Nutri-Score A),7390364.93,0.73,gs://shelfoptimizer-product-images-data-agents/product_images/30000117.jpg
8715700112596,"Ketchup zéro sel ajouré, 70% moins de sucres",Heinz,Traiteur & Plats Cuisinés,A,4,Aucun additif à risque,Produit Conforme,5841099.71,0.49,gs://shelfoptimizer-product-images-data-agents/product_images/3011360030498.jpg
8076809543934,Provencale 400g fra,Barilla,Traiteur & Plats Cuisinés,A,3,Aucun additif à risque,Produit Conforme,9657873.96,0.1,gs://shelfoptimizer-product-images-data-agents/product_images/3017760000062.jpg
8722700113348,Amora,Amora,Traiteur & Plats Cuisinés,D,4,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),1110969.53,0.13,gs://shelfoptimizer-product-images-data-agents/product_images/3017760030106.jpg
3250541920139,MAILLE Mayonnaise Fins Gourmets Bocal 320g,Maille,Traiteur & Plats Cuisinés,E,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),1931494.33,0.5,gs://shelfoptimizer-product-images-data-agents/product_images/3250541920139.jpg
8076809513388,Arrabbiata,Barilla,Traiteur & Plats Cuisinés,A,4,Aucun additif à risque,Produit Conforme,4990475.27,0.27,gs://shelfoptimizer-product-images-data-agents/product_images/3017760819121.jpg
3038359004544,Sauce Tomate concentrée cuisinée aux petits légumes,Panzani,Traiteur & Plats Cuisinés,D,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),14339198.2,0.42,gs://shelfoptimizer-product-images-data-agents/product_images/3038359004544.jpg
8710522920725,Amora Mayonnaise 5 Ingrédients 400g,Amora,Traiteur & Plats Cuisinés,C,2,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),6736008.3,0.09,gs://shelfoptimizer-product-images-data-agents/product_images/3017800008898.jpg
8720182460042,Amora Moutarde Mi-Forte Bocal 415g,Amora,Traiteur & Plats Cuisinés,E,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),943399.98,0.46,gs://shelfoptimizer-product-images-data-agents/product_images/3017800008959.jpg
3038352875035,Tomacouli Nature,Panzani,Traiteur & Plats Cuisinés,A,3,Aucun additif à risque,Produit Conforme,777176.24,0.21,gs://shelfoptimizer-product-images-data-agents/product_images/3038352875035.jpg
8714100846179,Maille Vinaigrette Légère Vinaigre de Vin Rouge & Échalotes 360ml,Maille,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),10758273.43,0.3,gs://shelfoptimizer-product-images-data-agents/product_images/3017800078860.jpg
3660603004774,Sauce Béarnaise bocal,Bénédicta,Traiteur & Plats Cuisinés,D,4,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),11589618.46,0.76,gs://shelfoptimizer-product-images-data-agents/product_images/3017800207901.jpg
8711200547982,Mayonnaise de Dijon,Amora,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),2420365.39,0.76,gs://shelfoptimizer-product-images-data-agents/product_images/3017800509937.jpg
87157635,Tomato Ketchup,Heinz,Traiteur & Plats Cuisinés,D,3,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),524604.27,0.86,gs://shelfoptimizer-product-images-data-agents/product_images/3017800509968.jpg
8711200548033,Amora Mayonnaise de Dijon® Flacon Souple 235g,Amora,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),1888181.54,0.32,gs://shelfoptimizer-product-images-data-agents/product_images/3017800509999.jpg
3292070006564,Guacamole Extra,L'atelier Blini,Traiteur & Plats Cuisinés,A,4,Aucun additif à risque,Produit Conforme,15062557.74,0.42,gs://shelfoptimizer-product-images-data-agents/product_images/3292070006564.jpg
3038359011450,Panzani sce provencale 425g,Panzani,Traiteur & Plats Cuisinés,A,4,Aucun additif à risque,Produit Conforme,357581.06,0.09,gs://shelfoptimizer-product-images-data-agents/product_images/3038359011450.jpg
3292070006571,Houmous extra citron confit & coriandre,L'atelier Blini,Traiteur & Plats Cuisinés,B,4,Aucun additif à risque,Produit Conforme,3813969.2,0.1,gs://shelfoptimizer-product-images-data-agents/product_images/3292070006571.jpg
8715700421957,Mayonnaise American Style,Heinz,Traiteur & Plats Cuisinés,C,2,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),1028350.34,0.45,gs://shelfoptimizer-product-images-data-agents/product_images/3019081238667.jpg
3660603081904,Mayonnaise comme à la maison,Bénédicta,Traiteur & Plats Cuisinés,C,2,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),4062119.88,0.36,gs://shelfoptimizer-product-images-data-agents/product_images/3019081238698.jpg
3034450001123,Viandox 160ml,Konrad,Traiteur & Plats Cuisinés,E,4,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),3477594.3,0.21,gs://shelfoptimizer-product-images-data-agents/product_images/3034450001123.jpg
8711200459926,Amora Sauce Crudites Nature,Amora,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),9847763.45,0.32,gs://shelfoptimizer-product-images-data-agents/product_images/3019081238728.jpg
8076809570596,Barilla sauce tomates cuisinees 400g,Barilla,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),5161366.1,0.18,gs://shelfoptimizer-product-images-data-agents/product_images/3019081239237.jpg
8712100872273,Maille Moutarde Fine de Dijon Verrine 165g,Maille,Traiteur & Plats Cuisinés,B,3,Aucun additif à risque,Produit Conforme,13090514.81,0.75,gs://shelfoptimizer-product-images-data-agents/product_images/3019081239626.jpg
3478820023641,Sauce tomate Basilic Jardin BIO,Jardin Bio,Traiteur & Plats Cuisinés,B,3,Aucun additif à risque,Produit Conforme,9676107.83,0.94,gs://shelfoptimizer-product-images-data-agents/product_images/3478820023641.jpg
8722700125174,Amora Sauce Burger 260g,Amora,Traiteur & Plats Cuisinés,D,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),3806369.12,0.85,gs://shelfoptimizer-product-images-data-agents/product_images/3019081239862.jpg
3292070008551,Houmous bio,L'atelier Blini,Traiteur & Plats Cuisinés,C,3,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),7790873.25,0.94,gs://shelfoptimizer-product-images-data-agents/product_images/3292070008551.jpg
8001060001329,Sauce Arrabiata,Saclà,Traiteur & Plats Cuisinés,D,4,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),841368.34,0.7,gs://shelfoptimizer-product-images-data-agents/product_images/3019081241216.jpg
3760077538482,Pesto alla Genovese,Florelli,Traiteur & Plats Cuisinés,E,3,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),1676676.93,0.59,gs://shelfoptimizer-product-images-data-agents/product_images/3019081241230.jpg
8410076421449,Sauce apéritif Guacamole,Old El Paso,Traiteur & Plats Cuisinés,B,4,Aucun additif à risque,Produit Conforme,208038.1,0.18,gs://shelfoptimizer-product-images-data-agents/product_images/3019081241582.jpg
3660603081843,Mayonnaise,Bénédicta,Traiteur & Plats Cuisinés,C,4,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),624537.96,0.67,gs://shelfoptimizer-product-images-data-agents/product_images/3019081241599.jpg
3038359011481,Sauce basilic aux tomates fraîches de saison,Panzani,Traiteur & Plats Cuisinés,A,4,Aucun additif à risque,Produit Conforme,9028275.29,0.71,gs://shelfoptimizer-product-images-data-agents/product_images/3038359011481.jpg
8076809517751,Pesto alla Calabrese 190g,Barilla,Traiteur & Plats Cuisinés,E,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),5171706.64,0.48,gs://shelfoptimizer-product-images-data-agents/product_images/3021690017304.jpg
3265479724001,Vinaigrette Balsamique Ciboulette - Echalotes,Puget,Traiteur & Plats Cuisinés,D,4,E250 (Nitrite de sodium),Produit Certifié Bio (Nutri-Score A),5593951.46,0.88,gs://shelfoptimizer-product-images-data-agents/product_images/3265479724001.jpg
3560071010522,Houmous,Carrefour Extra,Traiteur & Plats Cuisinés,C,3,Aucun additif à risque,Produit Certifié Bio (Nutri-Score A),12222929.92,0.79,gs://shelfoptimizer-product-images-data-agents/product_images/3560071010522.jpg
87157277,Tomato Ketchup 910g,Heinz,Traiteur & Plats Cuisinés,D,3,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),784416.39,0.71,gs://shelfoptimizer-product-images-data-agents/product_images/3023260030928.jpg
3478822005249,Ketchup,Jardin bio,Traiteur & Plats Cuisinés,D,3,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),1918375.23,0.76,gs://shelfoptimizer-product-images-data-agents/product_images/3478822005249.jpg
8001060042308,Pesto alla genovese,Saclà,Traiteur & Plats Cuisinés,E,4,E150d (Caramel au sulfite d'ammoniaque),Produit Certifié Bio (Nutri-Score A),10624798.58,0.73,gs://shelfoptimizer-product-images-data-agents/product_images/3023290030585.jpg
8720182461247,Amora Moutarde Forte 185g,Amora,Traiteur & Plats Cuisinés,E,3,E471 (Mono- et diglycérides d'acides gras),Produit Certifié Bio (Nutri-Score A),6888970.79,0.76,gs://shelfoptimizer-product-images-data-agents/product_images/3023290030608.jpg
3700935390135,Pesto verde,Garofalo,Traiteur & Plats Cuisinés,E,4,E330 (Acide citrique),Produit Certifié Bio (Nutri-Score A),15588979.98,0.79,gs://shelfoptimizer-product-images-data-agents/product_images/3023290035801.jpg
