id_releve_lineaire,id_magasin,code_barre_ean,rayon_categorie,nombre_facings_theorique,nombre_facings_constate,taux_conformite_planogramme_pct,taux_rupture_lineaire_pct,statut_stock_lineaire
LIN-00001,MAG-0135,336872917804,Boulangerie & Pâtisserie,13,12,92.3,7.7,CONFORME
LIN-00002,MAG-0060,326530484594,Boissons & Jus,11,2,18.2,81.8,STOCK_FAIBLE
LIN-00003,MAG-0072,312495427348,Boulangerie & Pâtisserie,16,9,56.2,43.8,CONFORME
LIN-00004,MAG-0119,343985918481,Produits Frais,11,2,18.2,81.8,STOCK_FAIBLE
LIN-00005,MAG-0134,381541084950,Épicerie Sucrée,18,17,94.4,5.6,CONFORME
LIN-00006,MAG-0101,350190330254,Boulangerie & Pâtisserie,6,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00007,MAG-0111,385881905597,Produits Frais,6,4,66.7,33.3,CONFORME
LIN-00008,MAG-0029,316437221670,Épicerie Salée,17,15,88.2,11.8,CONFORME
LIN-00009,MAG-0016,352703424834,Boulangerie & Pâtisserie,15,7,46.7,53.3,STOCK_FAIBLE
LIN-00010,MAG-0097,366101664531,Traiteur & Plats Cuisinés,15,9,60.0,40.0,CONFORME
LIN-00011,MAG-0070,310667733912,Produits Frais,10,2,20.0,80.0,STOCK_FAIBLE
LIN-00012,MAG-0103,349005460460,Épicerie Salée,13,4,30.8,69.2,STOCK_FAIBLE
LIN-00013,MAG-0045,340432920998,Boulangerie & Pâtisserie,8,3,37.5,62.5,STOCK_FAIBLE
LIN-00014,MAG-0139,383321397424,Épicerie Salée,17,9,52.9,47.1,CONFORME
LIN-00015,MAG-0012,342909615498,Traiteur & Plats Cuisinés,21,12,57.1,42.9,CONFORME
LIN-00016,MAG-0034,335056866651,Épicerie Salée,11,7,63.6,36.4,CONFORME
LIN-00017,MAG-0015,336155928307,Boissons & Jus,19,19,100.0,0.0,CONFORME
LIN-00018,MAG-0144,342355425627,Traiteur & Plats Cuisinés,9,4,44.4,55.6,STOCK_FAIBLE
LIN-00019,MAG-0078,381471451084,Produits Frais,7,2,28.6,71.4,STOCK_FAIBLE
