id_magasin,nom_magasin,enseigne,commune,code_departement,nom_region,tranche_horaire,affluence_clients_jour,taux_conversion_passage_caisses_pct,demarque_pertes_produits_frais_14j_eur,consigne_reassort_automatique
MAG-0001,Intermarché Lille #1,Intermarché,Lille,59 - Nord,Hauts-de-France,08h-11h,480,68.7,10751.55,CONFORME
MAG-0001,Intermarché Lille #1,Intermarché,Lille,59 - Nord,Hauts-de-France,11h-14h,2581,63.3,9979.33,CONFORME
MAG-0001,Intermarché Lille #1,Intermarché,Lille,59 - Nord,Hauts-de-France,14h-17h,2368,77.7,3939.51,CONFORME
MAG-0001,Intermarché Lille #1,Intermarché,Lille,59 - Nord,Hauts-de-France,17h-20h,680,68.2,6823.6,CONFORME
MAG-0002,Carrefour Hyper Bordeaux #2,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,08h-11h,783,63.8,15507.36,REASSORT_URGENT_AUTOMATIQUE
MAG-0002,Carrefour Hyper Bordeaux #2,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,11h-14h,1796,81.7,16710.69,REASSORT_URGENT_AUTOMATIQUE
MAG-0002,Carrefour Hyper Bordeaux #2,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,14h-17h,2113,83.0,9610.26,CONFORME
MAG-0002,Carrefour Hyper Bordeaux #2,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,17h-20h,496,88.5,12392.32,REASSORT_URGENT_AUTOMATIQUE
MAG-0003,Monoprix Lyon #3,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,08h-11h,1951,64.4,11684.13,CONFORME
MAG-0003,Monoprix Lyon #3,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,11h-14h,525,77.3,13523.88,REASSORT_URGENT_AUTOMATIQUE
MAG-0003,Monoprix Lyon #3,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14h-17h,1379,86.8,13089.92,REASSORT_URGENT_AUTOMATIQUE
MAG-0003,Monoprix Lyon #3,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,17h-20h,2457,79.0,9333.01,CONFORME
MAG-0004,E.Leclerc Nantes #4,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,08h-11h,1962,63.0,14165.86,REASSORT_URGENT_AUTOMATIQUE
MAG-0004,E.Leclerc Nantes #4,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,11h-14h,2397,73.8,13342.28,REASSORT_URGENT_AUTOMATIQUE
MAG-0004,E.Leclerc Nantes #4,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,14h-17h,2107,78.6,7010.4,CONFORME
MAG-0004,E.Leclerc Nantes #4,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,17h-20h,1057,78.5,8969.78,CONFORME
MAG-0005,Intermarché Toulouse #5,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,08h-11h,1559,65.0,8820.05,CONFORME
MAG-0005,Intermarché Toulouse #5,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,11h-14h,2045,73.3,1700.12,CONFORME
MAG-0005,Intermarché Toulouse #5,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,14h-17h,1494,80.2,17214.73,REASSORT_URGENT_AUTOMATIQUE
MAG-0005,Intermarché Toulouse #5,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,17h-20h,2704,83.9,12126.95,REASSORT_URGENT_AUTOMATIQUE
MAG-0006,Monoprix Paris #6,Monoprix,Paris,75 - Paris,Île-de-France,08h-11h,528,80.0,7453.57,CONFORME
MAG-0006,Monoprix Paris #6,Monoprix,Paris,75 - Paris,Île-de-France,11h-14h,1163,83.0,13961.95,REASSORT_URGENT_AUTOMATIQUE
MAG-0006,Monoprix Paris #6,Monoprix,Paris,75 - Paris,Île-de-France,14h-17h,479,64.3,11623.09,CONFORME
MAG-0006,Monoprix Paris #6,Monoprix,Paris,75 - Paris,Île-de-France,17h-20h,1532,74.7,11982.14,CONFORME
MAG-0007,Auchan Super Toulouse #7,Auchan Super,Toulouse,31 - Haute-Garonne,Occitanie,08h-11h,2749,62.7,6232.41,CONFORME
MAG-0007,Auchan Super Toulouse #7,Auchan Super,Toulouse,31 - Haute-Garonne,Occitanie,11h-14h,710,73.4,4438.32,CONFORME
MAG-0007,Auchan Super Toulouse #7,Auchan Super,Toulouse,31 - Haute-Garonne,Occitanie,14h-17h,2105,79.8,7266.96,CONFORME
MAG-0007,Auchan Super Toulouse #7,Auchan Super,Toulouse,31 - Haute-Garonne,Occitanie,17h-20h,2069,76.7,5610.58,CONFORME
MAG-0008,Intermarché Rennes #8,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,08h-11h,1012,65.8,3791.76,CONFORME
MAG-0008,Intermarché Rennes #8,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,11h-14h,2527,68.0,7893.52,CONFORME
MAG-0008,Intermarché Rennes #8,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,14h-17h,2451,86.5,18326.09,REASSORT_URGENT_AUTOMATIQUE
MAG-0008,Intermarché Rennes #8,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,17h-20h,520,86.1,13506.94,REASSORT_URGENT_AUTOMATIQUE
MAG-0009,Intermarché Toulouse #9,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,08h-11h,2369,81.6,17122.32,REASSORT_URGENT_AUTOMATIQUE
MAG-0009,Intermarché Toulouse #9,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,11h-14h,2124,86.9,5655.16,CONFORME
