id_releve_panier,commune,code_departement,nom_region,rayon_categorie,prix_moyen_panier_eur,marge_brute_pct,part_produits_bio_pct,part_marques_distributeur_pct
PAN-00001,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,78.48,26.9,14.6,29.7
PAN-00002,Toulouse,31 - Haute-Garonne,Occitanie,Surgelés,85.49,22.3,34.4,36.1
PAN-00003,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,71.36,41.7,34.1,29.0
PAN-00004,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boissons,44.16,28.3,13.4,29.6
PAN-00005,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Épicerie,49.9,43.5,36.9,28.8
PAN-00006,Strasbourg,67 - Bas-Rhin,Grand Est,Boissons,85.71,27.7,30.7,47.1
PAN-00007,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,61.95,42.8,27.8,42.2
PAN-00008,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,57.18,40.7,34.5,47.2
PAN-00009,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,63.66,23.3,37.1,36.2
PAN-00010,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,37.93,44.3,28.6,36.9
PAN-00011,Toulouse,31 - Haute-Garonne,Occitanie,Boissons,66.11,44.1,27.5,34.1
PAN-00012,Nantes,44 - Loire-Atlantique,Pays de la Loire,Boissons,43.03,32.3,29.6,43.4
PAN-00013,Lille,59 - Nord,Hauts-de-France,Boulangerie,50.41,37.4,26.3,44.9
PAN-00014,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Frais,91.33,42.5,19.3,35.5
PAN-00015,Toulouse,31 - Haute-Garonne,Occitanie,Surgelés,70.01,47.1,17.1,50.2
PAN-00016,Paris,75 - Paris,Île-de-France,Boissons,47.31,43.9,14.4,34.9
PAN-00017,Paris,75 - Paris,Île-de-France,Surgelés,37.09,45.7,19.9,35.0
PAN-00018,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Laitiers,93.93,42.8,23.1,39.3
PAN-00019,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,65.04,27.9,28.1,44.5
PAN-00020,Toulouse,31 - Haute-Garonne,Occitanie,Boissons,68.42,31.4,15.4,54.6
PAN-00021,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,78.3,38.9,26.6,25.2
PAN-00022,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,54.81,27.8,32.0,31.8
PAN-00023,Lille,59 - Nord,Hauts-de-France,Boulangerie,61.61,28.5,37.2,34.2
PAN-00024,Rennes,35 - Ille-et-Vilaine,Bretagne,Surgelés,49.1,39.9,16.7,41.9
PAN-00025,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boissons,52.09,28.0,14.0,32.1
PAN-00026,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,70.38,47.6,20.7,38.4
PAN-00027,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,35.26,45.6,24.6,41.1
PAN-00028,Strasbourg,67 - Bas-Rhin,Grand Est,Épicerie,83.57,39.9,36.3,39.1
PAN-00029,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,76.25,39.7,29.1,49.9
PAN-00030,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boissons,36.98,44.0,24.9,28.3
PAN-00031,Lille,59 - Nord,Hauts-de-France,Surgelés,93.64,29.8,25.9,37.3
PAN-00032,Strasbourg,67 - Bas-Rhin,Grand Est,Surgelés,88.49,41.4,28.6,31.6
PAN-00033,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Épicerie,63.29,28.1,30.5,35.5
PAN-00034,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,51.22,28.2,27.6,28.4
PAN-00035,Toulouse,31 - Haute-Garonne,Occitanie,Produits Laitiers,78.05,40.2,32.3,31.8
PAN-00036,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,65.77,35.6,35.4,40.9
PAN-00037,Toulouse,31 - Haute-Garonne,Occitanie,Boissons,46.94,47.6,21.9,48.3
PAN-00038,Paris,75 - Paris,Île-de-France,Produits Frais,53.0,32.2,27.8,53.0
PAN-00039,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,87.63,22.9,19.2,40.8
PAN-00040,Lille,59 - Nord,Hauts-de-France,Produits Frais,80.2,44.8,13.3,46.2
PAN-00041,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Surgelés,57.05,24.1,29.5,30.2
PAN-00042,Strasbourg,67 - Bas-Rhin,Grand Est,Épicerie,47.3,38.3,35.8,35.0
PAN-00043,Paris,75 - Paris,Île-de-France,Surgelés,36.53,42.0,30.9,43.9
PAN-00044,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,37.05,29.6,17.0,49.8
PAN-00045,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Produits Laitiers,78.06,31.1,37.8,48.5
PAN-00046,Lille,59 - Nord,Hauts-de-France,Produits Laitiers,33.39,48.4,23.1,41.8
PAN-00047,Nantes,44 - Loire-Atlantique,Pays de la Loire,Épicerie,60.06,37.8,16.9,52.4
PAN-00048,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,92.2,39.8,26.6,32.4
PAN-00049,Lille,59 - Nord,Hauts-de-France,Épicerie,55.17,42.0,12.1,51.5
PAN-00050,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boulangerie,56.02,48.3,27.7,26.6
PAN-00051,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Surgelés,88.44,22.5,20.5,51.4
PAN-00052,Rennes,35 - Ille-et-Vilaine,Bretagne,Boissons,65.14,47.5,30.9,41.3
PAN-00053,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Frais,53.13,31.7,33.9,32.2
PAN-00054,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boissons,47.34,47.9,19.4,39.1
PAN-00055,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,39.37,30.3,13.9,43.4
PAN-00056,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Laitiers,35.19,24.2,33.6,26.9
PAN-00057,Rennes,35 - Ille-et-Vilaine,Bretagne,Produits Frais,76.23,36.1,26.0,48.5
PAN-00058,Lille,59 - Nord,Hauts-de-France,Épicerie,34.1,33.5,25.3,54.0
PAN-00059,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boulangerie,39.91,33.9,17.8,48.2
PAN-00060,Toulouse,31 - Haute-Garonne,Occitanie,Produits Frais,56.09,23.2,26.6,38.7
PAN-00061,Nantes,44 - Loire-Atlantique,Pays de la Loire,Épicerie,76.38,45.7,20.5,28.2
PAN-00062,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Surgelés,39.53,47.8,37.8,53.7
PAN-00063,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,64.28,38.1,17.6,29.8
PAN-00064,Lille,59 - Nord,Hauts-de-France,Surgelés,59.77,31.5,24.0,50.6
PAN-00065,Nantes,44 - Loire-Atlantique,Pays de la Loire,Épicerie,75.06,25.1,15.6,45.4
PAN-00066,Toulouse,31 - Haute-Garonne,Occitanie,Boulangerie,70.32,44.4,18.1,34.3
PAN-00067,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boissons,47.69,43.8,21.4,32.0
PAN-00068,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Frais,73.26,43.3,37.4,41.0
PAN-00069,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,30.25,44.2,23.1,29.0
PAN-00070,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Frais,41.09,32.5,30.0,39.5
PAN-00071,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,30.12,38.4,23.7,46.9
