aide_id,demandeur_id,siret,nom_aide_dispositif,montant_aide_accordee_eur,date_debut_aide,date_expiration_aide,statut_aide,organisme_financeur
AIDE-ANNA-001,FT-99720068,33790000000055,POEI (Préparation Opérationnelle à l'Emploi Individuelle - Supply Chain),4500.0,2025-03-01,2025-05-31,Accordée,France Travail
AIDE-ANNA-002,FT-99720068,33790000000055,PMSMP (Immersion en Entreprise 15j - Logistique Verte),0.0,2025-06-01,2025-06-15,Clôturée,France Travail
AIDE-ANNA-003,FT-99720068,33790000000055,Compte Personnel de Formation (CPF Co-financé ERP SAP),2200.0,2025-04-01,2025-04-30,Clôturée,Région
AIDE-00004,DEM-0331,46267069942533,AFPR (Action de Formation Préalable à l'Emploi),8235.78,2025-03-05,2025-12-24,Clôturée,Opco AKTO
AIDE-00005,DEM-0193,48475239958858,AFPR (Action de Formation Préalable à l'Emploi),2958.46,2025-05-08,2026-04-01,Accordée,France Travail
AIDE-00006,DEM-0473,48042300346446,POEI (Préparation Opérationnelle à l'Emploi Individuelle),2235.62,2025-01-20,2025-07-02,Accordée,Région
AIDE-00007,DEM-0391,48035109802843,PMSMP (Immersion en Entreprise 15j),2927.62,2025-04-03,2025-12-15,Accordée,Opco AKTO
AIDE-00008,DEM-0202,42055680923966,AFPR (Action de Formation Préalable à l'Emploi),8782.14,2025-05-12,2026-05-09,Clôturée,France Travail
AIDE-00009,DEM-0281,45869953283312,Compte Personnel de Formation (CPF Co-financé),7558.76,2025-03-03,2025-10-09,Clôturée,Opco AKTO
AIDE-00010,DEM-0398,43425556450676,Compte Personnel de Formation (CPF Co-financé),13877.92,2025-04-07,2026-02-04,Clôturée,France Travail
AIDE-00011,DEM-0411,46850611971983,PMSMP (Immersion en Entreprise 15j),3960.47,2025-03-30,2025-05-31,Accordée,Opco AKTO
AIDE-00012,DEM-0219,45690512786009,Compte Personnel de Formation (CPF Co-financé),10779.81,2025-04-05,2025-09-16,Accordée,Opco Atlas
AIDE-00013,DEM-0057,45575416269760,POEI (Préparation Opérationnelle à l'Emploi Individuelle),11834.51,2025-03-08,2025-09-28,Clôturée,Agefiph
AIDE-00014,DEM-0065,44650632927450,Aid'Emploi ZFU / QPV Recrutement,6660.11,2025-04-16,2026-01-01,Accordée,Région
AIDE-00015,DEM-0400,46029203688087,Prime Reprise d'Activité AGEFIPH (Handicap),5792.01,2025-03-20,2025-05-21,Clôturée,Opco Atlas
AIDE-00016,DEM-0030,47382940217249,Compte Personnel de Formation (CPF Co-financé),1673.66,2025-03-05,2025-07-05,En cours de versement,Opco Atlas
AIDE-00017,DEM-0190,44840652770416,PMSMP (Immersion en Entreprise 15j),12865.81,2025-03-28,2025-07-03,En cours de versement,Opco AKTO
AIDE-00018,DEM-0183,44745482780571,PMSMP (Immersion en Entreprise 15j),3914.24,2025-05-12,2025-10-26,Accordée,Opco Atlas
AIDE-00019,DEM-0050,44879832727658,Aid'Emploi ZFU / QPV Recrutement,11245.58,2025-03-18,2025-12-18,Clôturée,Opco Atlas
AIDE-00020,DEM-0478,43986611905486,Aid'Emploi ZFU / QPV Recrutement,9237.87,2025-01-31,2025-11-16,Clôturée,Région
AIDE-00021,DEM-0173,45739641109171,PMSMP (Immersion en Entreprise 15j),5120.4,2025-04-23,2025-08-10,Clôturée,France Travail
AIDE-00022,DEM-0104,44011171558018,Aid'Emploi ZFU / QPV Recrutement,9950.31,2025-02-07,2025-06-05,Clôturée,Opco Atlas
AIDE-00023,DEM-0311,49203001226739,Compte Personnel de Formation (CPF Co-financé),14095.05,2025-03-25,2025-11-24,Accordée,Région
AIDE-00024,DEM-0321,48670053019318,Prime Reprise d'Activité AGEFIPH (Handicap),3386.47,2025-01-20,2025-12-02,Clôturée,Agefiph
AIDE-00025,DEM-0468,43970707582807,Aid'Emploi ZFU / QPV Recrutement,3561.64,2025-03-28,2025-07-24,Accordée,Opco AKTO
AIDE-00026,DEM-0230,47874407160229,Prime Reprise d'Activité AGEFIPH (Handicap),6354.77,2025-01-21,2025-04-05,Accordée,Opco AKTO
AIDE-00027,DEM-0423,41577309343900,Compte Personnel de Formation (CPF Co-financé),2235.56,2025-03-11,2025-06-10,En cours de versement,France Travail
AIDE-00028,DEM-0489,48972156242394,Prime Reprise d'Activité AGEFIPH (Handicap),4806.5,2025-01-21,2025-10-05,Accordée,Agefiph
AIDE-00029,DEM-0357,45465097466840,POEI (Préparation Opérationnelle à l'Emploi Individuelle),9458.82,2025-03-05,2025-12-04,Clôturée,Agefiph
AIDE-00030,DEM-0153,42709842482130,Prime Reprise d'Activité AGEFIPH (Handicap),12716.84,2025-05-07,2025-09-15,Accordée,Opco Atlas
AIDE-00031,DEM-0183,46562031827882,Prime Reprise d'Activité AGEFIPH (Handicap),13831.24,2025-05-11,2025-10-26,En cours de versement,France Travail
AIDE-00032,DEM-0003,47357170850488,PMSMP (Immersion en Entreprise 15j),11098.9,2025-03-29,2025-08-23,Clôturée,France Travail
AIDE-00033,DEM-0245,49146339960638,Prime Reprise d'Activité AGEFIPH (Handicap),5219.1,2025-02-11,2025-06-04,Clôturée,Opco Atlas
AIDE-00034,DEM-0339,49556407018773,Compte Personnel de Formation (CPF Co-financé),13913.13,2025-01-25,2025-09-28,En cours de versement,Opco Atlas
AIDE-00035,DEM-0167,48577031299280,Compte Personnel de Formation (CPF Co-financé),6841.02,2025-03-13,2026-02-15,Accordée,Région
AIDE-00036,DEM-0348,45451872813393,Aid'Emploi ZFU / QPV Recrutement,12767.5,2025-01-31,2025-07-17,Accordée,Opco Atlas
AIDE-00037,DEM-0283,46900911794356,Aid'Emploi ZFU / QPV Recrutement,4833.79,2025-01-27,2025-12-24,Accordée,Opco Atlas
AIDE-00038,DEM-0031,44221067953434,POEI (Préparation Opérationnelle à l'Emploi Individuelle),6406.01,2025-02-09,2025-09-08,En cours de versement,Région
AIDE-00039,DEM-0060,49192014006670,PMSMP (Immersion en Entreprise 15j),3530.51,2025-03-30,2025-09-18,Clôturée,Opco AKTO
AIDE-00040,DEM-0168,47127118167588,Prime Reprise d'Activité AGEFIPH (Handicap),5480.41,2025-05-13,2025-11-18,Clôturée,Région
AIDE-00041,DEM-0281,43498101430953,Compte Personnel de Formation (CPF Co-financé),8211.73,2025-02-26,2026-01-02,En cours de versement,Opco AKTO
AIDE-00042,DEM-0247,41763834596112,Aid'Emploi ZFU / QPV Recrutement,1666.02,2025-02-11,2025-04-18,Accordée,Opco AKTO
AIDE-00043,DEM-0491,43641583102919,PMSMP (Immersion en Entreprise 15j),2484.04,2025-03-03,2025-11-07,Clôturée,France Travail
AIDE-00044,DEM-0032,49632162180688,Compte Personnel de Formation (CPF Co-financé),6460.43,2025-03-14,2025-05-17,Accordée,Agefiph
