code_rome,intitule_rome_appellation,grand_domaine_code,grand_domaine_libelle,domaine_prof_code,domaine_prof_libelle,code_ogr
M1801,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A,"Agriculture et Pêche, Espaces naturels et Espaces verts",M18,Domaine M18,
M1801,Engins agricoles et forestiers,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,
A1101,Conducteur / Conductrice d'engins agricoles,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,6
A1101,Chauffeur / Chauffeuse de machines agricoles,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,11987
A1101,Conducteur / Conductrice d'automoteur de récolte,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,38874
A1101,Conducteur / Conductrice d'engins agricoles,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,404030
A1101,Conducteur / Conductrice d'engins d'exploitation agricole,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13254
A1101,Conducteur / Conductrice d'épareuse,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,38877
A1101,Conducteur / Conductrice de machines à vendanger,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13232
A1101,Conducteur / Conductrice de matériels de semis,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,38878
A1101,Conducteur / Conductrice de pulvérisateur,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,38875
A1101,Conducteur / Conductrice de tracteur,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13201
A1101,Conducteur / Conductrice de tracteur enjambeur,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,140877
A1101,Conducteur / Conductrice de tracto-benne,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,38879
A1101,Opérateur / Opératrice d'épandage,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,38876
A1101,Tractoriste agricole,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,20404
A1102,Conducteur / Conductrice d'engins d'exploitation forestière,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,403950
A1102,Conducteur / Conductrice d'abatteuses,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,12862
A1102,Conducteur / Conductrice d'engins d'exploitation forestière,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13255
A1102,Conducteur / Conductrice d'engins de débardage,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13248
A1102,Conducteur / Conductrice d'engins forestiers,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13256
A1102,Conducteur / Conductrice d'engins sylvicoles,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,404029
A1102,Conducteur / Conductrice de tête d'abattage,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13197
A1102,Conducteur / Conductrice de tracteur forestier,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,404027
A1102,Débardeur / Débardeuse,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13886
A1102,Débardeur forestier / Débardeuse forestière,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,13887
A1102,Opérateur / Opératrice d'abatteuse,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,17055
A1102,Pilote de machines d'abattage,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,17751
A1102,Tractoriste forestier / Tractoriste forestière,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A11,Domaine A11,20405
A1102,Espaces naturels et espaces verts,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A12,Domaine A12,
A1201,Élagueur / Élagueuse,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A12,Domaine A12,7
A1201,Arboriste,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A12,Domaine A12,11105
A1201,Arboriste grimpeur / grimpeuse,A,"Agriculture et Pêche, Espaces naturels et Espaces verts",A12,Domaine A12,11106
