code_uic_gare,nom_gare,code_postal,departement_code,region_nom,direction_regionale_sncf,total_voyageurs_2024,total_voyageurs_2023,total_voyageurs_2022
87741256,Aiguebelle,73220,73,DRG AURA BFC,DRG AURA BFC,91094,82209,73947
87743716,Ambérieu-en-Bugey,01500,01,DRG AURA BFC,DRG AURA BFC,1527121,1404224,1334530
87313874,Amiens,80017,80,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,7395165,6675550,6004673
87726406,Andrézieux-Bouthéon,42160,42,DRG AURA BFC,DRG AURA BFC,32366,29127,28251
87484048,Angers Maître École,49000,49,DRG B-CVL-PDL,DRG B-CVL-PDL,46045,44330,33549
87317255,Anvin,62134,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,16399,11319,7494
87444539,Argentan,61200,61,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,398579,444175,389139
87746859,Argentière,74400,74,DRG AURA BFC,DRG AURA BFC,18836,15021,16320
87597823,Aubusson,23200,23,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,2753,1583,806
87755223,Bandol,83150,83,DRG OCCITANIE SUD,DRG OCCITANIE SUD,410481,368416,350366
87313510,Beauvais,60000,60,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,2122526,1842796,1636319
87214122,Benfeld,67230,67,DRG GRAND EST,DRG GRAND EST,664785,629402,557042
87212308,Bischheim,67800,67,DRG GRAND EST,DRG GRAND EST,55191,50471,56883
87296269,Bohain-en-Vermandois,02110,02,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,149438,139743,142030
87543082,Boisseaux,45480,45,DRG B-CVL-PDL,DRG B-CVL-PDL,9481,9182,8167
87281279,Bourbourg,59630,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,27758,22835,20922
87486324,Bournezeau,85480,85,DRG B-CVL-PDL,DRG B-CVL-PDL,2085,1988,2252
87545491,Breuillet Village,91650,91,DEX GIF,DEX GIF,662949,601167,564922
87718122,Byans-sur-Doubs,25320,25,DRG AURA BFC,DRG AURA BFC,6112,5449,8622
87615286,Carcassonne,11000,11,DRG OCCITANIE SUD,DRG OCCITANIE SUD,1248583,1211281,1047813
87144071,Châtel - Nomexy,88330,88,DRG GRAND EST,DRG GRAND EST,137486,158207,162461
87721415,Chazay - Marcilly,69380,69,DRG AURA BFC,DRG AURA BFC,19195,17570,20138
87683532,Chemilly - Appoigny,89250,89,DRG AURA BFC,DRG AURA BFC,4481,2472,1471
87574491,Chenonceaux,37150,37,DRG B-CVL-PDL,DRG B-CVL-PDL,73714,70593,61257
87721746,Civrieux-d'Azergues,69380,69,DRG AURA BFC,DRG AURA BFC,4531,2570,4821
87184622,Clerval,25340,25,DRG AURA BFC,DRG AURA BFC,67943,63660,60473
87491134,Clion sur Seugne,17240,17,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,0,0,0
87181222,Colmar Saint-Joseph,68000,68,DRG GRAND EST,DRG GRAND EST,83271,77046,59776
87481721,Donges Halte,44480,44,DRG B-CVL-PDL,DRG B-CVL-PDL,31937,26802,21576
87721506,Ecully - Tassin,69130,69,DRG AURA BFC,DRG AURA BFC,240929,219253,233074
87214239,Eichhoffen,67140,67,DRG GRAND EST,DRG GRAND EST,12048,10232,11178
87172874,Fépin,08170,08,DRG GRAND EST,DRG GRAND EST,6269,5739,4670
87193003,Forbach,57600,57,DRG GRAND EST,DRG GRAND EST,370116,346914,330425
87471201,Fougeray - Langon,35390,35,DRG B-CVL-PDL,DRG B-CVL-PDL,30336,26313,21801
87317107,Hesdigneul-lès-Boulogne,62196,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,34041,24774,28112
87641217,Huriel,03380,03,DRG AURA BFC,DRG AURA BFC,198,506,34
87784710,Joncet,66193,66,DRG OCCITANIE SUD,DRG OCCITANIE SUD,77,82,101
87381558,Juziers,78820,78,DEX GIF,DEX GIF,397389,360537,361367
87726232,La Fouillouse,42480,42,DRG AURA BFC,DRG AURA BFC,13031,11785,13394
87381871,La Frette - Montigny,95530,95,DEX GIF,DEX GIF,1066029,966593,957431
87592808,La Meyze,87800,87,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,4460,2651,2493
87582866,La Réole,33190,33,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,315445,293048,268412
87611459,La Ville-Dieu-du-Temple,82290,82,DRG OCCITANIE SUD,DRG OCCITANIE SUD,25479,25528,23006
87584151,Lamothe-Montravel,24230,24,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,11700,10450,9465
87141093,Laneuveville-devant-Nancy,54410,54,DRG GRAND EST,DRG GRAND EST,12618,9257,8149
87113522,Le Chénay Gagny,93220,93,DEX GIF,DEX GIF,3260598,2956969,2779109
87671008,Tarbes,65000,65,DRG OCCITANIE SUD,DRG OCCITANIE SUD,861314,709416,639135
87353573,Le Toec,31000,31,DRG OCCITANIE SUD,DRG OCCITANIE SUD,4484,7134,5100
87411181,Tourville-la-Rivière,76410,76,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,2960,4321,3339
87726109,L'Etang les Sablons,78620,78,DEX GIF,DEX GIF,163445,148199,70338
87271601,Vaumoise,02600,02,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,6700,5422,4241
87594218,Vigeois,19410,19,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,11279,8513,7772
87673673,Louhossoa,64250,64,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,0,0,0
87396358,Voivres-lès-le-Mans,72210,72,DRG B-CVL-PDL,DRG B-CVL-PDL,19379,19420,13557
87721175,Lyon Gorge de Loup,69009,69,DRG AURA BFC,DRG AURA BFC,743207,674786,682949
87547000,Paris Austerlitz,75013,75,ETAB GARES PARIS,ETAB GARES PARIS,23798578,21657509,19515861
87411272,Pavilly,76570,76,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,201948,212546,171330
87276469,Persan - Beaumont,95340,95,DEX GIF,DEX GIF,4212409,3824386,3807121
87184267,Petit-Croix,90130,90,DRG AURA BFC,DRG AURA BFC,28722,25391,25955
87592253,Pierre-Buffière,87260,87,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,28335,24338,19554
87784785,Planès,66210,66,DRG OCCITANIE SUD,DRG OCCITANIE SUD,1071,935,705
87478149,Pleudihen-sur-Rance,22690,22,DRG B-CVL-PDL,DRG B-CVL-PDL,3809,3442,2341
87747493,Pontcharra sur Bréda,38530,38,DRG AURA BFC,DRG AURA BFC,794658,724659,696465
87752899,Pont-de-Claix-L’Étoile,38800,38,nan,nan,0,0,0
87476556,Pontivy,56300,56,DRG B-CVL-PDL,DRG B-CVL-PDL,21535,22401,26397
87343418,Prouvy - Thiant,59121,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,5781,2380,2278
87171009,Reims,51100,51,DRG GRAND EST,DRG GRAND EST,5003397,4970676,4309354
87182279,Ribeauvillé,68150,68,DRG GRAND EST,DRG GRAND EST,0,120,80
87756460,Roquebrune-Cap-Martin,06190,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,171806,144334,112595
87214684,Russ Hersbach,67130,67,DRG GRAND EST,DRG GRAND EST,84356,82758,83263
87545509,Saint-Chéron,91530,91,DEX GIF,DEX GIF,627010,568577,534294
87722652,Saint-Clair - Les Roches,38370,38,DRG AURA BFC,DRG AURA BFC,753753,671449,623525
87784850,Sainte-Léocadie,66800,66,DRG OCCITANIE SUD,DRG OCCITANIE SUD,277,263,347
87683318,Saint-Florentin - Vergigny,89600,89,DRG AURA BFC,DRG AURA BFC,102851,98376,93329
87271452,Villepinte,93420,93,DEX GIF,DEX GIF,2631037,2385680,2192462
87471508,Vitré,35500,35,DRG B-CVL-PDL,DRG B-CVL-PDL,1197732,1094295,976658
87184531,Voujeaucourt,25420,25,DRG AURA BFC,DRG AURA BFC,24041,18462,16809
87172221,Vrigne-Meuse,08350,08,DRG GRAND EST,DRG GRAND EST,8096,8000,5471
87182378,Wihr-au-Val - Soultzbach,68230,68,DRG GRAND EST,DRG GRAND EST,50783,44552,43562
87182683,Wittelsheim,68310,68,DRG GRAND EST,DRG GRAND EST,0,0,0
87381491,Andrésy,78570,78,DEX GIF,DEX GIF,638477,579152,586872
87286856,Annappes,59650,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,1156,1217,1458
87757567,Anthéor Cap Roux,83530,83,DRG OCCITANIE SUD,DRG OCCITANIE SUD,16306,15067,11494
87683680,Arcy-sur-Cure,89270,89,DRG AURA BFC,DRG AURA BFC,5083,4594,4514
87726760,Aurec-sur-Loire,43110,43,DRG AURA BFC,DRG AURA BFC,82218,72511,69604
87616011,Avignonet-Lauragais,31290,31,DRG OCCITANIE SUD,DRG OCCITANIE SUD,34028,31507,25351
87342584,Avion,62210,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,60350,54549,54976
87474189,Bannalec,29380,29,DRG B-CVL-PDL,DRG B-CVL-PDL,50087,44859,41701
87192302,Bénestroff,57670,57,DRG GRAND EST,DRG GRAND EST,17250,15768,10350
87696336,Bessay-sur-Allier,03340,03,DRG AURA BFC,DRG AURA BFC,19060,20134,18404
87328328,Bibliothèque François Mitterrand,75013,75,DEX GIF,DEX GIF,26975545,24461616,22986683
87415893,Bonnières-sur-Seine,78270,78,DEX GIF,DEX GIF,905823,821412,771930
87682138,Boussy-Saint-Antoine,91800,91,DEX GIF,DEX GIF,3475621,3065180,2880374
87726216,Bouthéon,42160,42,DRG AURA BFC,DRG AURA BFC,48740,43090,38939
87615229,Campagne-sur-Aude,11260,11,DRG OCCITANIE SUD,DRG OCCITANIE SUD,1,0,1
87447243,Carentan,50500,50,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,227651,225679,205544
87615039,Castelnaudary,11400,11,DRG OCCITANIE SUD,DRG OCCITANIE SUD,396399,399458,347787
87611665,Castelnau-d'Estrétefonds,31620,31,DRG OCCITANIE SUD,DRG OCCITANIE SUD,407600,420549,346056
87765503,Cavaillon,84300,84,DRG OCCITANIE SUD,DRG OCCITANIE SUD,243532,223401,216537
87491217,Cavignac,33620,33,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,83172,81007,72739
87574111,Chaingy Fourneaux Plage,45380,45,DRG B-CVL-PDL,DRG B-CVL-PDL,24040,22905,21115
87381194,Chars,95750,95,DEX GIF,DEX GIF,215041,198282,200713
87575225,Chasseneuil-du-Poitou,86360,86,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,26707,20844,18022
87396895,Clermont La Rotonde,63000,63,DRG AURA BFC,DRG AURA BFC,14956,11341,8505
