ligne_axe_id,nom_axe_ferroviaire,gare_depart,gare_arrivee,service_type,region,duree_moyenne_trajet_minutes,circulations_prevues_nombre,nombre_trains_annules,retard_moyen_minutes,taux_regularite_ponctualite_pct,cause_retard_infrastructure_pct,cause_retard_materiel_roulant_pct,cause_retard_gestion_trafic_pct,perte_financiere_retards_eur
AXE-TGV-00000,BORDEAUX ST JEAN - PARIS MONTPARNASSE,BORDEAUX ST JEAN,PARIS MONTPARNASSE,TGV InOui,National TGV,134.8,870,5,11.2,93.8,22.7,39.6,37.7,1190022.53
AXE-TGV-00001,LE MANS - PARIS MONTPARNASSE,LE MANS,PARIS MONTPARNASSE,TGV InOui,National TGV,155.9,406,1,8.5,95.5,31.3,27.1,41.6,416626.48
AXE-TGV-00002,PARIS MONTPARNASSE - LA ROCHELLE VILLE,PARIS MONTPARNASSE,LA ROCHELLE VILLE,TGV InOui,National TGV,129.8,226,0,6.2,96.9,18.6,33.0,48.4,169220.19
AXE-TGV-00003,PARIS MONTPARNASSE - NANTES,PARIS MONTPARNASSE,NANTES,TGV InOui,National TGV,87.6,508,3,7.2,95.8,28.7,25.9,45.4,451953.8
AXE-TGV-00004,POITIERS - PARIS MONTPARNASSE,POITIERS,PARIS MONTPARNASSE,TGV InOui,National TGV,205.2,472,4,6.8,95.8,27.6,22.7,49.7,399027.21
AXE-TGV-00005,ST MALO - PARIS MONTPARNASSE,ST MALO,PARIS MONTPARNASSE,TGV InOui,National TGV,116.3,92,0,1.2,99.4,22.5,25.3,52.2,13524.0
AXE-TGV-00006,TOULOUSE MATABIAU - PARIS MONTPARNASSE,TOULOUSE MATABIAU,PARIS MONTPARNASSE,TGV InOui,National TGV,141.6,184,0,11.2,94.4,32.7,39.9,27.4,247776.0
AXE-TGV-00007,VANNES - PARIS MONTPARNASSE,VANNES,PARIS MONTPARNASSE,TGV InOui,National TGV,118.5,278,1,5.1,97.1,21.6,23.4,55.0,174703.31
AXE-TGV-00008,REIMS - PARIS EST,REIMS,PARIS EST,TGV InOui,National TGV,81.9,230,1,7.4,95.8,30.7,30.9,38.4,208753.23
AXE-TGV-00009,DOUAI - PARIS NORD,DOUAI,PARIS NORD,TGV InOui,National TGV,144.3,197,3,8.0,94.5,18.4,40.1,41.5,200506.05
AXE-TGV-00010,LILLE - PARIS NORD,LILLE,PARIS NORD,TGV InOui,National TGV,98.6,579,9,8.2,94.3,22.1,35.3,42.6,602881.46
AXE-TGV-00011,LILLE - MARSEILLE ST CHARLES,LILLE,MARSEILLE ST CHARLES,TGV InOui,National TGV,93.6,190,4,7.4,94.2,26.1,28.7,45.2,182751.36
AXE-TGV-00012,PARIS NORD - DUNKERQUE,PARIS NORD,DUNKERQUE,TGV InOui,National TGV,147.7,271,3,11.2,93.3,28.4,41.5,30.1,374868.87
AXE-TGV-00013,AIX EN PROVENCE TGV - PARIS LYON,AIX EN PROVENCE TGV,PARIS LYON,TGV InOui,National TGV,109.6,402,0,6.6,96.7,23.0,39.0,38.0,319620.92
AXE-TGV-00014,ANNECY - PARIS LYON,ANNECY,PARIS LYON,TGV InOui,National TGV,223.6,198,0,8.1,96.0,19.6,27.2,53.2,191763.0
AXE-TGV-00015,GRENOBLE - PARIS LYON,GRENOBLE,PARIS LYON,TGV InOui,National TGV,153.0,245,0,8.0,96.0,19.4,37.1,43.5,235994.59
AXE-TGV-00016,LYON PART DIEU - MARNE LA VALLEE,LYON PART DIEU,MARNE LA VALLEE,TGV InOui,National TGV,86.6,316,3,10.3,93.9,28.4,30.6,41.0,400906.19
AXE-TGV-00017,MACON LOCHE - PARIS LYON,MACON LOCHE,PARIS LYON,TGV InOui,National TGV,140.5,225,1,11.8,93.7,22.5,35.7,41.8,321045.67
AXE-TGV-00018,MARSEILLE ST CHARLES - LYON PART DIEU,MARSEILLE ST CHARLES,LYON PART DIEU,TGV InOui,National TGV,190.7,557,7,7.0,95.3,31.3,34.0,34.7,492060.9
AXE-TGV-00019,MONTPELLIER - PARIS LYON,MONTPELLIER,PARIS LYON,TGV InOui,National TGV,239.8,340,2,11.0,93.9,22.9,34.3,42.8,454827.54
AXE-TGV-00020,PARIS LYON - MARSEILLE ST CHARLES,PARIS LYON,MARSEILLE ST CHARLES,TGV InOui,National TGV,111.2,482,2,13.0,93.1,18.6,40.0,41.4,759908.24
AXE-TGV-00021,BARCELONA - PARIS LYON,BARCELONA,PARIS LYON,TGV InOui,National TGV,176.5,35,0,1.4,99.3,19.0,33.9,47.1,5880.0
AXE-TGV-00022,FRANCFORT - PARIS EST,FRANCFORT,PARIS EST,TGV InOui,National TGV,224.2,177,3,4.6,96.0,23.5,22.7,53.8,109960.74
AXE-TGV-00023,MADRID - MARSEILLE ST CHARLES,MADRID,MARSEILLE ST CHARLES,TGV InOui,National TGV,218.5,16,1,3.5,92.0,25.7,28.4,45.9,10800.0
AXE-TGV-00024,PARIS LYON - ITALIE,PARIS LYON,ITALIE,TGV InOui,National TGV,153.5,94,0,11.3,94.4,23.4,33.2,43.4,127032.3
AXE-TGV-00025,PARIS LYON - LAUSANNE,PARIS LYON,LAUSANNE,TGV InOui,National TGV,93.0,151,2,10.9,93.2,28.3,36.9,34.8,204100.6
AXE-TGV-00026,PARIS MONTPARNASSE - LAVAL,PARIS MONTPARNASSE,LAVAL,TGV InOui,National TGV,174.2,217,0,11.6,94.2,26.2,36.8,37.0,302308.12
AXE-TGV-00027,PARIS MONTPARNASSE - VANNES,PARIS MONTPARNASSE,VANNES,TGV InOui,National TGV,215.9,253,1,9.7,94.7,28.3,36.3,35.4,299247.16
AXE-TGV-00028,ST PIERRE DES CORPS - PARIS MONTPARNASSE,ST PIERRE DES CORPS,PARIS MONTPARNASSE,TGV InOui,National TGV,148.0,410,1,6.7,96.4,26.9,24.5,48.6,334281.66
AXE-TGV-00029,TOURS - PARIS MONTPARNASSE,TOURS,PARIS MONTPARNASSE,TGV InOui,National TGV,72.4,194,0,5.7,97.1,32.1,30.2,37.7,133342.67
AXE-TGV-00030,PARIS EST - METZ,PARIS EST,METZ,TGV InOui,National TGV,207.7,310,0,6.4,96.8,23.5,32.9,43.6,238427.8
AXE-TGV-00031,LYON PART DIEU - LILLE,LYON PART DIEU,LILLE,TGV InOui,National TGV,134.3,296,3,10.4,93.8,33.9,24.8,41.3,377690.94
AXE-TGV-00032,PARIS NORD - DOUAI,PARIS NORD,DOUAI,TGV InOui,National TGV,80.2,192,2,10.4,93.8,23.9,36.0,40.1,245975.86
