validation_id,passenger_id,code_uic_gare,station_name,transport_mode,line_code,department_code,region_name,timestamp,validation_status
VAL-000001,USG-00995,87756054,Nice Ville,RER A,Axe RER A Charles de Gaulle - Étoile,06,Provence-Alpes-Côte d'Azur,2026-08-03 18:21:00,VALIDE
VAL-000002,USG-00210,87581009,Bordeaux Saint-Jean,RER A,Axe RER A Charles de Gaulle - Étoile,33,Nouvelle-Aquitaine,2026-10-14 17:09:00,REFUSE_SOLDE
VAL-000003,USG-02606,87391003,Paris Montparnasse,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-08-24 17:44:00,VALIDE
VAL-000004,USG-02134,87471003,Rennes,Métro 1,Ligne 1 La Défense - Château de Vincennes,35,Bretagne,2026-07-10 18:39:00,VALIDE
VAL-000005,USG-02972,87223263,Lille Flandres,RER A,Axe RER A Charles de Gaulle - Étoile,59,Hauts-de-France,2026-05-29 08:49:00,VALIDE
VAL-000006,USG-02819,87756054,Nice Ville,Métro 1,Ligne 1 La Défense - Château de Vincennes,06,Provence-Alpes-Côte d'Azur,2026-06-02 08:18:00,VALIDE
VAL-000007,USG-00356,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-09-06 18:27:00,VALIDE
VAL-000008,USG-02321,87686006,Paris Gare de Lyon,TGV InOui,Ligne Grande Vitesse East,75,Île-de-France,2026-09-10 17:42:00,VALIDE
VAL-000009,USG-00777,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-05-28 07:24:00,CORRESPONDANCE
VAL-000010,USG-02468,87212027,Strasbourg Ville,Métro 1,Ligne 1 La Défense - Château de Vincennes,67,Grand Est,2026-05-17 07:46:00,VALIDE
VAL-000011,USG-00496,87223263,Lille Flandres,Métro 1,Ligne 1 La Défense - Château de Vincennes,59,Hauts-de-France,2026-10-08 08:31:00,VALIDE
VAL-000012,USG-01757,87481002,Nantes,TER,Ligne Régionale TER,44,Pays de la Loire,2026-08-10 18:23:00,VALIDE
VAL-000013,USG-01103,87223263,Lille Flandres,TER,Ligne Régionale TER,59,Hauts-de-France,2026-07-11 17:30:00,VALIDE
VAL-000014,USG-01270,87271007,Paris Gare du Nord,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-07-11 17:17:00,VALIDE
VAL-000015,USG-00992,87471003,Rennes,TGV InOui,Ligne Grande Vitesse East,35,Bretagne,2026-06-03 17:44:00,VALIDE
VAL-000016,USG-02457,87751006,Marseille Saint-Charles,RER A,Axe RER A Charles de Gaulle - Étoile,13,Provence-Alpes-Côte d'Azur,2026-09-27 07:04:00,VALIDE
VAL-000017,USG-01039,87747004,Grenoble,RER A,Axe RER A Charles de Gaulle - Étoile,38,Auvergne-Rhône-Alpes,2026-09-26 17:46:00,VALIDE
VAL-000018,USG-00818,87212027,Strasbourg Ville,TER,Ligne Régionale TER,67,Grand Est,2026-08-15 07:38:00,VALIDE
VAL-000019,USG-00174,87611004,Toulouse Matabiau,TGV InOui,Ligne Grande Vitesse East,31,Occitanie,2026-09-12 18:19:00,REFUSE_SOLDE
VAL-000020,USG-00127,87581009,Bordeaux Saint-Jean,TGV InOui,Ligne Grande Vitesse East,33,Nouvelle-Aquitaine,2026-07-20 17:59:00,CORRESPONDANCE
VAL-000021,USG-00838,87751006,Marseille Saint-Charles,Métro 1,Ligne 1 La Défense - Château de Vincennes,13,Provence-Alpes-Côte d'Azur,2026-06-23 17:10:00,VALIDE
VAL-000022,USG-00631,87751006,Marseille Saint-Charles,RER A,Axe RER A Charles de Gaulle - Étoile,13,Provence-Alpes-Côte d'Azur,2026-07-10 07:21:00,VALIDE
VAL-000023,USG-00085,87722023,Lyon Part-Dieu,TGV InOui,Ligne Grande Vitesse East,69,Auvergne-Rhône-Alpes,2026-06-24 08:58:00,VALIDE
VAL-000024,USG-01620,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-09-19 18:14:00,VALIDE
VAL-000025,USG-00024,87581009,Bordeaux Saint-Jean,TGV InOui,Ligne Grande Vitesse East,33,Nouvelle-Aquitaine,2026-10-16 17:08:00,VALIDE
VAL-000026,USG-02790,87481002,Nantes,TGV InOui,Ligne Grande Vitesse East,44,Pays de la Loire,2026-06-17 07:37:00,VALIDE
